,Nation,iso_code3,Year,fuelefficiency_trns_rail_passenger_hydrogen_km_per_litre
120,Angola,AGO,2031,0.10388064733
121,Angola,AGO,2032,0.10388064733
122,Angola,AGO,2033,0.10388064733
123,Angola,AGO,2034,0.10388064733
124,Angola,AGO,2035,0.10388064733
125,Angola,AGO,2036,0.10388064733
126,Angola,AGO,2037,0.10388064733
127,Angola,AGO,2038,0.10388064733
128,Angola,AGO,2039,0.10388064733
129,Angola,AGO,2040,0.10388064733
130,Angola,AGO,2041,0.10388064733
131,Angola,AGO,2042,0.10388064733
132,Angola,AGO,2043,0.10388064733
133,Angola,AGO,2044,0.10388064733
134,Angola,AGO,2045,0.10388064733
135,Angola,AGO,2046,0.10388064733
136,Angola,AGO,2047,0.10388064733
137,Angola,AGO,2048,0.10388064733
138,Angola,AGO,2049,0.10388064733
139,Angola,AGO,2050,0.10388064733
140,Albania,ALB,2023,0.10388064733
141,Albania,ALB,2024,0.10388064733
142,Albania,ALB,2025,0.10388064733
143,Albania,ALB,2026,0.10388064733
144,Albania,ALB,2027,0.10388064733
145,Albania,ALB,2028,0.10388064733
146,Albania,ALB,2029,0.10388064733
147,Albania,ALB,2030,0.10388064733
148,Albania,ALB,2031,0.10388064733
149,Albania,ALB,2032,0.10388064733
150,Albania,ALB,2033,0.10388064733
151,Albania,ALB,2034,0.10388064733
152,Albania,ALB,2035,0.10388064733
153,Albania,ALB,2036,0.10388064733
154,Albania,ALB,2037,0.10388064733
155,Albania,ALB,2038,0.10388064733
156,Albania,ALB,2039,0.10388064733
157,Albania,ALB,2040,0.10388064733
158,Albania,ALB,2041,0.10388064733
159,Albania,ALB,2042,0.10388064733
160,Albania,ALB,2043,0.10388064733
161,Albania,ALB,2044,0.10388064733
162,Albania,ALB,2045,0.10388064733
163,Albania,ALB,2046,0.10388064733
164,Albania,ALB,2047,0.10388064733
165,Albania,ALB,2048,0.10388064733
166,Albania,ALB,2049,0.10388064733
167,Albania,ALB,2050,0.10388064733
168,Andorra,AND,2023,0.10388064733
169,Andorra,AND,2024,0.10388064733
170,Andorra,AND,2025,0.10388064733
171,Andorra,AND,2026,0.10388064733
172,Andorra,AND,2027,0.10388064733
173,Andorra,AND,2028,0.10388064733
174,Andorra,AND,2029,0.10388064733
175,Andorra,AND,2030,0.10388064733
176,Andorra,AND,2031,0.10388064733
177,Andorra,AND,2032,0.10388064733
178,Andorra,AND,2033,0.10388064733
179,Andorra,AND,2034,0.10388064733
180,Andorra,AND,2035,0.10388064733
181,Andorra,AND,2036,0.10388064733
182,Andorra,AND,2037,0.10388064733
183,Andorra,AND,2038,0.10388064733
184,Andorra,AND,2039,0.10388064733
185,Andorra,AND,2040,0.10388064733
186,Andorra,AND,2041,0.10388064733
187,Andorra,AND,2042,0.10388064733
188,Andorra,AND,2043,0.10388064733
189,Andorra,AND,2044,0.10388064733
190,Andorra,AND,2045,0.10388064733
191,Andorra,AND,2046,0.10388064733
192,Andorra,AND,2047,0.10388064733
193,Andorra,AND,2048,0.10388064733
194,Andorra,AND,2049,0.10388064733
195,Andorra,AND,2050,0.10388064733
196,Arab World,ARB,2023,0.10388064733
197,Arab World,ARB,2024,0.10388064733
198,Arab World,ARB,2025,0.10388064733
199,Arab World,ARB,2026,0.10388064733
200,Arab World,ARB,2027,0.10388064733
201,Arab World,ARB,2028,0.10388064733
202,Arab World,ARB,2029,0.10388064733
203,Arab World,ARB,2030,0.10388064733
204,Arab World,ARB,2031,0.10388064733
205,Arab World,ARB,2032,0.10388064733
206,Arab World,ARB,2033,0.10388064733
207,Arab World,ARB,2034,0.10388064733
208,Arab World,ARB,2035,0.10388064733
209,Arab World,ARB,2036,0.10388064733
210,Arab World,ARB,2037,0.10388064733
211,Arab World,ARB,2038,0.10388064733
212,Arab World,ARB,2039,0.10388064733
213,Arab World,ARB,2040,0.10388064733
214,Arab World,ARB,2041,0.10388064733
215,Arab World,ARB,2042,0.10388064733
216,Arab World,ARB,2043,0.10388064733
217,Arab World,ARB,2044,0.10388064733
218,Arab World,ARB,2045,0.10388064733
219,Arab World,ARB,2046,0.10388064733
220,Arab World,ARB,2047,0.10388064733
221,Arab World,ARB,2048,0.10388064733
222,Arab World,ARB,2049,0.10388064733
223,Arab World,ARB,2050,0.10388064733
224,United Arab Emirates,ARE,2023,0.10388064733
225,United Arab Emirates,ARE,2024,0.10388064733
226,United Arab Emirates,ARE,2025,0.10388064733
227,United Arab Emirates,ARE,2026,0.10388064733
228,United Arab Emirates,ARE,2027,0.10388064733
229,United Arab Emirates,ARE,2028,0.10388064733
230,United Arab Emirates,ARE,2029,0.10388064733
231,United Arab Emirates,ARE,2030,0.10388064733
232,United Arab Emirates,ARE,2031,0.10388064733
233,United Arab Emirates,ARE,2032,0.10388064733
234,United Arab Emirates,ARE,2033,0.10388064733
235,United Arab Emirates,ARE,2034,0.10388064733
236,United Arab Emirates,ARE,2035,0.10388064733
237,United Arab Emirates,ARE,2036,0.10388064733
238,United Arab Emirates,ARE,2037,0.10388064733
239,United Arab Emirates,ARE,2038,0.10388064733
240,United Arab Emirates,ARE,2039,0.10388064733
241,United Arab Emirates,ARE,2040,0.10388064733
242,United Arab Emirates,ARE,2041,0.10388064733
243,United Arab Emirates,ARE,2042,0.10388064733
244,United Arab Emirates,ARE,2043,0.10388064733
245,United Arab Emirates,ARE,2044,0.10388064733
246,United Arab Emirates,ARE,2045,0.10388064733
247,United Arab Emirates,ARE,2046,0.10388064733
248,United Arab Emirates,ARE,2047,0.10388064733
249,United Arab Emirates,ARE,2048,0.10388064733
250,United Arab Emirates,ARE,2049,0.10388064733
251,United Arab Emirates,ARE,2050,0.10388064733
252,Argentina,ARG,2023,0.10388064733
253,Argentina,ARG,2024,0.10388064733
254,Argentina,ARG,2025,0.10388064733
255,Argentina,ARG,2026,0.10388064733
256,Argentina,ARG,2027,0.10388064733
257,Argentina,ARG,2028,0.10388064733
258,Argentina,ARG,2029,0.10388064733
259,Argentina,ARG,2030,0.10388064733
260,Argentina,ARG,2031,0.10388064733
261,Argentina,ARG,2032,0.10388064733
262,Argentina,ARG,2033,0.10388064733
263,Argentina,ARG,2034,0.10388064733
264,Argentina,ARG,2035,0.10388064733
265,Argentina,ARG,2036,0.10388064733
266,Argentina,ARG,2037,0.10388064733
267,Argentina,ARG,2038,0.10388064733
268,Argentina,ARG,2039,0.10388064733
269,Argentina,ARG,2040,0.10388064733
270,Argentina,ARG,2041,0.10388064733
271,Argentina,ARG,2042,0.10388064733
272,Argentina,ARG,2043,0.10388064733
273,Argentina,ARG,2044,0.10388064733
274,Argentina,ARG,2045,0.10388064733
275,Argentina,ARG,2046,0.10388064733
276,Argentina,ARG,2047,0.10388064733
277,Argentina,ARG,2048,0.10388064733
278,Argentina,ARG,2049,0.10388064733
279,Argentina,ARG,2050,0.10388064733
280,Armenia,ARM,2023,0.10388064733
281,Armenia,ARM,2024,0.10388064733
282,Armenia,ARM,2025,0.10388064733
283,Armenia,ARM,2026,0.10388064733
284,Armenia,ARM,2027,0.10388064733
285,Armenia,ARM,2028,0.10388064733
286,Armenia,ARM,2029,0.10388064733
287,Armenia,ARM,2030,0.10388064733
288,Armenia,ARM,2031,0.10388064733
289,Armenia,ARM,2032,0.10388064733
290,Armenia,ARM,2033,0.10388064733
291,Armenia,ARM,2034,0.10388064733
292,Armenia,ARM,2035,0.10388064733
293,Armenia,ARM,2036,0.10388064733
294,Armenia,ARM,2037,0.10388064733
295,Armenia,ARM,2038,0.10388064733
296,Armenia,ARM,2039,0.10388064733
297,Armenia,ARM,2040,0.10388064733
298,Armenia,ARM,2041,0.10388064733
299,Armenia,ARM,2042,0.10388064733
300,Armenia,ARM,2043,0.10388064733
301,Armenia,ARM,2044,0.10388064733
302,Armenia,ARM,2045,0.10388064733
303,Armenia,ARM,2046,0.10388064733
304,Armenia,ARM,2047,0.10388064733
305,Armenia,ARM,2048,0.10388064733
306,Armenia,ARM,2049,0.10388064733
307,Armenia,ARM,2050,0.10388064733
308,American Samoa,ASM,2023,0.10388064733
309,American Samoa,ASM,2024,0.10388064733
310,American Samoa,ASM,2025,0.10388064733
311,American Samoa,ASM,2026,0.10388064733
312,American Samoa,ASM,2027,0.10388064733
313,American Samoa,ASM,2028,0.10388064733
314,American Samoa,ASM,2029,0.10388064733
315,American Samoa,ASM,2030,0.10388064733
316,American Samoa,ASM,2031,0.10388064733
317,American Samoa,ASM,2032,0.10388064733
318,American Samoa,ASM,2033,0.10388064733
319,American Samoa,ASM,2034,0.10388064733
320,American Samoa,ASM,2035,0.10388064733
321,American Samoa,ASM,2036,0.10388064733
322,American Samoa,ASM,2037,0.10388064733
323,American Samoa,ASM,2038,0.10388064733
324,American Samoa,ASM,2039,0.10388064733
325,American Samoa,ASM,2040,0.10388064733
326,American Samoa,ASM,2041,0.10388064733
327,American Samoa,ASM,2042,0.10388064733
328,American Samoa,ASM,2043,0.10388064733
329,American Samoa,ASM,2044,0.10388064733
330,American Samoa,ASM,2045,0.10388064733
331,American Samoa,ASM,2046,0.10388064733
332,American Samoa,ASM,2047,0.10388064733
333,American Samoa,ASM,2048,0.10388064733
334,American Samoa,ASM,2049,0.10388064733
335,American Samoa,ASM,2050,0.10388064733
336,Antigua and Barbuda,ATG,2023,0.10388064733
337,Antigua and Barbuda,ATG,2024,0.10388064733
338,Antigua and Barbuda,ATG,2025,0.10388064733
339,Antigua and Barbuda,ATG,2026,0.10388064733
340,Antigua and Barbuda,ATG,2027,0.10388064733
341,Antigua and Barbuda,ATG,2028,0.10388064733
342,Antigua and Barbuda,ATG,2029,0.10388064733
343,Antigua and Barbuda,ATG,2030,0.10388064733
344,Antigua and Barbuda,ATG,2031,0.10388064733
345,Antigua and Barbuda,ATG,2032,0.10388064733
346,Antigua and Barbuda,ATG,2033,0.10388064733
347,Antigua and Barbuda,ATG,2034,0.10388064733
348,Antigua and Barbuda,ATG,2035,0.10388064733
349,Antigua and Barbuda,ATG,2036,0.10388064733
350,Antigua and Barbuda,ATG,2037,0.10388064733
351,Antigua and Barbuda,ATG,2038,0.10388064733
352,Antigua and Barbuda,ATG,2039,0.10388064733
353,Antigua and Barbuda,ATG,2040,0.10388064733
354,Antigua and Barbuda,ATG,2041,0.10388064733
355,Antigua and Barbuda,ATG,2042,0.10388064733
356,Antigua and Barbuda,ATG,2043,0.10388064733
357,Antigua and Barbuda,ATG,2044,0.10388064733
358,Antigua and Barbuda,ATG,2045,0.10388064733
359,Antigua and Barbuda,ATG,2046,0.10388064733
360,Antigua and Barbuda,ATG,2047,0.10388064733
361,Antigua and Barbuda,ATG,2048,0.10388064733
362,Antigua and Barbuda,ATG,2049,0.10388064733
363,Antigua and Barbuda,ATG,2050,0.10388064733
364,Australia,AUS,2023,0.10388064733
365,Australia,AUS,2024,0.10388064733
366,Australia,AUS,2025,0.10388064733
367,Australia,AUS,2026,0.10388064733
368,Australia,AUS,2027,0.10388064733
369,Australia,AUS,2028,0.10388064733
370,Australia,AUS,2029,0.10388064733
371,Australia,AUS,2030,0.10388064733
372,Australia,AUS,2031,0.10388064733
373,Australia,AUS,2032,0.10388064733
374,Australia,AUS,2033,0.10388064733
375,Australia,AUS,2034,0.10388064733
376,Australia,AUS,2035,0.10388064733
377,Australia,AUS,2036,0.10388064733
378,Australia,AUS,2037,0.10388064733
379,Australia,AUS,2038,0.10388064733
380,Australia,AUS,2039,0.10388064733
381,Australia,AUS,2040,0.10388064733
382,Australia,AUS,2041,0.10388064733
383,Australia,AUS,2042,0.10388064733
384,Australia,AUS,2043,0.10388064733
385,Australia,AUS,2044,0.10388064733
386,Australia,AUS,2045,0.10388064733
387,Australia,AUS,2046,0.10388064733
388,Australia,AUS,2047,0.10388064733
389,Australia,AUS,2048,0.10388064733
390,Australia,AUS,2049,0.10388064733
391,Australia,AUS,2050,0.10388064733
392,Austria,AUT,2023,0.10388064733
393,Austria,AUT,2024,0.10388064733
394,Austria,AUT,2025,0.10388064733
395,Austria,AUT,2026,0.10388064733
396,Austria,AUT,2027,0.10388064733
397,Austria,AUT,2028,0.10388064733
398,Austria,AUT,2029,0.10388064733
399,Austria,AUT,2030,0.10388064733
400,Austria,AUT,2031,0.10388064733
401,Austria,AUT,2032,0.10388064733
402,Austria,AUT,2033,0.10388064733
403,Austria,AUT,2034,0.10388064733
404,Austria,AUT,2035,0.10388064733
405,Austria,AUT,2036,0.10388064733
406,Austria,AUT,2037,0.10388064733
407,Austria,AUT,2038,0.10388064733
408,Austria,AUT,2039,0.10388064733
409,Austria,AUT,2040,0.10388064733
410,Austria,AUT,2041,0.10388064733
411,Austria,AUT,2042,0.10388064733
412,Austria,AUT,2043,0.10388064733
413,Austria,AUT,2044,0.10388064733
414,Austria,AUT,2045,0.10388064733
415,Austria,AUT,2046,0.10388064733
416,Austria,AUT,2047,0.10388064733
417,Austria,AUT,2048,0.10388064733
418,Austria,AUT,2049,0.10388064733
419,Austria,AUT,2050,0.10388064733
420,Azerbaijan,AZE,2023,0.10388064733
421,Azerbaijan,AZE,2024,0.10388064733
422,Azerbaijan,AZE,2025,0.10388064733
423,Azerbaijan,AZE,2026,0.10388064733
424,Azerbaijan,AZE,2027,0.10388064733
425,Azerbaijan,AZE,2028,0.10388064733
426,Azerbaijan,AZE,2029,0.10388064733
427,Azerbaijan,AZE,2030,0.10388064733
428,Azerbaijan,AZE,2031,0.10388064733
429,Azerbaijan,AZE,2032,0.10388064733
430,Azerbaijan,AZE,2033,0.10388064733
431,Azerbaijan,AZE,2034,0.10388064733
432,Azerbaijan,AZE,2035,0.10388064733
433,Azerbaijan,AZE,2036,0.10388064733
434,Azerbaijan,AZE,2037,0.10388064733
435,Azerbaijan,AZE,2038,0.10388064733
436,Azerbaijan,AZE,2039,0.10388064733
437,Azerbaijan,AZE,2040,0.10388064733
438,Azerbaijan,AZE,2041,0.10388064733
439,Azerbaijan,AZE,2042,0.10388064733
440,Azerbaijan,AZE,2043,0.10388064733
441,Azerbaijan,AZE,2044,0.10388064733
442,Azerbaijan,AZE,2045,0.10388064733
443,Azerbaijan,AZE,2046,0.10388064733
444,Azerbaijan,AZE,2047,0.10388064733
445,Azerbaijan,AZE,2048,0.10388064733
446,Azerbaijan,AZE,2049,0.10388064733
447,Azerbaijan,AZE,2050,0.10388064733
448,Burundi,BDI,2023,0.10388064733
449,Burundi,BDI,2024,0.10388064733
450,Burundi,BDI,2025,0.10388064733
451,Burundi,BDI,2026,0.10388064733
452,Burundi,BDI,2027,0.10388064733
453,Burundi,BDI,2028,0.10388064733
454,Burundi,BDI,2029,0.10388064733
455,Burundi,BDI,2030,0.10388064733
456,Burundi,BDI,2031,0.10388064733
457,Burundi,BDI,2032,0.10388064733
458,Burundi,BDI,2033,0.10388064733
459,Burundi,BDI,2034,0.10388064733
460,Burundi,BDI,2035,0.10388064733
461,Burundi,BDI,2036,0.10388064733
462,Burundi,BDI,2037,0.10388064733
463,Burundi,BDI,2038,0.10388064733
464,Burundi,BDI,2039,0.10388064733
465,Burundi,BDI,2040,0.10388064733
466,Burundi,BDI,2041,0.10388064733
467,Burundi,BDI,2042,0.10388064733
468,Burundi,BDI,2043,0.10388064733
469,Burundi,BDI,2044,0.10388064733
470,Burundi,BDI,2045,0.10388064733
471,Burundi,BDI,2046,0.10388064733
472,Burundi,BDI,2047,0.10388064733
473,Burundi,BDI,2048,0.10388064733
474,Burundi,BDI,2049,0.10388064733
475,Burundi,BDI,2050,0.10388064733
476,Belgium,BEL,2023,0.10388064733
477,Belgium,BEL,2024,0.10388064733
478,Belgium,BEL,2025,0.10388064733
479,Belgium,BEL,2026,0.10388064733
480,Belgium,BEL,2027,0.10388064733
481,Belgium,BEL,2028,0.10388064733
482,Belgium,BEL,2029,0.10388064733
483,Belgium,BEL,2030,0.10388064733
484,Belgium,BEL,2031,0.10388064733
485,Belgium,BEL,2032,0.10388064733
486,Belgium,BEL,2033,0.10388064733
487,Belgium,BEL,2034,0.10388064733
488,Belgium,BEL,2035,0.10388064733
489,Belgium,BEL,2036,0.10388064733
490,Belgium,BEL,2037,0.10388064733
491,Belgium,BEL,2038,0.10388064733
492,Belgium,BEL,2039,0.10388064733
493,Belgium,BEL,2040,0.10388064733
494,Belgium,BEL,2041,0.10388064733
495,Belgium,BEL,2042,0.10388064733
496,Belgium,BEL,2043,0.10388064733
497,Belgium,BEL,2044,0.10388064733
498,Belgium,BEL,2045,0.10388064733
499,Belgium,BEL,2046,0.10388064733
500,Belgium,BEL,2047,0.10388064733
501,Belgium,BEL,2048,0.10388064733
502,Belgium,BEL,2049,0.10388064733
503,Belgium,BEL,2050,0.10388064733
504,Benin,BEN,2023,0.10388064733
505,Benin,BEN,2024,0.10388064733
506,Benin,BEN,2025,0.10388064733
507,Benin,BEN,2026,0.10388064733
508,Benin,BEN,2027,0.10388064733
509,Benin,BEN,2028,0.10388064733
510,Benin,BEN,2029,0.10388064733
511,Benin,BEN,2030,0.10388064733
512,Benin,BEN,2031,0.10388064733
513,Benin,BEN,2032,0.10388064733
514,Benin,BEN,2033,0.10388064733
515,Benin,BEN,2034,0.10388064733
516,Benin,BEN,2035,0.10388064733
517,Benin,BEN,2036,0.10388064733
518,Benin,BEN,2037,0.10388064733
519,Benin,BEN,2038,0.10388064733
520,Benin,BEN,2039,0.10388064733
521,Benin,BEN,2040,0.10388064733
522,Benin,BEN,2041,0.10388064733
523,Benin,BEN,2042,0.10388064733
524,Benin,BEN,2043,0.10388064733
525,Benin,BEN,2044,0.10388064733
526,Benin,BEN,2045,0.10388064733
527,Benin,BEN,2046,0.10388064733
528,Benin,BEN,2047,0.10388064733
529,Benin,BEN,2048,0.10388064733
530,Benin,BEN,2049,0.10388064733
531,Benin,BEN,2050,0.10388064733
532,Burkina Faso,BFA,2023,0.10388064733
533,Burkina Faso,BFA,2024,0.10388064733
534,Burkina Faso,BFA,2025,0.10388064733
535,Burkina Faso,BFA,2026,0.10388064733
536,Burkina Faso,BFA,2027,0.10388064733
537,Burkina Faso,BFA,2028,0.10388064733
538,Burkina Faso,BFA,2029,0.10388064733
539,Burkina Faso,BFA,2030,0.10388064733
540,Burkina Faso,BFA,2031,0.10388064733
541,Burkina Faso,BFA,2032,0.10388064733
542,Burkina Faso,BFA,2033,0.10388064733
543,Burkina Faso,BFA,2034,0.10388064733
544,Burkina Faso,BFA,2035,0.10388064733
545,Burkina Faso,BFA,2036,0.10388064733
546,Burkina Faso,BFA,2037,0.10388064733
547,Burkina Faso,BFA,2038,0.10388064733
548,Burkina Faso,BFA,2039,0.10388064733
549,Burkina Faso,BFA,2040,0.10388064733
550,Burkina Faso,BFA,2041,0.10388064733
551,Burkina Faso,BFA,2042,0.10388064733
552,Burkina Faso,BFA,2043,0.10388064733
553,Burkina Faso,BFA,2044,0.10388064733
554,Burkina Faso,BFA,2045,0.10388064733
555,Burkina Faso,BFA,2046,0.10388064733
556,Burkina Faso,BFA,2047,0.10388064733
557,Burkina Faso,BFA,2048,0.10388064733
558,Burkina Faso,BFA,2049,0.10388064733
559,Burkina Faso,BFA,2050,0.10388064733
560,Bangladesh,BGD,2023,0.10388064733
561,Bangladesh,BGD,2024,0.10388064733
562,Bangladesh,BGD,2025,0.10388064733
563,Bangladesh,BGD,2026,0.10388064733
564,Bangladesh,BGD,2027,0.10388064733
565,Bangladesh,BGD,2028,0.10388064733
566,Bangladesh,BGD,2029,0.10388064733
567,Bangladesh,BGD,2030,0.10388064733
568,Bangladesh,BGD,2031,0.10388064733
569,Bangladesh,BGD,2032,0.10388064733
570,Bangladesh,BGD,2033,0.10388064733
571,Bangladesh,BGD,2034,0.10388064733
572,Bangladesh,BGD,2035,0.10388064733
573,Bangladesh,BGD,2036,0.10388064733
574,Bangladesh,BGD,2037,0.10388064733
575,Bangladesh,BGD,2038,0.10388064733
576,Bangladesh,BGD,2039,0.10388064733
577,Bangladesh,BGD,2040,0.10388064733
578,Bangladesh,BGD,2041,0.10388064733
579,Bangladesh,BGD,2042,0.10388064733
580,Bangladesh,BGD,2043,0.10388064733
581,Bangladesh,BGD,2044,0.10388064733
582,Bangladesh,BGD,2045,0.10388064733
583,Bangladesh,BGD,2046,0.10388064733
584,Bangladesh,BGD,2047,0.10388064733
585,Bangladesh,BGD,2048,0.10388064733
586,Bangladesh,BGD,2049,0.10388064733
587,Bangladesh,BGD,2050,0.10388064733
588,Bulgaria,BGR,2023,0.10388064733
589,Bulgaria,BGR,2024,0.10388064733
590,Bulgaria,BGR,2025,0.10388064733
591,Bulgaria,BGR,2026,0.10388064733
592,Bulgaria,BGR,2027,0.10388064733
593,Bulgaria,BGR,2028,0.10388064733
594,Bulgaria,BGR,2029,0.10388064733
595,Bulgaria,BGR,2030,0.10388064733
596,Bulgaria,BGR,2031,0.10388064733
597,Bulgaria,BGR,2032,0.10388064733
598,Bulgaria,BGR,2033,0.10388064733
599,Bulgaria,BGR,2034,0.10388064733
600,Bulgaria,BGR,2035,0.10388064733
601,Bulgaria,BGR,2036,0.10388064733
602,Bulgaria,BGR,2037,0.10388064733
603,Bulgaria,BGR,2038,0.10388064733
604,Bulgaria,BGR,2039,0.10388064733
605,Bulgaria,BGR,2040,0.10388064733
606,Bulgaria,BGR,2041,0.10388064733
607,Bulgaria,BGR,2042,0.10388064733
608,Bulgaria,BGR,2043,0.10388064733
609,Bulgaria,BGR,2044,0.10388064733
610,Bulgaria,BGR,2045,0.10388064733
611,Bulgaria,BGR,2046,0.10388064733
612,Bulgaria,BGR,2047,0.10388064733
613,Bulgaria,BGR,2048,0.10388064733
614,Bulgaria,BGR,2049,0.10388064733
615,Bulgaria,BGR,2050,0.10388064733
616,Bahrain,BHR,2023,0.10388064733
617,Bahrain,BHR,2024,0.10388064733
618,Bahrain,BHR,2025,0.10388064733
619,Bahrain,BHR,2026,0.10388064733
620,Bahrain,BHR,2027,0.10388064733
621,Bahrain,BHR,2028,0.10388064733
622,Bahrain,BHR,2029,0.10388064733
623,Bahrain,BHR,2030,0.10388064733
