,Nation,iso_code3,Year,deminit_trde_regional_per_capita_passenger_km
45,Africa Eastern and Southern,AFE,2028,0.8531032151394944
46,Africa Eastern and Southern,AFE,2029,0.8531032151394944
47,Africa Eastern and Southern,AFE,2030,0.8531032151394944
48,Africa Eastern and Southern,AFE,2031,0.8531032151394944
49,Africa Eastern and Southern,AFE,2032,0.8531032151394944
50,Africa Eastern and Southern,AFE,2033,0.8531032151394944
51,Africa Eastern and Southern,AFE,2034,0.8531032151394944
52,Africa Eastern and Southern,AFE,2035,0.8531032151394944
53,Africa Eastern and Southern,AFE,2036,0.8531032151394944
54,Africa Eastern and Southern,AFE,2037,0.8531032151394944
55,Africa Eastern and Southern,AFE,2038,0.8531032151394944
56,Africa Eastern and Southern,AFE,2039,0.8531032151394944
57,Africa Eastern and Southern,AFE,2040,0.8531032151394944
58,Africa Eastern and Southern,AFE,2041,0.8531032151394944
59,Africa Eastern and Southern,AFE,2042,0.8531032151394944
60,Africa Eastern and Southern,AFE,2043,0.8531032151394944
61,Africa Eastern and Southern,AFE,2044,0.8531032151394944
62,Africa Eastern and Southern,AFE,2045,0.8531032151394944
63,Africa Eastern and Southern,AFE,2046,0.8531032151394944
64,Africa Eastern and Southern,AFE,2047,0.8531032151394944
65,Africa Eastern and Southern,AFE,2048,0.8531032151394944
66,Africa Eastern and Southern,AFE,2049,0.8531032151394944
67,Africa Eastern and Southern,AFE,2050,0.8531032151394944
68,Afghanistan,AFG,2017,14.706909764760667
69,Afghanistan,AFG,2018,14.706909764760667
70,Afghanistan,AFG,2019,14.706909764760667
71,Afghanistan,AFG,2020,14.706909764760667
72,Afghanistan,AFG,2021,14.706909764760667
73,Afghanistan,AFG,2022,14.706909764760667
74,Afghanistan,AFG,2023,14.706909764760667
75,Afghanistan,AFG,2024,14.706909764760667
76,Afghanistan,AFG,2025,14.706909764760667
77,Afghanistan,AFG,2026,14.706909764760667
78,Afghanistan,AFG,2027,14.706909764760667
79,Afghanistan,AFG,2028,14.706909764760667
80,Afghanistan,AFG,2029,14.706909764760667
81,Afghanistan,AFG,2030,14.706909764760667
82,Afghanistan,AFG,2031,14.706909764760667
83,Afghanistan,AFG,2032,14.706909764760667
84,Afghanistan,AFG,2033,14.706909764760667
85,Afghanistan,AFG,2034,14.706909764760667
86,Afghanistan,AFG,2035,14.706909764760667
87,Afghanistan,AFG,2036,14.706909764760667
88,Afghanistan,AFG,2037,14.706909764760667
89,Afghanistan,AFG,2038,14.706909764760667
90,Afghanistan,AFG,2039,14.706909764760667
91,Afghanistan,AFG,2040,14.706909764760667
92,Afghanistan,AFG,2041,14.706909764760667
93,Afghanistan,AFG,2042,14.706909764760667
94,Afghanistan,AFG,2043,14.706909764760667
95,Afghanistan,AFG,2044,14.706909764760667
96,Afghanistan,AFG,2045,14.706909764760667
97,Afghanistan,AFG,2046,14.706909764760667
98,Afghanistan,AFG,2047,14.706909764760667
99,Afghanistan,AFG,2048,14.706909764760667
100,Afghanistan,AFG,2049,14.706909764760667
101,Afghanistan,AFG,2050,14.706909764760667
102,Africa Western and Central,AFW,2017,1.2613582874696028
103,Africa Western and Central,AFW,2018,1.2613582874696028
104,Africa Western and Central,AFW,2019,1.2613582874696028
105,Africa Western and Central,AFW,2020,1.2613582874696028
106,Africa Western and Central,AFW,2021,1.2613582874696028
107,Africa Western and Central,AFW,2022,1.2613582874696028
108,Africa Western and Central,AFW,2023,1.2613582874696028
109,Africa Western and Central,AFW,2024,1.2613582874696028
110,Africa Western and Central,AFW,2025,1.2613582874696028
111,Africa Western and Central,AFW,2026,1.2613582874696028
112,Africa Western and Central,AFW,2027,1.2613582874696028
113,Africa Western and Central,AFW,2028,1.2613582874696028
114,Africa Western and Central,AFW,2029,1.2613582874696028
115,Africa Western and Central,AFW,2030,1.2613582874696028
116,Africa Western and Central,AFW,2031,1.2613582874696028
117,Africa Western and Central,AFW,2032,1.2613582874696028
118,Africa Western and Central,AFW,2033,1.2613582874696028
119,Africa Western and Central,AFW,2034,1.2613582874696028
120,Africa Western and Central,AFW,2035,1.2613582874696028
121,Africa Western and Central,AFW,2036,1.2613582874696028
122,Africa Western and Central,AFW,2037,1.2613582874696028
123,Africa Western and Central,AFW,2038,1.2613582874696028
124,Africa Western and Central,AFW,2039,1.2613582874696028
125,Africa Western and Central,AFW,2040,1.2613582874696028
126,Africa Western and Central,AFW,2041,1.2613582874696028
127,Africa Western and Central,AFW,2042,1.2613582874696028
128,Africa Western and Central,AFW,2043,1.2613582874696028
129,Africa Western and Central,AFW,2044,1.2613582874696028
130,Africa Western and Central,AFW,2045,1.2613582874696028
131,Africa Western and Central,AFW,2046,1.2613582874696028
132,Africa Western and Central,AFW,2047,1.2613582874696028
133,Africa Western and Central,AFW,2048,1.2613582874696028
134,Africa Western and Central,AFW,2049,1.2613582874696028
135,Africa Western and Central,AFW,2050,1.2613582874696028
136,Angola,AGO,2017,126.71820093556903
137,Angola,AGO,2018,126.71820093556903
138,Angola,AGO,2019,126.71820093556903
139,Angola,AGO,2020,126.71820093556903
140,Angola,AGO,2021,126.71820093556903
141,Angola,AGO,2022,126.71820093556903
142,Angola,AGO,2023,126.71820093556903
143,Angola,AGO,2024,126.71820093556903
144,Angola,AGO,2025,126.71820093556903
145,Angola,AGO,2026,126.71820093556903
146,Angola,AGO,2027,126.71820093556903
147,Angola,AGO,2028,126.71820093556903
148,Angola,AGO,2029,126.71820093556903
149,Angola,AGO,2030,126.71820093556903
150,Angola,AGO,2031,126.71820093556903
151,Angola,AGO,2032,126.71820093556903
152,Angola,AGO,2033,126.71820093556903
153,Angola,AGO,2034,126.71820093556903
154,Angola,AGO,2035,126.71820093556903
155,Angola,AGO,2036,126.71820093556903
156,Angola,AGO,2037,126.71820093556903
157,Angola,AGO,2038,126.71820093556903
158,Angola,AGO,2039,126.71820093556903
159,Angola,AGO,2040,126.71820093556903
160,Angola,AGO,2041,126.71820093556903
161,Angola,AGO,2042,126.71820093556903
162,Angola,AGO,2043,126.71820093556903
163,Angola,AGO,2044,126.71820093556903
164,Angola,AGO,2045,126.71820093556903
165,Angola,AGO,2046,126.71820093556903
166,Angola,AGO,2047,126.71820093556903
167,Angola,AGO,2048,126.71820093556903
168,Angola,AGO,2049,126.71820093556903
169,Angola,AGO,2050,126.71820093556903
170,Albania,ALB,2017,15.689180131944834
171,Albania,ALB,2018,15.689180131944834
172,Albania,ALB,2019,15.689180131944834
173,Albania,ALB,2020,15.689180131944834
174,Albania,ALB,2021,15.689180131944834
175,Albania,ALB,2022,15.689180131944834
176,Albania,ALB,2023,15.689180131944834
177,Albania,ALB,2024,15.689180131944834
178,Albania,ALB,2025,15.689180131944834
179,Albania,ALB,2026,15.689180131944834
180,Albania,ALB,2027,15.689180131944834
181,Albania,ALB,2028,15.689180131944834
182,Albania,ALB,2029,15.689180131944834
183,Albania,ALB,2030,15.689180131944834
184,Albania,ALB,2031,15.689180131944834
185,Albania,ALB,2032,15.689180131944834
186,Albania,ALB,2033,15.689180131944834
187,Albania,ALB,2034,15.689180131944834
188,Albania,ALB,2035,15.689180131944834
189,Albania,ALB,2036,15.689180131944834
190,Albania,ALB,2037,15.689180131944834
191,Albania,ALB,2038,15.689180131944834
192,Albania,ALB,2039,15.689180131944834
193,Albania,ALB,2040,15.689180131944834
194,Albania,ALB,2041,15.689180131944834
195,Albania,ALB,2042,15.689180131944834
196,Albania,ALB,2043,15.689180131944834
197,Albania,ALB,2044,15.689180131944834
198,Albania,ALB,2045,15.689180131944834
199,Albania,ALB,2046,15.689180131944834
200,Albania,ALB,2047,15.689180131944834
201,Albania,ALB,2048,15.689180131944834
202,Albania,ALB,2049,15.689180131944834
203,Albania,ALB,2050,15.689180131944834
204,Andorra,AND,2017,6732.324212432887
205,Andorra,AND,2018,6732.324212432887
206,Andorra,AND,2019,6732.324212432887
207,Andorra,AND,2020,6732.324212432887
208,Andorra,AND,2021,6732.324212432887
209,Andorra,AND,2022,6732.324212432887
210,Andorra,AND,2023,6732.324212432887
211,Andorra,AND,2024,6732.324212432887
212,Andorra,AND,2025,6732.324212432887
213,Andorra,AND,2026,6732.324212432887
214,Andorra,AND,2027,6732.324212432887
215,Andorra,AND,2028,6732.324212432887
216,Andorra,AND,2029,6732.324212432887
217,Andorra,AND,2030,6732.324212432887
218,Andorra,AND,2031,6732.324212432887
219,Andorra,AND,2032,6732.324212432887
220,Andorra,AND,2033,6732.324212432887
221,Andorra,AND,2034,6732.324212432887
222,Andorra,AND,2035,6732.324212432887
223,Andorra,AND,2036,6732.324212432887
224,Andorra,AND,2037,6732.324212432887
225,Andorra,AND,2038,6732.324212432887
226,Andorra,AND,2039,6732.324212432887
227,Andorra,AND,2040,6732.324212432887
228,Andorra,AND,2041,6732.324212432887
229,Andorra,AND,2042,6732.324212432887
230,Andorra,AND,2043,6732.324212432887
231,Andorra,AND,2044,6732.324212432887
232,Andorra,AND,2045,6732.324212432887
233,Andorra,AND,2046,6732.324212432887
234,Andorra,AND,2047,6732.324212432887
235,Andorra,AND,2048,6732.324212432887
236,Andorra,AND,2049,6732.324212432887
237,Andorra,AND,2050,6732.324212432887
238,Arab World,ARB,2017,1.2879201943738192
239,Arab World,ARB,2018,1.2879201943738192
240,Arab World,ARB,2019,1.2879201943738192
241,Arab World,ARB,2020,1.2879201943738192
242,Arab World,ARB,2021,1.2879201943738192
243,Arab World,ARB,2022,1.2879201943738192
244,Arab World,ARB,2023,1.2879201943738192
245,Arab World,ARB,2024,1.2879201943738192
246,Arab World,ARB,2025,1.2879201943738192
247,Arab World,ARB,2026,1.2879201943738192
248,Arab World,ARB,2027,1.2879201943738192
249,Arab World,ARB,2028,1.2879201943738192
250,Arab World,ARB,2029,1.2879201943738192
251,Arab World,ARB,2030,1.2879201943738192
252,Arab World,ARB,2031,1.2879201943738192
253,Arab World,ARB,2032,1.2879201943738192
254,Arab World,ARB,2033,1.2879201943738192
255,Arab World,ARB,2034,1.2879201943738192
256,Arab World,ARB,2035,1.2879201943738192
257,Arab World,ARB,2036,1.2879201943738192
258,Arab World,ARB,2037,1.2879201943738192
259,Arab World,ARB,2038,1.2879201943738192
260,Arab World,ARB,2039,1.2879201943738192
261,Arab World,ARB,2040,1.2879201943738192
262,Arab World,ARB,2041,1.2879201943738192
263,Arab World,ARB,2042,1.2879201943738192
264,Arab World,ARB,2043,1.2879201943738192
265,Arab World,ARB,2044,1.2879201943738192
266,Arab World,ARB,2045,1.2879201943738192
267,Arab World,ARB,2046,1.2879201943738192
268,Arab World,ARB,2047,1.2879201943738192
269,Arab World,ARB,2048,1.2879201943738192
270,Arab World,ARB,2049,1.2879201943738192
271,Arab World,ARB,2050,1.2879201943738192
272,United Arab Emirates,ARE,2017,1659.874413563312
273,United Arab Emirates,ARE,2018,1659.874413563312
274,United Arab Emirates,ARE,2019,1659.874413563312
275,United Arab Emirates,ARE,2020,1659.874413563312
276,United Arab Emirates,ARE,2021,1659.874413563312
277,United Arab Emirates,ARE,2022,1659.874413563312
278,United Arab Emirates,ARE,2023,1659.874413563312
279,United Arab Emirates,ARE,2024,1659.874413563312
280,United Arab Emirates,ARE,2025,1659.874413563312
281,United Arab Emirates,ARE,2026,1659.874413563312
282,United Arab Emirates,ARE,2027,1659.874413563312
283,United Arab Emirates,ARE,2028,1659.874413563312
284,United Arab Emirates,ARE,2029,1659.874413563312
285,United Arab Emirates,ARE,2030,1659.874413563312
286,United Arab Emirates,ARE,2031,1659.874413563312
287,United Arab Emirates,ARE,2032,1659.874413563312
288,United Arab Emirates,ARE,2033,1659.874413563312
289,United Arab Emirates,ARE,2034,1659.874413563312
290,United Arab Emirates,ARE,2035,1659.874413563312
291,United Arab Emirates,ARE,2036,1659.874413563312
292,United Arab Emirates,ARE,2037,1659.874413563312
293,United Arab Emirates,ARE,2038,1659.874413563312
294,United Arab Emirates,ARE,2039,1659.874413563312
295,United Arab Emirates,ARE,2040,1659.874413563312
296,United Arab Emirates,ARE,2041,1659.874413563312
297,United Arab Emirates,ARE,2042,1659.874413563312
298,United Arab Emirates,ARE,2043,1659.874413563312
299,United Arab Emirates,ARE,2044,1659.874413563312
300,United Arab Emirates,ARE,2045,1659.874413563312
301,United Arab Emirates,ARE,2046,1659.874413563312
302,United Arab Emirates,ARE,2047,1659.874413563312
303,United Arab Emirates,ARE,2048,1659.874413563312
304,United Arab Emirates,ARE,2049,1659.874413563312
305,United Arab Emirates,ARE,2050,1659.874413563312
306,Argentina,ARG,2017,178.1282380581191
307,Argentina,ARG,2018,178.1282380581191
308,Argentina,ARG,2019,178.1282380581191
309,Argentina,ARG,2020,178.1282380581191
310,Argentina,ARG,2021,178.1282380581191
311,Argentina,ARG,2022,178.1282380581191
312,Argentina,ARG,2023,178.1282380581191
313,Argentina,ARG,2024,178.1282380581191
314,Argentina,ARG,2025,178.1282380581191
315,Argentina,ARG,2026,178.1282380581191
316,Argentina,ARG,2027,178.1282380581191
317,Argentina,ARG,2028,178.1282380581191
318,Argentina,ARG,2029,178.1282380581191
319,Argentina,ARG,2030,178.1282380581191
320,Argentina,ARG,2031,178.1282380581191
321,Argentina,ARG,2032,178.1282380581191
322,Argentina,ARG,2033,178.1282380581191
323,Argentina,ARG,2034,178.1282380581191
324,Argentina,ARG,2035,178.1282380581191
325,Argentina,ARG,2036,178.1282380581191
326,Argentina,ARG,2037,178.1282380581191
327,Argentina,ARG,2038,178.1282380581191
328,Argentina,ARG,2039,178.1282380581191
329,Argentina,ARG,2040,178.1282380581191
330,Argentina,ARG,2041,178.1282380581191
331,Argentina,ARG,2042,178.1282380581191
332,Argentina,ARG,2043,178.1282380581191
333,Argentina,ARG,2044,178.1282380581191
334,Argentina,ARG,2045,178.1282380581191
335,Argentina,ARG,2046,178.1282380581191
336,Argentina,ARG,2047,178.1282380581191
337,Argentina,ARG,2048,178.1282380581191
338,Argentina,ARG,2049,178.1282380581191
339,Argentina,ARG,2050,178.1282380581191
340,Armenia,ARM,2017,14.361224648039306
341,Armenia,ARM,2018,14.361224648039306
342,Armenia,ARM,2019,14.361224648039306
343,Armenia,ARM,2020,14.361224648039306
344,Armenia,ARM,2021,14.361224648039306
345,Armenia,ARM,2022,14.361224648039306
346,Armenia,ARM,2023,14.361224648039306
347,Armenia,ARM,2024,14.361224648039306
348,Armenia,ARM,2025,14.361224648039306
349,Armenia,ARM,2026,14.361224648039306
350,Armenia,ARM,2027,14.361224648039306
351,Armenia,ARM,2028,14.361224648039306
352,Armenia,ARM,2029,14.361224648039306
353,Armenia,ARM,2030,14.361224648039306
354,Armenia,ARM,2031,14.361224648039306
355,Armenia,ARM,2032,14.361224648039306
356,Armenia,ARM,2033,14.361224648039306
357,Armenia,ARM,2034,14.361224648039306
358,Armenia,ARM,2035,14.361224648039306
359,Armenia,ARM,2036,14.361224648039306
360,Armenia,ARM,2037,14.361224648039306
361,Armenia,ARM,2038,14.361224648039306
362,Armenia,ARM,2039,14.361224648039306
363,Armenia,ARM,2040,14.361224648039306
364,Armenia,ARM,2041,14.361224648039306
365,Armenia,ARM,2042,14.361224648039306
366,Armenia,ARM,2043,14.361224648039306
367,Armenia,ARM,2044,14.361224648039306
368,Armenia,ARM,2045,14.361224648039306
369,Armenia,ARM,2046,14.361224648039306
370,Armenia,ARM,2047,14.361224648039306
371,Armenia,ARM,2048,14.361224648039306
372,Armenia,ARM,2049,14.361224648039306
373,Armenia,ARM,2050,14.361224648039306
374,American Samoa,ASM,2017,9335.922782970632
375,American Samoa,ASM,2018,9335.922782970632
376,American Samoa,ASM,2019,9335.922782970632
377,American Samoa,ASM,2020,9335.922782970632
378,American Samoa,ASM,2021,9335.922782970632
379,American Samoa,ASM,2022,9335.922782970632
380,American Samoa,ASM,2023,9335.922782970632
381,American Samoa,ASM,2024,9335.922782970632
382,American Samoa,ASM,2025,9335.922782970632
383,American Samoa,ASM,2026,9335.922782970632
384,American Samoa,ASM,2027,9335.922782970632
385,American Samoa,ASM,2028,9335.922782970632
386,American Samoa,ASM,2029,9335.922782970632
387,American Samoa,ASM,2030,9335.922782970632
388,American Samoa,ASM,2031,9335.922782970632
389,American Samoa,ASM,2032,9335.922782970632
390,American Samoa,ASM,2033,9335.922782970632
391,American Samoa,ASM,2034,9335.922782970632
392,American Samoa,ASM,2035,9335.922782970632
393,American Samoa,ASM,2036,9335.922782970632
394,American Samoa,ASM,2037,9335.922782970632
395,American Samoa,ASM,2038,9335.922782970632
396,American Samoa,ASM,2039,9335.922782970632
397,American Samoa,ASM,2040,9335.922782970632
398,American Samoa,ASM,2041,9335.922782970632
399,American Samoa,ASM,2042,9335.922782970632
400,American Samoa,ASM,2043,9335.922782970632
401,American Samoa,ASM,2044,9335.922782970632
402,American Samoa,ASM,2045,9335.922782970632
403,American Samoa,ASM,2046,9335.922782970632
404,American Samoa,ASM,2047,9335.922782970632
405,American Samoa,ASM,2048,9335.922782970632
406,American Samoa,ASM,2049,9335.922782970632
407,American Samoa,ASM,2050,9335.922782970632
408,Antigua and Barbuda,ATG,2017,5505.448582310622
409,Antigua and Barbuda,ATG,2018,5505.448582310622
410,Antigua and Barbuda,ATG,2019,5505.448582310622
411,Antigua and Barbuda,ATG,2020,5505.448582310622
412,Antigua and Barbuda,ATG,2021,5505.448582310622
413,Antigua and Barbuda,ATG,2022,5505.448582310622
414,Antigua and Barbuda,ATG,2023,5505.448582310622
415,Antigua and Barbuda,ATG,2024,5505.448582310622
416,Antigua and Barbuda,ATG,2025,5505.448582310622
417,Antigua and Barbuda,ATG,2026,5505.448582310622
418,Antigua and Barbuda,ATG,2027,5505.448582310622
419,Antigua and Barbuda,ATG,2028,5505.448582310622
420,Antigua and Barbuda,ATG,2029,5505.448582310622
421,Antigua and Barbuda,ATG,2030,5505.448582310622
422,Antigua and Barbuda,ATG,2031,5505.448582310622
423,Antigua and Barbuda,ATG,2032,5505.448582310622
424,Antigua and Barbuda,ATG,2033,5505.448582310622
425,Antigua and Barbuda,ATG,2034,5505.448582310622
426,Antigua and Barbuda,ATG,2035,5505.448582310622
427,Antigua and Barbuda,ATG,2036,5505.448582310622
428,Antigua and Barbuda,ATG,2037,5505.448582310622
429,Antigua and Barbuda,ATG,2038,5505.448582310622
430,Antigua and Barbuda,ATG,2039,5505.448582310622
431,Antigua and Barbuda,ATG,2040,5505.448582310622
432,Antigua and Barbuda,ATG,2041,5505.448582310622
433,Antigua and Barbuda,ATG,2042,5505.448582310622
434,Antigua and Barbuda,ATG,2043,5505.448582310622
435,Antigua and Barbuda,ATG,2044,5505.448582310622
436,Antigua and Barbuda,ATG,2045,5505.448582310622
437,Antigua and Barbuda,ATG,2046,5505.448582310622
438,Antigua and Barbuda,ATG,2047,5505.448582310622
439,Antigua and Barbuda,ATG,2048,5505.448582310622
440,Antigua and Barbuda,ATG,2049,5505.448582310622
441,Antigua and Barbuda,ATG,2050,5505.448582310622
442,Australia,AUS,2017,601.1530185753581
443,Australia,AUS,2018,601.1530185753581
444,Australia,AUS,2019,601.1530185753581
445,Australia,AUS,2020,601.1530185753581
446,Australia,AUS,2021,601.1530185753581
447,Australia,AUS,2022,601.1530185753581
448,Australia,AUS,2023,601.1530185753581
449,Australia,AUS,2024,601.1530185753581
450,Australia,AUS,2025,601.1530185753581
451,Australia,AUS,2026,601.1530185753581
452,Australia,AUS,2027,601.1530185753581
453,Australia,AUS,2028,601.1530185753581
454,Australia,AUS,2029,601.1530185753581
455,Australia,AUS,2030,601.1530185753581
456,Australia,AUS,2031,601.1530185753581
457,Australia,AUS,2032,601.1530185753581
458,Australia,AUS,2033,601.1530185753581
459,Australia,AUS,2034,601.1530185753581
460,Australia,AUS,2035,601.1530185753581
461,Australia,AUS,2036,601.1530185753581
462,Australia,AUS,2037,601.1530185753581
463,Australia,AUS,2038,601.1530185753581
464,Australia,AUS,2039,601.1530185753581
465,Australia,AUS,2040,601.1530185753581
466,Australia,AUS,2041,601.1530185753581
467,Australia,AUS,2042,601.1530185753581
468,Australia,AUS,2043,601.1530185753581
469,Australia,AUS,2044,601.1530185753581
470,Australia,AUS,2045,601.1530185753581
471,Australia,AUS,2046,601.1530185753581
472,Australia,AUS,2047,601.1530185753581
473,Australia,AUS,2048,601.1530185753581
474,Australia,AUS,2049,601.1530185753581
475,Australia,AUS,2050,601.1530185753581
476,Austria,AUT,2017,1190.8343143655052
477,Austria,AUT,2018,1190.8343143655052
478,Austria,AUT,2019,1190.8343143655052
479,Austria,AUT,2020,1190.8343143655052
480,Austria,AUT,2021,1190.8343143655052
481,Austria,AUT,2022,1190.8343143655052
482,Austria,AUT,2023,1190.8343143655052
483,Austria,AUT,2024,1190.8343143655052
484,Austria,AUT,2025,1190.8343143655052
485,Austria,AUT,2026,1190.8343143655052
486,Austria,AUT,2027,1190.8343143655052
487,Austria,AUT,2028,1190.8343143655052
488,Austria,AUT,2029,1190.8343143655052
489,Austria,AUT,2030,1190.8343143655052
490,Austria,AUT,2031,1190.8343143655052
491,Austria,AUT,2032,1190.8343143655052
492,Austria,AUT,2033,1190.8343143655052
493,Austria,AUT,2034,1190.8343143655052
494,Austria,AUT,2035,1190.8343143655052
495,Austria,AUT,2036,1190.8343143655052
496,Austria,AUT,2037,1190.8343143655052
497,Austria,AUT,2038,1190.8343143655052
498,Austria,AUT,2039,1190.8343143655052
499,Austria,AUT,2040,1190.8343143655052
500,Austria,AUT,2041,1190.8343143655052
501,Austria,AUT,2042,1190.8343143655052
502,Austria,AUT,2043,1190.8343143655052
503,Austria,AUT,2044,1190.8343143655052
504,Austria,AUT,2045,1190.8343143655052
505,Austria,AUT,2046,1190.8343143655052
506,Austria,AUT,2047,1190.8343143655052
507,Austria,AUT,2048,1190.8343143655052
508,Austria,AUT,2049,1190.8343143655052
509,Austria,AUT,2050,1190.8343143655052
510,Azerbaijan,AZE,2017,68.61901300941528
511,Azerbaijan,AZE,2018,68.61901300941528
512,Azerbaijan,AZE,2019,68.61901300941528
513,Azerbaijan,AZE,2020,68.61901300941528
514,Azerbaijan,AZE,2021,68.61901300941528
515,Azerbaijan,AZE,2022,68.61901300941528
516,Azerbaijan,AZE,2023,68.61901300941528
517,Azerbaijan,AZE,2024,68.61901300941528
518,Azerbaijan,AZE,2025,68.61901300941528
519,Azerbaijan,AZE,2026,68.61901300941528
520,Azerbaijan,AZE,2027,68.61901300941528
521,Azerbaijan,AZE,2028,68.61901300941528
522,Azerbaijan,AZE,2029,68.61901300941528
523,Azerbaijan,AZE,2030,68.61901300941528
524,Azerbaijan,AZE,2031,68.61901300941528
525,Azerbaijan,AZE,2032,68.61901300941528
526,Azerbaijan,AZE,2033,68.61901300941528
527,Azerbaijan,AZE,2034,68.61901300941528
528,Azerbaijan,AZE,2035,68.61901300941528
529,Azerbaijan,AZE,2036,68.61901300941528
530,Azerbaijan,AZE,2037,68.61901300941528
531,Azerbaijan,AZE,2038,68.61901300941528
532,Azerbaijan,AZE,2039,68.61901300941528
533,Azerbaijan,AZE,2040,68.61901300941528
534,Azerbaijan,AZE,2041,68.61901300941528
535,Azerbaijan,AZE,2042,68.61901300941528
536,Azerbaijan,AZE,2043,68.61901300941528
537,Azerbaijan,AZE,2044,68.61901300941528
538,Azerbaijan,AZE,2045,68.61901300941528
539,Azerbaijan,AZE,2046,68.61901300941528
540,Azerbaijan,AZE,2047,68.61901300941528
541,Azerbaijan,AZE,2048,68.61901300941528
542,Azerbaijan,AZE,2049,68.61901300941528
543,Azerbaijan,AZE,2050,68.61901300941528
544,Burundi,BDI,2017,49.616218608653966
545,Burundi,BDI,2018,49.616218608653966
546,Burundi,BDI,2019,49.616218608653966
547,Burundi,BDI,2020,49.616218608653966
548,Burundi,BDI,2021,49.616218608653966
549,Burundi,BDI,2022,49.616218608653966
550,Burundi,BDI,2023,49.616218608653966
551,Burundi,BDI,2024,49.616218608653966
552,Burundi,BDI,2025,49.616218608653966
553,Burundi,BDI,2026,49.616218608653966
554,Burundi,BDI,2027,49.616218608653966
555,Burundi,BDI,2028,49.616218608653966
556,Burundi,BDI,2029,49.616218608653966
557,Burundi,BDI,2030,49.616218608653966
558,Burundi,BDI,2031,49.616218608653966
559,Burundi,BDI,2032,49.616218608653966
560,Burundi,BDI,2033,49.616218608653966
561,Burundi,BDI,2034,49.616218608653966
562,Burundi,BDI,2035,49.616218608653966
563,Burundi,BDI,2036,49.616218608653966
564,Burundi,BDI,2037,49.616218608653966
565,Burundi,BDI,2038,49.616218608653966
566,Burundi,BDI,2039,49.616218608653966
567,Burundi,BDI,2040,49.616218608653966
568,Burundi,BDI,2041,49.616218608653966
569,Burundi,BDI,2042,49.616218608653966
570,Burundi,BDI,2043,49.616218608653966
571,Burundi,BDI,2044,49.616218608653966
572,Burundi,BDI,2045,49.616218608653966
573,Burundi,BDI,2046,49.616218608653966
574,Burundi,BDI,2047,49.616218608653966
575,Burundi,BDI,2048,49.616218608653966
576,Burundi,BDI,2049,49.616218608653966
577,Burundi,BDI,2050,49.616218608653966
578,Belgium,BEL,2017,855.6779210100567
579,Belgium,BEL,2018,855.6779210100567
580,Belgium,BEL,2019,855.6779210100567
581,Belgium,BEL,2020,855.6779210100567
582,Belgium,BEL,2021,855.6779210100567
583,Belgium,BEL,2022,855.6779210100567
584,Belgium,BEL,2023,855.6779210100567
585,Belgium,BEL,2024,855.6779210100567
586,Belgium,BEL,2025,855.6779210100567
587,Belgium,BEL,2026,855.6779210100567
588,Belgium,BEL,2027,855.6779210100567
589,Belgium,BEL,2028,855.6779210100567
590,Belgium,BEL,2029,855.6779210100567
591,Belgium,BEL,2030,855.6779210100567
592,Belgium,BEL,2031,855.6779210100567
