Year,Nation,iso_code3,frac_enfu_fuel_demand_imported_pj_fuel_natural_gas
2038,australia,AUS,0.04245778801294506
2039,australia,AUS,0.04245778801294506
2040,australia,AUS,0.04245778801294506
2041,australia,AUS,0.04245778801294506
2042,australia,AUS,0.04245778801294506
2043,australia,AUS,0.04245778801294506
2044,australia,AUS,0.04245778801294506
2045,australia,AUS,0.04245778801294506
2046,australia,AUS,0.04245778801294506
2047,australia,AUS,0.04245778801294506
2048,australia,AUS,0.04245778801294506
2049,australia,AUS,0.04245778801294506
2050,australia,AUS,0.04245778801294506
2018,austria,AUT,0.639934624263524
2019,austria,AUT,0.639934624263524
2020,austria,AUT,0.639934624263524
2021,austria,AUT,0.639934624263524
2022,austria,AUT,0.639934624263524
2023,austria,AUT,0.639934624263524
2024,austria,AUT,0.639934624263524
2025,austria,AUT,0.639934624263524
2026,austria,AUT,0.639934624263524
2027,austria,AUT,0.639934624263524
2028,austria,AUT,0.639934624263524
2029,austria,AUT,0.639934624263524
2030,austria,AUT,0.639934624263524
2031,austria,AUT,0.639934624263524
2032,austria,AUT,0.639934624263524
2033,austria,AUT,0.639934624263524
2034,austria,AUT,0.639934624263524
2035,austria,AUT,0.639934624263524
2036,austria,AUT,0.639934624263524
2037,austria,AUT,0.639934624263524
2038,austria,AUT,0.639934624263524
2039,austria,AUT,0.639934624263524
2040,austria,AUT,0.639934624263524
2041,austria,AUT,0.639934624263524
2042,austria,AUT,0.639934624263524
2043,austria,AUT,0.639934624263524
2044,austria,AUT,0.639934624263524
2045,austria,AUT,0.639934624263524
2046,austria,AUT,0.639934624263524
2047,austria,AUT,0.639934624263524
2048,austria,AUT,0.639934624263524
2049,austria,AUT,0.639934624263524
2050,austria,AUT,0.639934624263524
2018,azerbaijan,AZE,0.011024272528341072
2019,azerbaijan,AZE,0.011024272528341072
2020,azerbaijan,AZE,0.011024272528341072
2021,azerbaijan,AZE,0.011024272528341072
2022,azerbaijan,AZE,0.011024272528341072
2023,azerbaijan,AZE,0.011024272528341072
2024,azerbaijan,AZE,0.011024272528341072
2025,azerbaijan,AZE,0.011024272528341072
2026,azerbaijan,AZE,0.011024272528341072
2027,azerbaijan,AZE,0.011024272528341072
2028,azerbaijan,AZE,0.011024272528341072
2029,azerbaijan,AZE,0.011024272528341072
2030,azerbaijan,AZE,0.011024272528341072
2031,azerbaijan,AZE,0.011024272528341072
2032,azerbaijan,AZE,0.011024272528341072
2033,azerbaijan,AZE,0.011024272528341072
2034,azerbaijan,AZE,0.011024272528341072
2035,azerbaijan,AZE,0.011024272528341072
2036,azerbaijan,AZE,0.011024272528341072
2037,azerbaijan,AZE,0.011024272528341072
2038,azerbaijan,AZE,0.011024272528341072
2039,azerbaijan,AZE,0.011024272528341072
2040,azerbaijan,AZE,0.011024272528341072
2041,azerbaijan,AZE,0.011024272528341072
2042,azerbaijan,AZE,0.011024272528341072
2043,azerbaijan,AZE,0.011024272528341072
2044,azerbaijan,AZE,0.011024272528341072
2045,azerbaijan,AZE,0.011024272528341072
2046,azerbaijan,AZE,0.011024272528341072
2047,azerbaijan,AZE,0.011024272528341072
2048,azerbaijan,AZE,0.011024272528341072
2049,azerbaijan,AZE,0.011024272528341072
2050,azerbaijan,AZE,0.011024272528341072
2018,bahrain,BHR,0.0
2019,bahrain,BHR,0.0
2020,bahrain,BHR,0.0
2021,bahrain,BHR,0.0
2022,bahrain,BHR,0.0
2023,bahrain,BHR,0.0
2024,bahrain,BHR,0.0
2025,bahrain,BHR,0.0
2026,bahrain,BHR,0.0
2027,bahrain,BHR,0.0
2028,bahrain,BHR,0.0
2029,bahrain,BHR,0.0
2030,bahrain,BHR,0.0
2031,bahrain,BHR,0.0
2032,bahrain,BHR,0.0
2033,bahrain,BHR,0.0
2034,bahrain,BHR,0.0
2035,bahrain,BHR,0.0
2036,bahrain,BHR,0.0
2037,bahrain,BHR,0.0
2038,bahrain,BHR,0.0
2039,bahrain,BHR,0.0
2040,bahrain,BHR,0.0
2041,bahrain,BHR,0.0
2042,bahrain,BHR,0.0
2043,bahrain,BHR,0.0
2044,bahrain,BHR,0.0
2045,bahrain,BHR,0.0
2046,bahrain,BHR,0.0
2047,bahrain,BHR,0.0
2048,bahrain,BHR,0.0
2049,bahrain,BHR,0.0
2050,bahrain,BHR,0.0
2018,bangladesh,BGD,0.0
2019,bangladesh,BGD,0.0
2020,bangladesh,BGD,0.0
2021,bangladesh,BGD,0.0
2022,bangladesh,BGD,0.0
2023,bangladesh,BGD,0.0
2024,bangladesh,BGD,0.0
2025,bangladesh,BGD,0.0
2026,bangladesh,BGD,0.0
2027,bangladesh,BGD,0.0
2028,bangladesh,BGD,0.0
2029,bangladesh,BGD,0.0
2030,bangladesh,BGD,0.0
2031,bangladesh,BGD,0.0
2032,bangladesh,BGD,0.0
2033,bangladesh,BGD,0.0
2034,bangladesh,BGD,0.0
2035,bangladesh,BGD,0.0
2036,bangladesh,BGD,0.0
2037,bangladesh,BGD,0.0
2038,bangladesh,BGD,0.0
2039,bangladesh,BGD,0.0
2040,bangladesh,BGD,0.0
2041,bangladesh,BGD,0.0
2042,bangladesh,BGD,0.0
2043,bangladesh,BGD,0.0
2044,bangladesh,BGD,0.0
2045,bangladesh,BGD,0.0
2046,bangladesh,BGD,0.0
2047,bangladesh,BGD,0.0
2048,bangladesh,BGD,0.0
2049,bangladesh,BGD,0.0
2050,bangladesh,BGD,0.0
2018,belarus,BLR,0.991068615184119
2019,belarus,BLR,0.991068615184119
2020,belarus,BLR,0.991068615184119
2021,belarus,BLR,0.991068615184119
2022,belarus,BLR,0.991068615184119
2023,belarus,BLR,0.991068615184119
2024,belarus,BLR,0.991068615184119
2025,belarus,BLR,0.991068615184119
2026,belarus,BLR,0.991068615184119
2027,belarus,BLR,0.991068615184119
2028,belarus,BLR,0.991068615184119
2029,belarus,BLR,0.991068615184119
2030,belarus,BLR,0.991068615184119
2031,belarus,BLR,0.991068615184119
2032,belarus,BLR,0.991068615184119
2033,belarus,BLR,0.991068615184119
2034,belarus,BLR,0.991068615184119
2035,belarus,BLR,0.991068615184119
2036,belarus,BLR,0.991068615184119
2037,belarus,BLR,0.991068615184119
2038,belarus,BLR,0.991068615184119
2039,belarus,BLR,0.991068615184119
2040,belarus,BLR,0.991068615184119
2041,belarus,BLR,0.991068615184119
2042,belarus,BLR,0.991068615184119
2043,belarus,BLR,0.991068615184119
2044,belarus,BLR,0.991068615184119
2045,belarus,BLR,0.991068615184119
2046,belarus,BLR,0.991068615184119
2047,belarus,BLR,0.991068615184119
2048,belarus,BLR,0.991068615184119
2049,belarus,BLR,0.991068615184119
2050,belarus,BLR,0.991068615184119
2018,belgium,BEL,0.9627105304822468
2019,belgium,BEL,0.9627105304822468
2020,belgium,BEL,0.9627105304822468
2021,belgium,BEL,0.9627105304822468
2022,belgium,BEL,0.9627105304822468
2023,belgium,BEL,0.9627105304822468
2024,belgium,BEL,0.9627105304822468
2025,belgium,BEL,0.9627105304822468
2026,belgium,BEL,0.9627105304822468
2027,belgium,BEL,0.9627105304822468
2028,belgium,BEL,0.9627105304822468
2029,belgium,BEL,0.9627105304822468
2030,belgium,BEL,0.9627105304822468
2031,belgium,BEL,0.9627105304822468
2032,belgium,BEL,0.9627105304822468
2033,belgium,BEL,0.9627105304822468
2034,belgium,BEL,0.9627105304822468
2035,belgium,BEL,0.9627105304822468
2036,belgium,BEL,0.9627105304822468
2037,belgium,BEL,0.9627105304822468
2038,belgium,BEL,0.9627105304822468
2039,belgium,BEL,0.9627105304822468
2040,belgium,BEL,0.9627105304822468
2041,belgium,BEL,0.9627105304822468
2042,belgium,BEL,0.9627105304822468
2043,belgium,BEL,0.9627105304822468
2044,belgium,BEL,0.9627105304822468
2045,belgium,BEL,0.9627105304822468
2046,belgium,BEL,0.9627105304822468
2047,belgium,BEL,0.9627105304822468
2048,belgium,BEL,0.9627105304822468
2049,belgium,BEL,0.9627105304822468
2050,belgium,BEL,0.9627105304822468
2018,bosnia and herzegovina,BIH,1.0
2019,bosnia and herzegovina,BIH,1.0
2020,bosnia and herzegovina,BIH,1.0
2021,bosnia and herzegovina,BIH,1.0
2022,bosnia and herzegovina,BIH,1.0
2023,bosnia and herzegovina,BIH,1.0
2024,bosnia and herzegovina,BIH,1.0
2025,bosnia and herzegovina,BIH,1.0
2026,bosnia and herzegovina,BIH,1.0
2027,bosnia and herzegovina,BIH,1.0
2028,bosnia and herzegovina,BIH,1.0
2029,bosnia and herzegovina,BIH,1.0
2030,bosnia and herzegovina,BIH,1.0
2031,bosnia and herzegovina,BIH,1.0
2032,bosnia and herzegovina,BIH,1.0
2033,bosnia and herzegovina,BIH,1.0
2034,bosnia and herzegovina,BIH,1.0
2035,bosnia and herzegovina,BIH,1.0
2036,bosnia and herzegovina,BIH,1.0
2037,bosnia and herzegovina,BIH,1.0
2038,bosnia and herzegovina,BIH,1.0
2039,bosnia and herzegovina,BIH,1.0
2040,bosnia and herzegovina,BIH,1.0
2041,bosnia and herzegovina,BIH,1.0
2042,bosnia and herzegovina,BIH,1.0
2043,bosnia and herzegovina,BIH,1.0
2044,bosnia and herzegovina,BIH,1.0
2045,bosnia and herzegovina,BIH,1.0
2046,bosnia and herzegovina,BIH,1.0
2047,bosnia and herzegovina,BIH,1.0
2048,bosnia and herzegovina,BIH,1.0
2049,bosnia and herzegovina,BIH,1.0
2050,bosnia and herzegovina,BIH,1.0
2018,brazil,BRA,0.32729308080884867
2019,brazil,BRA,0.32729308080884867
2020,brazil,BRA,0.32729308080884867
2021,brazil,BRA,0.32729308080884867
2022,brazil,BRA,0.32729308080884867
2023,brazil,BRA,0.32729308080884867
2024,brazil,BRA,0.32729308080884867
2025,brazil,BRA,0.32729308080884867
2026,brazil,BRA,0.32729308080884867
2027,brazil,BRA,0.32729308080884867
2028,brazil,BRA,0.32729308080884867
2029,brazil,BRA,0.32729308080884867
2030,brazil,BRA,0.32729308080884867
2031,brazil,BRA,0.32729308080884867
2032,brazil,BRA,0.32729308080884867
2033,brazil,BRA,0.32729308080884867
2034,brazil,BRA,0.32729308080884867
2035,brazil,BRA,0.32729308080884867
2036,brazil,BRA,0.32729308080884867
2037,brazil,BRA,0.32729308080884867
2038,brazil,BRA,0.32729308080884867
2039,brazil,BRA,0.32729308080884867
2040,brazil,BRA,0.32729308080884867
2041,brazil,BRA,0.32729308080884867
2042,brazil,BRA,0.32729308080884867
2043,brazil,BRA,0.32729308080884867
2044,brazil,BRA,0.32729308080884867
2045,brazil,BRA,0.32729308080884867
2046,brazil,BRA,0.32729308080884867
2047,brazil,BRA,0.32729308080884867
2048,brazil,BRA,0.32729308080884867
2049,brazil,BRA,0.32729308080884867
2050,brazil,BRA,0.32729308080884867
2018,bulgaria,BGR,0.9704620609527215
2019,bulgaria,BGR,0.9704620609527215
2020,bulgaria,BGR,0.9704620609527215
2021,bulgaria,BGR,0.9704620609527215
2022,bulgaria,BGR,0.9704620609527215
2023,bulgaria,BGR,0.9704620609527215
2024,bulgaria,BGR,0.9704620609527215
2025,bulgaria,BGR,0.9704620609527215
2026,bulgaria,BGR,0.9704620609527215
2027,bulgaria,BGR,0.9704620609527215
2028,bulgaria,BGR,0.9704620609527215
2029,bulgaria,BGR,0.9704620609527215
2030,bulgaria,BGR,0.9704620609527215
2031,bulgaria,BGR,0.9704620609527215
2032,bulgaria,BGR,0.9704620609527215
2033,bulgaria,BGR,0.9704620609527215
2034,bulgaria,BGR,0.9704620609527215
2035,bulgaria,BGR,0.9704620609527215
2036,bulgaria,BGR,0.9704620609527215
2037,bulgaria,BGR,0.9704620609527215
2038,bulgaria,BGR,0.9704620609527215
2039,bulgaria,BGR,0.9704620609527215
2040,bulgaria,BGR,0.9704620609527215
2041,bulgaria,BGR,0.9704620609527215
2042,bulgaria,BGR,0.9704620609527215
2043,bulgaria,BGR,0.9704620609527215
2044,bulgaria,BGR,0.9704620609527215
2045,bulgaria,BGR,0.9704620609527215
2046,bulgaria,BGR,0.9704620609527215
2047,bulgaria,BGR,0.9704620609527215
2048,bulgaria,BGR,0.9704620609527215
2049,bulgaria,BGR,0.9704620609527215
2050,bulgaria,BGR,0.9704620609527215
2018,cameroon,CMR,0.0
2019,cameroon,CMR,0.0
2020,cameroon,CMR,0.0
2021,cameroon,CMR,0.0
2022,cameroon,CMR,0.0
2023,cameroon,CMR,0.0
2024,cameroon,CMR,0.0
2025,cameroon,CMR,0.0
2026,cameroon,CMR,0.0
2027,cameroon,CMR,0.0
2028,cameroon,CMR,0.0
2029,cameroon,CMR,0.0
2030,cameroon,CMR,0.0
2031,cameroon,CMR,0.0
2032,cameroon,CMR,0.0
2033,cameroon,CMR,0.0
2034,cameroon,CMR,0.0
2035,cameroon,CMR,0.0
2036,cameroon,CMR,0.0
2037,cameroon,CMR,0.0
2038,cameroon,CMR,0.0
2039,cameroon,CMR,0.0
2040,cameroon,CMR,0.0
2041,cameroon,CMR,0.0
2042,cameroon,CMR,0.0
2043,cameroon,CMR,0.0
2044,cameroon,CMR,0.0
2045,cameroon,CMR,0.0
2046,cameroon,CMR,0.0
2047,cameroon,CMR,0.0
2048,cameroon,CMR,0.0
2049,cameroon,CMR,0.0
2050,cameroon,CMR,0.0
2018,canada,CAN,0.07331441544752987
2019,canada,CAN,0.07331441544752987
2020,canada,CAN,0.07331441544752987
2021,canada,CAN,0.07331441544752987
2022,canada,CAN,0.07331441544752987
2023,canada,CAN,0.07331441544752987
2024,canada,CAN,0.07331441544752987
2025,canada,CAN,0.07331441544752987
2026,canada,CAN,0.07331441544752987
2027,canada,CAN,0.07331441544752987
2028,canada,CAN,0.07331441544752987
2029,canada,CAN,0.07331441544752987
2030,canada,CAN,0.07331441544752987
2031,canada,CAN,0.07331441544752987
2032,canada,CAN,0.07331441544752987
2033,canada,CAN,0.07331441544752987
2034,canada,CAN,0.07331441544752987
2035,canada,CAN,0.07331441544752987
2036,canada,CAN,0.07331441544752987
2037,canada,CAN,0.07331441544752987
2038,canada,CAN,0.07331441544752987
2039,canada,CAN,0.07331441544752987
2040,canada,CAN,0.07331441544752987
2041,canada,CAN,0.07331441544752987
2042,canada,CAN,0.07331441544752987
2043,canada,CAN,0.07331441544752987
2044,canada,CAN,0.07331441544752987
2045,canada,CAN,0.07331441544752987
2046,canada,CAN,0.07331441544752987
2047,canada,CAN,0.07331441544752987
2048,canada,CAN,0.07331441544752987
2049,canada,CAN,0.07331441544752987
2050,canada,CAN,0.07331441544752987
2018,chile,CHL,0.7353911936390497
2019,chile,CHL,0.7353911936390497
2020,chile,CHL,0.7353911936390497
2021,chile,CHL,0.7353911936390497
2022,chile,CHL,0.7353911936390497
2023,chile,CHL,0.7353911936390497
2024,chile,CHL,0.7353911936390497
2025,chile,CHL,0.7353911936390497
2026,chile,CHL,0.7353911936390497
2027,chile,CHL,0.7353911936390497
2028,chile,CHL,0.7353911936390497
2029,chile,CHL,0.7353911936390497
2030,chile,CHL,0.7353911936390497
2031,chile,CHL,0.7353911936390497
2032,chile,CHL,0.7353911936390497
2033,chile,CHL,0.7353911936390497
2034,chile,CHL,0.7353911936390497
2035,chile,CHL,0.7353911936390497
2036,chile,CHL,0.7353911936390497
2037,chile,CHL,0.7353911936390497
2038,chile,CHL,0.7353911936390497
2039,chile,CHL,0.7353911936390497
2040,chile,CHL,0.7353911936390497
2041,chile,CHL,0.7353911936390497
2042,chile,CHL,0.7353911936390497
2043,chile,CHL,0.7353911936390497
2044,chile,CHL,0.7353911936390497
2045,chile,CHL,0.7353911936390497
2046,chile,CHL,0.7353911936390497
2047,chile,CHL,0.7353911936390497
2048,chile,CHL,0.7353911936390497
2049,chile,CHL,0.7353911936390497
2050,chile,CHL,0.7353911936390497
2018,colombia,COL,0.001130804714509171
2019,colombia,COL,0.001130804714509171
2020,colombia,COL,0.001130804714509171
2021,colombia,COL,0.001130804714509171
2022,colombia,COL,0.001130804714509171
2023,colombia,COL,0.001130804714509171
2024,colombia,COL,0.001130804714509171
2025,colombia,COL,0.001130804714509171
2026,colombia,COL,0.001130804714509171
2027,colombia,COL,0.001130804714509171
2028,colombia,COL,0.001130804714509171
2029,colombia,COL,0.001130804714509171
2030,colombia,COL,0.001130804714509171
2031,colombia,COL,0.001130804714509171
2032,colombia,COL,0.001130804714509171
2033,colombia,COL,0.001130804714509171
2034,colombia,COL,0.001130804714509171
2035,colombia,COL,0.001130804714509171
2036,colombia,COL,0.001130804714509171
2037,colombia,COL,0.001130804714509171
2038,colombia,COL,0.001130804714509171
2039,colombia,COL,0.001130804714509171
2040,colombia,COL,0.001130804714509171
2041,colombia,COL,0.001130804714509171
2042,colombia,COL,0.001130804714509171
2043,colombia,COL,0.001130804714509171
2044,colombia,COL,0.001130804714509171
2045,colombia,COL,0.001130804714509171
2046,colombia,COL,0.001130804714509171
2047,colombia,COL,0.001130804714509171
2048,colombia,COL,0.001130804714509171
2049,colombia,COL,0.001130804714509171
2050,colombia,COL,0.001130804714509171
2018,croatia,HRV,0.38309280504151944
2019,croatia,HRV,0.38309280504151944
2020,croatia,HRV,0.38309280504151944
2021,croatia,HRV,0.38309280504151944
2022,croatia,HRV,0.38309280504151944
2023,croatia,HRV,0.38309280504151944
2024,croatia,HRV,0.38309280504151944
2025,croatia,HRV,0.38309280504151944
2026,croatia,HRV,0.38309280504151944
2027,croatia,HRV,0.38309280504151944
2028,croatia,HRV,0.38309280504151944
2029,croatia,HRV,0.38309280504151944
2030,croatia,HRV,0.38309280504151944
2031,croatia,HRV,0.38309280504151944
2032,croatia,HRV,0.38309280504151944
2033,croatia,HRV,0.38309280504151944
2034,croatia,HRV,0.38309280504151944
2035,croatia,HRV,0.38309280504151944
2036,croatia,HRV,0.38309280504151944
2037,croatia,HRV,0.38309280504151944
2038,croatia,HRV,0.38309280504151944
2039,croatia,HRV,0.38309280504151944
2040,croatia,HRV,0.38309280504151944
2041,croatia,HRV,0.38309280504151944
2042,croatia,HRV,0.38309280504151944
2043,croatia,HRV,0.38309280504151944
2044,croatia,HRV,0.38309280504151944
2045,croatia,HRV,0.38309280504151944
2046,croatia,HRV,0.38309280504151944
2047,croatia,HRV,0.38309280504151944
2048,croatia,HRV,0.38309280504151944
2049,croatia,HRV,0.38309280504151944
2050,croatia,HRV,0.38309280504151944
2018,cuba,CUB,0.0
2019,cuba,CUB,0.0
2020,cuba,CUB,0.0
2021,cuba,CUB,0.0
2022,cuba,CUB,0.0
2023,cuba,CUB,0.0
2024,cuba,CUB,0.0
2025,cuba,CUB,0.0
2026,cuba,CUB,0.0
2027,cuba,CUB,0.0
2028,cuba,CUB,0.0
2029,cuba,CUB,0.0
2030,cuba,CUB,0.0
2031,cuba,CUB,0.0
2032,cuba,CUB,0.0
2033,cuba,CUB,0.0
2034,cuba,CUB,0.0
2035,cuba,CUB,0.0
2036,cuba,CUB,0.0
2037,cuba,CUB,0.0
2038,cuba,CUB,0.0
2039,cuba,CUB,0.0
2040,cuba,CUB,0.0
2041,cuba,CUB,0.0
2042,cuba,CUB,0.0
2043,cuba,CUB,0.0
2044,cuba,CUB,0.0
2045,cuba,CUB,0.0
2046,cuba,CUB,0.0
2047,cuba,CUB,0.0
2048,cuba,CUB,0.0
2049,cuba,CUB,0.0
2050,cuba,CUB,0.0
2018,czech republic,CZE,0.973861597400708
2019,czech republic,CZE,0.973861597400708
2020,czech republic,CZE,0.973861597400708
2021,czech republic,CZE,0.973861597400708
2022,czech republic,CZE,0.973861597400708
2023,czech republic,CZE,0.973861597400708
2024,czech republic,CZE,0.973861597400708
2025,czech republic,CZE,0.973861597400708
2026,czech republic,CZE,0.973861597400708
2027,czech republic,CZE,0.973861597400708
2028,czech republic,CZE,0.973861597400708
2029,czech republic,CZE,0.973861597400708
2030,czech republic,CZE,0.973861597400708
2031,czech republic,CZE,0.973861597400708
2032,czech republic,CZE,0.973861597400708
2033,czech republic,CZE,0.973861597400708
2034,czech republic,CZE,0.973861597400708
2035,czech republic,CZE,0.973861597400708
2036,czech republic,CZE,0.973861597400708
2037,czech republic,CZE,0.973861597400708
2038,czech republic,CZE,0.973861597400708
2039,czech republic,CZE,0.973861597400708
2040,czech republic,CZE,0.973861597400708
2041,czech republic,CZE,0.973861597400708
2042,czech republic,CZE,0.973861597400708
2043,czech republic,CZE,0.973861597400708
2044,czech republic,CZE,0.973861597400708
2045,czech republic,CZE,0.973861597400708
2046,czech republic,CZE,0.973861597400708
2047,czech republic,CZE,0.973861597400708
2048,czech republic,CZE,0.973861597400708
2049,czech republic,CZE,0.973861597400708
2050,czech republic,CZE,0.973861597400708
2018,denmark,DNK,0.09323104134745913
2019,denmark,DNK,0.09323104134745913
2020,denmark,DNK,0.09323104134745913
2021,denmark,DNK,0.09323104134745913
2022,denmark,DNK,0.09323104134745913
2023,denmark,DNK,0.09323104134745913
2024,denmark,DNK,0.09323104134745913
2025,denmark,DNK,0.09323104134745913
2026,denmark,DNK,0.09323104134745913
2027,denmark,DNK,0.09323104134745913
2028,denmark,DNK,0.09323104134745913
2029,denmark,DNK,0.09323104134745913
2030,denmark,DNK,0.09323104134745913
2031,denmark,DNK,0.09323104134745913
2032,denmark,DNK,0.09323104134745913
2033,denmark,DNK,0.09323104134745913
2034,denmark,DNK,0.09323104134745913
2035,denmark,DNK,0.09323104134745913
2036,denmark,DNK,0.09323104134745913
2037,denmark,DNK,0.09323104134745913
2038,denmark,DNK,0.09323104134745913
2039,denmark,DNK,0.09323104134745913
2040,denmark,DNK,0.09323104134745913
2041,denmark,DNK,0.09323104134745913
