,Nation,iso_code3,Year,nemomod_enst_capital_cost_st_batteries_usd_per_kwh
97,Africa Western and Central,AFW,2024,0.07
98,Africa Western and Central,AFW,2025,0.07
99,Africa Western and Central,AFW,2026,0.07
100,Africa Western and Central,AFW,2027,0.07
101,Africa Western and Central,AFW,2028,0.07
102,Africa Western and Central,AFW,2029,0.07
103,Africa Western and Central,AFW,2030,0.07
104,Africa Western and Central,AFW,2031,0.07
105,Africa Western and Central,AFW,2032,0.07
106,Africa Western and Central,AFW,2033,0.07
107,Africa Western and Central,AFW,2034,0.07
108,Africa Western and Central,AFW,2035,0.07
109,Africa Western and Central,AFW,2036,0.07
110,Africa Western and Central,AFW,2037,0.07
111,Africa Western and Central,AFW,2038,0.07
112,Africa Western and Central,AFW,2039,0.07
113,Africa Western and Central,AFW,2040,0.07
114,Africa Western and Central,AFW,2041,0.07
115,Africa Western and Central,AFW,2042,0.07
116,Africa Western and Central,AFW,2043,0.07
117,Africa Western and Central,AFW,2044,0.07
118,Africa Western and Central,AFW,2045,0.07
119,Africa Western and Central,AFW,2046,0.07
120,Africa Western and Central,AFW,2047,0.07
121,Africa Western and Central,AFW,2048,0.07
122,Africa Western and Central,AFW,2049,0.07
123,Africa Western and Central,AFW,2050,0.07
124,Angola,AGO,2020,0.07
125,Angola,AGO,2021,0.07
126,Angola,AGO,2022,0.07
127,Angola,AGO,2023,0.07
128,Angola,AGO,2024,0.07
129,Angola,AGO,2025,0.07
130,Angola,AGO,2026,0.07
131,Angola,AGO,2027,0.07
132,Angola,AGO,2028,0.07
133,Angola,AGO,2029,0.07
134,Angola,AGO,2030,0.07
135,Angola,AGO,2031,0.07
136,Angola,AGO,2032,0.07
137,Angola,AGO,2033,0.07
138,Angola,AGO,2034,0.07
139,Angola,AGO,2035,0.07
140,Angola,AGO,2036,0.07
141,Angola,AGO,2037,0.07
142,Angola,AGO,2038,0.07
143,Angola,AGO,2039,0.07
144,Angola,AGO,2040,0.07
145,Angola,AGO,2041,0.07
146,Angola,AGO,2042,0.07
147,Angola,AGO,2043,0.07
148,Angola,AGO,2044,0.07
149,Angola,AGO,2045,0.07
150,Angola,AGO,2046,0.07
151,Angola,AGO,2047,0.07
152,Angola,AGO,2048,0.07
153,Angola,AGO,2049,0.07
154,Angola,AGO,2050,0.07
155,Albania,ALB,2020,0.07
156,Albania,ALB,2021,0.07
157,Albania,ALB,2022,0.07
158,Albania,ALB,2023,0.07
159,Albania,ALB,2024,0.07
160,Albania,ALB,2025,0.07
161,Albania,ALB,2026,0.07
162,Albania,ALB,2027,0.07
163,Albania,ALB,2028,0.07
164,Albania,ALB,2029,0.07
165,Albania,ALB,2030,0.07
166,Albania,ALB,2031,0.07
167,Albania,ALB,2032,0.07
168,Albania,ALB,2033,0.07
169,Albania,ALB,2034,0.07
170,Albania,ALB,2035,0.07
171,Albania,ALB,2036,0.07
172,Albania,ALB,2037,0.07
173,Albania,ALB,2038,0.07
174,Albania,ALB,2039,0.07
175,Albania,ALB,2040,0.07
176,Albania,ALB,2041,0.07
177,Albania,ALB,2042,0.07
178,Albania,ALB,2043,0.07
179,Albania,ALB,2044,0.07
180,Albania,ALB,2045,0.07
181,Albania,ALB,2046,0.07
182,Albania,ALB,2047,0.07
183,Albania,ALB,2048,0.07
184,Albania,ALB,2049,0.07
185,Albania,ALB,2050,0.07
186,Andorra,AND,2020,0.07
187,Andorra,AND,2021,0.07
188,Andorra,AND,2022,0.07
189,Andorra,AND,2023,0.07
190,Andorra,AND,2024,0.07
191,Andorra,AND,2025,0.07
192,Andorra,AND,2026,0.07
193,Andorra,AND,2027,0.07
194,Andorra,AND,2028,0.07
195,Andorra,AND,2029,0.07
196,Andorra,AND,2030,0.07
197,Andorra,AND,2031,0.07
198,Andorra,AND,2032,0.07
199,Andorra,AND,2033,0.07
200,Andorra,AND,2034,0.07
201,Andorra,AND,2035,0.07
202,Andorra,AND,2036,0.07
203,Andorra,AND,2037,0.07
204,Andorra,AND,2038,0.07
205,Andorra,AND,2039,0.07
206,Andorra,AND,2040,0.07
207,Andorra,AND,2041,0.07
208,Andorra,AND,2042,0.07
209,Andorra,AND,2043,0.07
210,Andorra,AND,2044,0.07
211,Andorra,AND,2045,0.07
212,Andorra,AND,2046,0.07
213,Andorra,AND,2047,0.07
214,Andorra,AND,2048,0.07
215,Andorra,AND,2049,0.07
216,Andorra,AND,2050,0.07
217,Arab World,ARB,2020,0.07
218,Arab World,ARB,2021,0.07
219,Arab World,ARB,2022,0.07
220,Arab World,ARB,2023,0.07
221,Arab World,ARB,2024,0.07
222,Arab World,ARB,2025,0.07
223,Arab World,ARB,2026,0.07
224,Arab World,ARB,2027,0.07
225,Arab World,ARB,2028,0.07
226,Arab World,ARB,2029,0.07
227,Arab World,ARB,2030,0.07
228,Arab World,ARB,2031,0.07
229,Arab World,ARB,2032,0.07
230,Arab World,ARB,2033,0.07
231,Arab World,ARB,2034,0.07
232,Arab World,ARB,2035,0.07
233,Arab World,ARB,2036,0.07
234,Arab World,ARB,2037,0.07
235,Arab World,ARB,2038,0.07
236,Arab World,ARB,2039,0.07
237,Arab World,ARB,2040,0.07
238,Arab World,ARB,2041,0.07
239,Arab World,ARB,2042,0.07
240,Arab World,ARB,2043,0.07
241,Arab World,ARB,2044,0.07
242,Arab World,ARB,2045,0.07
243,Arab World,ARB,2046,0.07
244,Arab World,ARB,2047,0.07
245,Arab World,ARB,2048,0.07
246,Arab World,ARB,2049,0.07
247,Arab World,ARB,2050,0.07
248,United Arab Emirates,ARE,2020,0.07
249,United Arab Emirates,ARE,2021,0.07
250,United Arab Emirates,ARE,2022,0.07
251,United Arab Emirates,ARE,2023,0.07
252,United Arab Emirates,ARE,2024,0.07
253,United Arab Emirates,ARE,2025,0.07
254,United Arab Emirates,ARE,2026,0.07
255,United Arab Emirates,ARE,2027,0.07
256,United Arab Emirates,ARE,2028,0.07
257,United Arab Emirates,ARE,2029,0.07
258,United Arab Emirates,ARE,2030,0.07
259,United Arab Emirates,ARE,2031,0.07
260,United Arab Emirates,ARE,2032,0.07
261,United Arab Emirates,ARE,2033,0.07
262,United Arab Emirates,ARE,2034,0.07
263,United Arab Emirates,ARE,2035,0.07
264,United Arab Emirates,ARE,2036,0.07
265,United Arab Emirates,ARE,2037,0.07
266,United Arab Emirates,ARE,2038,0.07
267,United Arab Emirates,ARE,2039,0.07
268,United Arab Emirates,ARE,2040,0.07
269,United Arab Emirates,ARE,2041,0.07
270,United Arab Emirates,ARE,2042,0.07
271,United Arab Emirates,ARE,2043,0.07
272,United Arab Emirates,ARE,2044,0.07
273,United Arab Emirates,ARE,2045,0.07
274,United Arab Emirates,ARE,2046,0.07
275,United Arab Emirates,ARE,2047,0.07
276,United Arab Emirates,ARE,2048,0.07
277,United Arab Emirates,ARE,2049,0.07
278,United Arab Emirates,ARE,2050,0.07
279,Argentina,ARG,2020,0.07
280,Argentina,ARG,2021,0.07
281,Argentina,ARG,2022,0.07
282,Argentina,ARG,2023,0.07
283,Argentina,ARG,2024,0.07
284,Argentina,ARG,2025,0.07
285,Argentina,ARG,2026,0.07
286,Argentina,ARG,2027,0.07
287,Argentina,ARG,2028,0.07
288,Argentina,ARG,2029,0.07
289,Argentina,ARG,2030,0.07
290,Argentina,ARG,2031,0.07
291,Argentina,ARG,2032,0.07
292,Argentina,ARG,2033,0.07
293,Argentina,ARG,2034,0.07
294,Argentina,ARG,2035,0.07
295,Argentina,ARG,2036,0.07
296,Argentina,ARG,2037,0.07
297,Argentina,ARG,2038,0.07
298,Argentina,ARG,2039,0.07
299,Argentina,ARG,2040,0.07
300,Argentina,ARG,2041,0.07
301,Argentina,ARG,2042,0.07
302,Argentina,ARG,2043,0.07
303,Argentina,ARG,2044,0.07
304,Argentina,ARG,2045,0.07
305,Argentina,ARG,2046,0.07
306,Argentina,ARG,2047,0.07
307,Argentina,ARG,2048,0.07
308,Argentina,ARG,2049,0.07
309,Argentina,ARG,2050,0.07
310,Armenia,ARM,2020,0.07
311,Armenia,ARM,2021,0.07
312,Armenia,ARM,2022,0.07
313,Armenia,ARM,2023,0.07
314,Armenia,ARM,2024,0.07
315,Armenia,ARM,2025,0.07
316,Armenia,ARM,2026,0.07
317,Armenia,ARM,2027,0.07
318,Armenia,ARM,2028,0.07
319,Armenia,ARM,2029,0.07
320,Armenia,ARM,2030,0.07
321,Armenia,ARM,2031,0.07
322,Armenia,ARM,2032,0.07
323,Armenia,ARM,2033,0.07
324,Armenia,ARM,2034,0.07
325,Armenia,ARM,2035,0.07
326,Armenia,ARM,2036,0.07
327,Armenia,ARM,2037,0.07
328,Armenia,ARM,2038,0.07
329,Armenia,ARM,2039,0.07
330,Armenia,ARM,2040,0.07
331,Armenia,ARM,2041,0.07
332,Armenia,ARM,2042,0.07
333,Armenia,ARM,2043,0.07
334,Armenia,ARM,2044,0.07
335,Armenia,ARM,2045,0.07
336,Armenia,ARM,2046,0.07
337,Armenia,ARM,2047,0.07
338,Armenia,ARM,2048,0.07
339,Armenia,ARM,2049,0.07
340,Armenia,ARM,2050,0.07
341,American Samoa,ASM,2020,0.07
342,American Samoa,ASM,2021,0.07
343,American Samoa,ASM,2022,0.07
344,American Samoa,ASM,2023,0.07
345,American Samoa,ASM,2024,0.07
346,American Samoa,ASM,2025,0.07
347,American Samoa,ASM,2026,0.07
348,American Samoa,ASM,2027,0.07
349,American Samoa,ASM,2028,0.07
350,American Samoa,ASM,2029,0.07
351,American Samoa,ASM,2030,0.07
352,American Samoa,ASM,2031,0.07
353,American Samoa,ASM,2032,0.07
354,American Samoa,ASM,2033,0.07
355,American Samoa,ASM,2034,0.07
356,American Samoa,ASM,2035,0.07
357,American Samoa,ASM,2036,0.07
358,American Samoa,ASM,2037,0.07
359,American Samoa,ASM,2038,0.07
360,American Samoa,ASM,2039,0.07
361,American Samoa,ASM,2040,0.07
362,American Samoa,ASM,2041,0.07
363,American Samoa,ASM,2042,0.07
364,American Samoa,ASM,2043,0.07
365,American Samoa,ASM,2044,0.07
366,American Samoa,ASM,2045,0.07
367,American Samoa,ASM,2046,0.07
368,American Samoa,ASM,2047,0.07
369,American Samoa,ASM,2048,0.07
370,American Samoa,ASM,2049,0.07
371,American Samoa,ASM,2050,0.07
372,Antigua and Barbuda,ATG,2020,0.07
373,Antigua and Barbuda,ATG,2021,0.07
374,Antigua and Barbuda,ATG,2022,0.07
375,Antigua and Barbuda,ATG,2023,0.07
376,Antigua and Barbuda,ATG,2024,0.07
377,Antigua and Barbuda,ATG,2025,0.07
378,Antigua and Barbuda,ATG,2026,0.07
379,Antigua and Barbuda,ATG,2027,0.07
380,Antigua and Barbuda,ATG,2028,0.07
381,Antigua and Barbuda,ATG,2029,0.07
382,Antigua and Barbuda,ATG,2030,0.07
383,Antigua and Barbuda,ATG,2031,0.07
384,Antigua and Barbuda,ATG,2032,0.07
385,Antigua and Barbuda,ATG,2033,0.07
386,Antigua and Barbuda,ATG,2034,0.07
387,Antigua and Barbuda,ATG,2035,0.07
388,Antigua and Barbuda,ATG,2036,0.07
389,Antigua and Barbuda,ATG,2037,0.07
390,Antigua and Barbuda,ATG,2038,0.07
391,Antigua and Barbuda,ATG,2039,0.07
392,Antigua and Barbuda,ATG,2040,0.07
393,Antigua and Barbuda,ATG,2041,0.07
394,Antigua and Barbuda,ATG,2042,0.07
395,Antigua and Barbuda,ATG,2043,0.07
396,Antigua and Barbuda,ATG,2044,0.07
397,Antigua and Barbuda,ATG,2045,0.07
398,Antigua and Barbuda,ATG,2046,0.07
399,Antigua and Barbuda,ATG,2047,0.07
400,Antigua and Barbuda,ATG,2048,0.07
401,Antigua and Barbuda,ATG,2049,0.07
402,Antigua and Barbuda,ATG,2050,0.07
403,Australia,AUS,2020,0.07
404,Australia,AUS,2021,0.07
405,Australia,AUS,2022,0.07
406,Australia,AUS,2023,0.07
407,Australia,AUS,2024,0.07
408,Australia,AUS,2025,0.07
409,Australia,AUS,2026,0.07
410,Australia,AUS,2027,0.07
411,Australia,AUS,2028,0.07
412,Australia,AUS,2029,0.07
413,Australia,AUS,2030,0.07
414,Australia,AUS,2031,0.07
415,Australia,AUS,2032,0.07
416,Australia,AUS,2033,0.07
417,Australia,AUS,2034,0.07
418,Australia,AUS,2035,0.07
419,Australia,AUS,2036,0.07
420,Australia,AUS,2037,0.07
421,Australia,AUS,2038,0.07
422,Australia,AUS,2039,0.07
423,Australia,AUS,2040,0.07
424,Australia,AUS,2041,0.07
425,Australia,AUS,2042,0.07
426,Australia,AUS,2043,0.07
427,Australia,AUS,2044,0.07
428,Australia,AUS,2045,0.07
429,Australia,AUS,2046,0.07
430,Australia,AUS,2047,0.07
431,Australia,AUS,2048,0.07
432,Australia,AUS,2049,0.07
433,Australia,AUS,2050,0.07
434,Austria,AUT,2020,0.07
435,Austria,AUT,2021,0.07
436,Austria,AUT,2022,0.07
437,Austria,AUT,2023,0.07
438,Austria,AUT,2024,0.07
439,Austria,AUT,2025,0.07
440,Austria,AUT,2026,0.07
441,Austria,AUT,2027,0.07
442,Austria,AUT,2028,0.07
443,Austria,AUT,2029,0.07
444,Austria,AUT,2030,0.07
445,Austria,AUT,2031,0.07
446,Austria,AUT,2032,0.07
447,Austria,AUT,2033,0.07
448,Austria,AUT,2034,0.07
449,Austria,AUT,2035,0.07
450,Austria,AUT,2036,0.07
451,Austria,AUT,2037,0.07
452,Austria,AUT,2038,0.07
453,Austria,AUT,2039,0.07
454,Austria,AUT,2040,0.07
455,Austria,AUT,2041,0.07
456,Austria,AUT,2042,0.07
457,Austria,AUT,2043,0.07
458,Austria,AUT,2044,0.07
459,Austria,AUT,2045,0.07
460,Austria,AUT,2046,0.07
461,Austria,AUT,2047,0.07
462,Austria,AUT,2048,0.07
463,Austria,AUT,2049,0.07
464,Austria,AUT,2050,0.07
465,Azerbaijan,AZE,2020,0.07
466,Azerbaijan,AZE,2021,0.07
467,Azerbaijan,AZE,2022,0.07
468,Azerbaijan,AZE,2023,0.07
469,Azerbaijan,AZE,2024,0.07
470,Azerbaijan,AZE,2025,0.07
471,Azerbaijan,AZE,2026,0.07
472,Azerbaijan,AZE,2027,0.07
473,Azerbaijan,AZE,2028,0.07
474,Azerbaijan,AZE,2029,0.07
475,Azerbaijan,AZE,2030,0.07
476,Azerbaijan,AZE,2031,0.07
477,Azerbaijan,AZE,2032,0.07
478,Azerbaijan,AZE,2033,0.07
479,Azerbaijan,AZE,2034,0.07
480,Azerbaijan,AZE,2035,0.07
481,Azerbaijan,AZE,2036,0.07
482,Azerbaijan,AZE,2037,0.07
483,Azerbaijan,AZE,2038,0.07
484,Azerbaijan,AZE,2039,0.07
485,Azerbaijan,AZE,2040,0.07
486,Azerbaijan,AZE,2041,0.07
487,Azerbaijan,AZE,2042,0.07
488,Azerbaijan,AZE,2043,0.07
489,Azerbaijan,AZE,2044,0.07
490,Azerbaijan,AZE,2045,0.07
491,Azerbaijan,AZE,2046,0.07
492,Azerbaijan,AZE,2047,0.07
493,Azerbaijan,AZE,2048,0.07
494,Azerbaijan,AZE,2049,0.07
495,Azerbaijan,AZE,2050,0.07
496,Burundi,BDI,2020,0.07
497,Burundi,BDI,2021,0.07
498,Burundi,BDI,2022,0.07
499,Burundi,BDI,2023,0.07
500,Burundi,BDI,2024,0.07
501,Burundi,BDI,2025,0.07
502,Burundi,BDI,2026,0.07
503,Burundi,BDI,2027,0.07
504,Burundi,BDI,2028,0.07
505,Burundi,BDI,2029,0.07
506,Burundi,BDI,2030,0.07
507,Burundi,BDI,2031,0.07
508,Burundi,BDI,2032,0.07
509,Burundi,BDI,2033,0.07
510,Burundi,BDI,2034,0.07
511,Burundi,BDI,2035,0.07
512,Burundi,BDI,2036,0.07
513,Burundi,BDI,2037,0.07
514,Burundi,BDI,2038,0.07
515,Burundi,BDI,2039,0.07
516,Burundi,BDI,2040,0.07
517,Burundi,BDI,2041,0.07
518,Burundi,BDI,2042,0.07
519,Burundi,BDI,2043,0.07
520,Burundi,BDI,2044,0.07
521,Burundi,BDI,2045,0.07
522,Burundi,BDI,2046,0.07
523,Burundi,BDI,2047,0.07
524,Burundi,BDI,2048,0.07
525,Burundi,BDI,2049,0.07
526,Burundi,BDI,2050,0.07
527,Belgium,BEL,2020,0.07
528,Belgium,BEL,2021,0.07
529,Belgium,BEL,2022,0.07
530,Belgium,BEL,2023,0.07
531,Belgium,BEL,2024,0.07
532,Belgium,BEL,2025,0.07
533,Belgium,BEL,2026,0.07
534,Belgium,BEL,2027,0.07
535,Belgium,BEL,2028,0.07
536,Belgium,BEL,2029,0.07
537,Belgium,BEL,2030,0.07
538,Belgium,BEL,2031,0.07
539,Belgium,BEL,2032,0.07
540,Belgium,BEL,2033,0.07
541,Belgium,BEL,2034,0.07
542,Belgium,BEL,2035,0.07
543,Belgium,BEL,2036,0.07
544,Belgium,BEL,2037,0.07
545,Belgium,BEL,2038,0.07
546,Belgium,BEL,2039,0.07
547,Belgium,BEL,2040,0.07
548,Belgium,BEL,2041,0.07
549,Belgium,BEL,2042,0.07
550,Belgium,BEL,2043,0.07
551,Belgium,BEL,2044,0.07
552,Belgium,BEL,2045,0.07
553,Belgium,BEL,2046,0.07
554,Belgium,BEL,2047,0.07
555,Belgium,BEL,2048,0.07
556,Belgium,BEL,2049,0.07
557,Belgium,BEL,2050,0.07
558,Benin,BEN,2020,0.07
559,Benin,BEN,2021,0.07
560,Benin,BEN,2022,0.07
561,Benin,BEN,2023,0.07
562,Benin,BEN,2024,0.07
563,Benin,BEN,2025,0.07
564,Benin,BEN,2026,0.07
565,Benin,BEN,2027,0.07
566,Benin,BEN,2028,0.07
567,Benin,BEN,2029,0.07
568,Benin,BEN,2030,0.07
569,Benin,BEN,2031,0.07
570,Benin,BEN,2032,0.07
571,Benin,BEN,2033,0.07
572,Benin,BEN,2034,0.07
573,Benin,BEN,2035,0.07
574,Benin,BEN,2036,0.07
575,Benin,BEN,2037,0.07
576,Benin,BEN,2038,0.07
577,Benin,BEN,2039,0.07
578,Benin,BEN,2040,0.07
579,Benin,BEN,2041,0.07
580,Benin,BEN,2042,0.07
581,Benin,BEN,2043,0.07
582,Benin,BEN,2044,0.07
583,Benin,BEN,2045,0.07
584,Benin,BEN,2046,0.07
585,Benin,BEN,2047,0.07
586,Benin,BEN,2048,0.07
587,Benin,BEN,2049,0.07
588,Benin,BEN,2050,0.07
589,Burkina Faso,BFA,2020,0.07
590,Burkina Faso,BFA,2021,0.07
591,Burkina Faso,BFA,2022,0.07
592,Burkina Faso,BFA,2023,0.07
593,Burkina Faso,BFA,2024,0.07
594,Burkina Faso,BFA,2025,0.07
595,Burkina Faso,BFA,2026,0.07
596,Burkina Faso,BFA,2027,0.07
597,Burkina Faso,BFA,2028,0.07
598,Burkina Faso,BFA,2029,0.07
599,Burkina Faso,BFA,2030,0.07
600,Burkina Faso,BFA,2031,0.07
601,Burkina Faso,BFA,2032,0.07
602,Burkina Faso,BFA,2033,0.07
603,Burkina Faso,BFA,2034,0.07
604,Burkina Faso,BFA,2035,0.07
605,Burkina Faso,BFA,2036,0.07
606,Burkina Faso,BFA,2037,0.07
607,Burkina Faso,BFA,2038,0.07
608,Burkina Faso,BFA,2039,0.07
609,Burkina Faso,BFA,2040,0.07
610,Burkina Faso,BFA,2041,0.07
611,Burkina Faso,BFA,2042,0.07
612,Burkina Faso,BFA,2043,0.07
613,Burkina Faso,BFA,2044,0.07
614,Burkina Faso,BFA,2045,0.07
615,Burkina Faso,BFA,2046,0.07
616,Burkina Faso,BFA,2047,0.07
617,Burkina Faso,BFA,2048,0.07
618,Burkina Faso,BFA,2049,0.07
619,Burkina Faso,BFA,2050,0.07
620,Bangladesh,BGD,2020,0.07
621,Bangladesh,BGD,2021,0.07
622,Bangladesh,BGD,2022,0.07
623,Bangladesh,BGD,2023,0.07
624,Bangladesh,BGD,2024,0.07
625,Bangladesh,BGD,2025,0.07
626,Bangladesh,BGD,2026,0.07
627,Bangladesh,BGD,2027,0.07
628,Bangladesh,BGD,2028,0.07
629,Bangladesh,BGD,2029,0.07
630,Bangladesh,BGD,2030,0.07
631,Bangladesh,BGD,2031,0.07
632,Bangladesh,BGD,2032,0.07
633,Bangladesh,BGD,2033,0.07
634,Bangladesh,BGD,2034,0.07
635,Bangladesh,BGD,2035,0.07
636,Bangladesh,BGD,2036,0.07
637,Bangladesh,BGD,2037,0.07
638,Bangladesh,BGD,2038,0.07
639,Bangladesh,BGD,2039,0.07
640,Bangladesh,BGD,2040,0.07
641,Bangladesh,BGD,2041,0.07
642,Bangladesh,BGD,2042,0.07
643,Bangladesh,BGD,2043,0.07
644,Bangladesh,BGD,2044,0.07
645,Bangladesh,BGD,2045,0.07
646,Bangladesh,BGD,2046,0.07
647,Bangladesh,BGD,2047,0.07
648,Bangladesh,BGD,2048,0.07
649,Bangladesh,BGD,2049,0.07
650,Bangladesh,BGD,2050,0.07
651,Bulgaria,BGR,2020,0.07
652,Bulgaria,BGR,2021,0.07
653,Bulgaria,BGR,2022,0.07
654,Bulgaria,BGR,2023,0.07
655,Bulgaria,BGR,2024,0.07
656,Bulgaria,BGR,2025,0.07
657,Bulgaria,BGR,2026,0.07
658,Bulgaria,BGR,2027,0.07
659,Bulgaria,BGR,2028,0.07
660,Bulgaria,BGR,2029,0.07
661,Bulgaria,BGR,2030,0.07
662,Bulgaria,BGR,2031,0.07
663,Bulgaria,BGR,2032,0.07
664,Bulgaria,BGR,2033,0.07
665,Bulgaria,BGR,2034,0.07
666,Bulgaria,BGR,2035,0.07
667,Bulgaria,BGR,2036,0.07
668,Bulgaria,BGR,2037,0.07
669,Bulgaria,BGR,2038,0.07
670,Bulgaria,BGR,2039,0.07
671,Bulgaria,BGR,2040,0.07
672,Bulgaria,BGR,2041,0.07
673,Bulgaria,BGR,2042,0.07
674,Bulgaria,BGR,2043,0.07
675,Bulgaria,BGR,2044,0.07
676,Bulgaria,BGR,2045,0.07
677,Bulgaria,BGR,2046,0.07
678,Bulgaria,BGR,2047,0.07
679,Bulgaria,BGR,2048,0.07
680,Bulgaria,BGR,2049,0.07
681,Bulgaria,BGR,2050,0.07
682,Bahrain,BHR,2020,0.07
683,Bahrain,BHR,2021,0.07
684,Bahrain,BHR,2022,0.07
685,Bahrain,BHR,2023,0.07
686,Bahrain,BHR,2024,0.07
687,Bahrain,BHR,2025,0.07
688,Bahrain,BHR,2026,0.07
689,Bahrain,BHR,2027,0.07
690,Bahrain,BHR,2028,0.07
691,Bahrain,BHR,2029,0.07
692,Bahrain,BHR,2030,0.07
693,Bahrain,BHR,2031,0.07
694,Bahrain,BHR,2032,0.07
695,Bahrain,BHR,2033,0.07
696,Bahrain,BHR,2034,0.07
697,Bahrain,BHR,2035,0.07
698,Bahrain,BHR,2036,0.07
699,Bahrain,BHR,2037,0.07
700,Bahrain,BHR,2038,0.07
701,Bahrain,BHR,2039,0.07
702,Bahrain,BHR,2040,0.07
703,Bahrain,BHR,2041,0.07
704,Bahrain,BHR,2042,0.07
705,Bahrain,BHR,2043,0.07
706,Bahrain,BHR,2044,0.07
707,Bahrain,BHR,2045,0.07
708,Bahrain,BHR,2046,0.07
709,Bahrain,BHR,2047,0.07
710,Bahrain,BHR,2048,0.07
711,Bahrain,BHR,2049,0.07
712,Bahrain,BHR,2050,0.07
713,"Bahamas, The",BHS,2020,0.07
714,"Bahamas, The",BHS,2021,0.07
715,"Bahamas, The",BHS,2022,0.07
716,"Bahamas, The",BHS,2023,0.07
717,"Bahamas, The",BHS,2024,0.07
718,"Bahamas, The",BHS,2025,0.07
719,"Bahamas, The",BHS,2026,0.07
720,"Bahamas, The",BHS,2027,0.07
