,Nation,iso_code3,Year,fuelefficiency_trns_aviation_kerosene_km_per_litre
331,American Samoa,ASM,2046,0.087
332,American Samoa,ASM,2047,0.087
333,American Samoa,ASM,2048,0.087
334,American Samoa,ASM,2049,0.087
335,American Samoa,ASM,2050,0.087
336,Antigua and Barbuda,ATG,2023,0.087
337,Antigua and Barbuda,ATG,2024,0.087
338,Antigua and Barbuda,ATG,2025,0.087
339,Antigua and Barbuda,ATG,2026,0.087
340,Antigua and Barbuda,ATG,2027,0.087
341,Antigua and Barbuda,ATG,2028,0.087
342,Antigua and Barbuda,ATG,2029,0.087
343,Antigua and Barbuda,ATG,2030,0.087
344,Antigua and Barbuda,ATG,2031,0.087
345,Antigua and Barbuda,ATG,2032,0.087
346,Antigua and Barbuda,ATG,2033,0.087
347,Antigua and Barbuda,ATG,2034,0.087
348,Antigua and Barbuda,ATG,2035,0.087
349,Antigua and Barbuda,ATG,2036,0.087
350,Antigua and Barbuda,ATG,2037,0.087
351,Antigua and Barbuda,ATG,2038,0.087
352,Antigua and Barbuda,ATG,2039,0.087
353,Antigua and Barbuda,ATG,2040,0.087
354,Antigua and Barbuda,ATG,2041,0.087
355,Antigua and Barbuda,ATG,2042,0.087
356,Antigua and Barbuda,ATG,2043,0.087
357,Antigua and Barbuda,ATG,2044,0.087
358,Antigua and Barbuda,ATG,2045,0.087
359,Antigua and Barbuda,ATG,2046,0.087
360,Antigua and Barbuda,ATG,2047,0.087
361,Antigua and Barbuda,ATG,2048,0.087
362,Antigua and Barbuda,ATG,2049,0.087
363,Antigua and Barbuda,ATG,2050,0.087
364,Australia,AUS,2023,0.087
365,Australia,AUS,2024,0.087
366,Australia,AUS,2025,0.087
367,Australia,AUS,2026,0.087
368,Australia,AUS,2027,0.087
369,Australia,AUS,2028,0.087
370,Australia,AUS,2029,0.087
371,Australia,AUS,2030,0.087
372,Australia,AUS,2031,0.087
373,Australia,AUS,2032,0.087
374,Australia,AUS,2033,0.087
375,Australia,AUS,2034,0.087
376,Australia,AUS,2035,0.087
377,Australia,AUS,2036,0.087
378,Australia,AUS,2037,0.087
379,Australia,AUS,2038,0.087
380,Australia,AUS,2039,0.087
381,Australia,AUS,2040,0.087
382,Australia,AUS,2041,0.087
383,Australia,AUS,2042,0.087
384,Australia,AUS,2043,0.087
385,Australia,AUS,2044,0.087
386,Australia,AUS,2045,0.087
387,Australia,AUS,2046,0.087
388,Australia,AUS,2047,0.087
389,Australia,AUS,2048,0.087
390,Australia,AUS,2049,0.087
391,Australia,AUS,2050,0.087
392,Austria,AUT,2023,0.087
393,Austria,AUT,2024,0.087
394,Austria,AUT,2025,0.087
395,Austria,AUT,2026,0.087
396,Austria,AUT,2027,0.087
397,Austria,AUT,2028,0.087
398,Austria,AUT,2029,0.087
399,Austria,AUT,2030,0.087
400,Austria,AUT,2031,0.087
401,Austria,AUT,2032,0.087
402,Austria,AUT,2033,0.087
403,Austria,AUT,2034,0.087
404,Austria,AUT,2035,0.087
405,Austria,AUT,2036,0.087
406,Austria,AUT,2037,0.087
407,Austria,AUT,2038,0.087
408,Austria,AUT,2039,0.087
409,Austria,AUT,2040,0.087
410,Austria,AUT,2041,0.087
411,Austria,AUT,2042,0.087
412,Austria,AUT,2043,0.087
413,Austria,AUT,2044,0.087
414,Austria,AUT,2045,0.087
415,Austria,AUT,2046,0.087
416,Austria,AUT,2047,0.087
417,Austria,AUT,2048,0.087
418,Austria,AUT,2049,0.087
419,Austria,AUT,2050,0.087
420,Azerbaijan,AZE,2023,0.087
421,Azerbaijan,AZE,2024,0.087
422,Azerbaijan,AZE,2025,0.087
423,Azerbaijan,AZE,2026,0.087
424,Azerbaijan,AZE,2027,0.087
425,Azerbaijan,AZE,2028,0.087
426,Azerbaijan,AZE,2029,0.087
427,Azerbaijan,AZE,2030,0.087
428,Azerbaijan,AZE,2031,0.087
429,Azerbaijan,AZE,2032,0.087
430,Azerbaijan,AZE,2033,0.087
431,Azerbaijan,AZE,2034,0.087
432,Azerbaijan,AZE,2035,0.087
433,Azerbaijan,AZE,2036,0.087
434,Azerbaijan,AZE,2037,0.087
435,Azerbaijan,AZE,2038,0.087
436,Azerbaijan,AZE,2039,0.087
437,Azerbaijan,AZE,2040,0.087
438,Azerbaijan,AZE,2041,0.087
439,Azerbaijan,AZE,2042,0.087
440,Azerbaijan,AZE,2043,0.087
441,Azerbaijan,AZE,2044,0.087
442,Azerbaijan,AZE,2045,0.087
443,Azerbaijan,AZE,2046,0.087
444,Azerbaijan,AZE,2047,0.087
445,Azerbaijan,AZE,2048,0.087
446,Azerbaijan,AZE,2049,0.087
447,Azerbaijan,AZE,2050,0.087
448,Burundi,BDI,2023,0.087
449,Burundi,BDI,2024,0.087
450,Burundi,BDI,2025,0.087
451,Burundi,BDI,2026,0.087
452,Burundi,BDI,2027,0.087
453,Burundi,BDI,2028,0.087
454,Burundi,BDI,2029,0.087
455,Burundi,BDI,2030,0.087
456,Burundi,BDI,2031,0.087
457,Burundi,BDI,2032,0.087
458,Burundi,BDI,2033,0.087
459,Burundi,BDI,2034,0.087
460,Burundi,BDI,2035,0.087
461,Burundi,BDI,2036,0.087
462,Burundi,BDI,2037,0.087
463,Burundi,BDI,2038,0.087
464,Burundi,BDI,2039,0.087
465,Burundi,BDI,2040,0.087
466,Burundi,BDI,2041,0.087
467,Burundi,BDI,2042,0.087
468,Burundi,BDI,2043,0.087
469,Burundi,BDI,2044,0.087
470,Burundi,BDI,2045,0.087
471,Burundi,BDI,2046,0.087
472,Burundi,BDI,2047,0.087
473,Burundi,BDI,2048,0.087
474,Burundi,BDI,2049,0.087
475,Burundi,BDI,2050,0.087
476,Belgium,BEL,2023,0.087
477,Belgium,BEL,2024,0.087
478,Belgium,BEL,2025,0.087
479,Belgium,BEL,2026,0.087
480,Belgium,BEL,2027,0.087
481,Belgium,BEL,2028,0.087
482,Belgium,BEL,2029,0.087
483,Belgium,BEL,2030,0.087
484,Belgium,BEL,2031,0.087
485,Belgium,BEL,2032,0.087
486,Belgium,BEL,2033,0.087
487,Belgium,BEL,2034,0.087
488,Belgium,BEL,2035,0.087
489,Belgium,BEL,2036,0.087
490,Belgium,BEL,2037,0.087
491,Belgium,BEL,2038,0.087
492,Belgium,BEL,2039,0.087
493,Belgium,BEL,2040,0.087
494,Belgium,BEL,2041,0.087
495,Belgium,BEL,2042,0.087
496,Belgium,BEL,2043,0.087
497,Belgium,BEL,2044,0.087
498,Belgium,BEL,2045,0.087
499,Belgium,BEL,2046,0.087
500,Belgium,BEL,2047,0.087
501,Belgium,BEL,2048,0.087
502,Belgium,BEL,2049,0.087
503,Belgium,BEL,2050,0.087
504,Benin,BEN,2023,0.087
505,Benin,BEN,2024,0.087
506,Benin,BEN,2025,0.087
507,Benin,BEN,2026,0.087
508,Benin,BEN,2027,0.087
509,Benin,BEN,2028,0.087
510,Benin,BEN,2029,0.087
511,Benin,BEN,2030,0.087
512,Benin,BEN,2031,0.087
513,Benin,BEN,2032,0.087
514,Benin,BEN,2033,0.087
515,Benin,BEN,2034,0.087
516,Benin,BEN,2035,0.087
517,Benin,BEN,2036,0.087
518,Benin,BEN,2037,0.087
519,Benin,BEN,2038,0.087
520,Benin,BEN,2039,0.087
521,Benin,BEN,2040,0.087
522,Benin,BEN,2041,0.087
523,Benin,BEN,2042,0.087
524,Benin,BEN,2043,0.087
525,Benin,BEN,2044,0.087
526,Benin,BEN,2045,0.087
527,Benin,BEN,2046,0.087
528,Benin,BEN,2047,0.087
529,Benin,BEN,2048,0.087
530,Benin,BEN,2049,0.087
531,Benin,BEN,2050,0.087
532,Burkina Faso,BFA,2023,0.087
533,Burkina Faso,BFA,2024,0.087
534,Burkina Faso,BFA,2025,0.087
535,Burkina Faso,BFA,2026,0.087
536,Burkina Faso,BFA,2027,0.087
537,Burkina Faso,BFA,2028,0.087
538,Burkina Faso,BFA,2029,0.087
539,Burkina Faso,BFA,2030,0.087
540,Burkina Faso,BFA,2031,0.087
541,Burkina Faso,BFA,2032,0.087
542,Burkina Faso,BFA,2033,0.087
543,Burkina Faso,BFA,2034,0.087
544,Burkina Faso,BFA,2035,0.087
545,Burkina Faso,BFA,2036,0.087
546,Burkina Faso,BFA,2037,0.087
547,Burkina Faso,BFA,2038,0.087
548,Burkina Faso,BFA,2039,0.087
549,Burkina Faso,BFA,2040,0.087
550,Burkina Faso,BFA,2041,0.087
551,Burkina Faso,BFA,2042,0.087
552,Burkina Faso,BFA,2043,0.087
553,Burkina Faso,BFA,2044,0.087
554,Burkina Faso,BFA,2045,0.087
555,Burkina Faso,BFA,2046,0.087
556,Burkina Faso,BFA,2047,0.087
557,Burkina Faso,BFA,2048,0.087
558,Burkina Faso,BFA,2049,0.087
559,Burkina Faso,BFA,2050,0.087
560,Bangladesh,BGD,2023,0.087
561,Bangladesh,BGD,2024,0.087
562,Bangladesh,BGD,2025,0.087
563,Bangladesh,BGD,2026,0.087
564,Bangladesh,BGD,2027,0.087
565,Bangladesh,BGD,2028,0.087
566,Bangladesh,BGD,2029,0.087
567,Bangladesh,BGD,2030,0.087
568,Bangladesh,BGD,2031,0.087
569,Bangladesh,BGD,2032,0.087
570,Bangladesh,BGD,2033,0.087
571,Bangladesh,BGD,2034,0.087
572,Bangladesh,BGD,2035,0.087
573,Bangladesh,BGD,2036,0.087
574,Bangladesh,BGD,2037,0.087
575,Bangladesh,BGD,2038,0.087
576,Bangladesh,BGD,2039,0.087
577,Bangladesh,BGD,2040,0.087
578,Bangladesh,BGD,2041,0.087
579,Bangladesh,BGD,2042,0.087
580,Bangladesh,BGD,2043,0.087
581,Bangladesh,BGD,2044,0.087
582,Bangladesh,BGD,2045,0.087
583,Bangladesh,BGD,2046,0.087
584,Bangladesh,BGD,2047,0.087
585,Bangladesh,BGD,2048,0.087
586,Bangladesh,BGD,2049,0.087
587,Bangladesh,BGD,2050,0.087
588,Bulgaria,BGR,2023,0.087
589,Bulgaria,BGR,2024,0.087
590,Bulgaria,BGR,2025,0.087
591,Bulgaria,BGR,2026,0.087
592,Bulgaria,BGR,2027,0.087
593,Bulgaria,BGR,2028,0.087
594,Bulgaria,BGR,2029,0.087
595,Bulgaria,BGR,2030,0.087
596,Bulgaria,BGR,2031,0.087
597,Bulgaria,BGR,2032,0.087
598,Bulgaria,BGR,2033,0.087
599,Bulgaria,BGR,2034,0.087
600,Bulgaria,BGR,2035,0.087
601,Bulgaria,BGR,2036,0.087
602,Bulgaria,BGR,2037,0.087
603,Bulgaria,BGR,2038,0.087
604,Bulgaria,BGR,2039,0.087
605,Bulgaria,BGR,2040,0.087
606,Bulgaria,BGR,2041,0.087
607,Bulgaria,BGR,2042,0.087
608,Bulgaria,BGR,2043,0.087
609,Bulgaria,BGR,2044,0.087
610,Bulgaria,BGR,2045,0.087
611,Bulgaria,BGR,2046,0.087
612,Bulgaria,BGR,2047,0.087
613,Bulgaria,BGR,2048,0.087
614,Bulgaria,BGR,2049,0.087
615,Bulgaria,BGR,2050,0.087
616,Bahrain,BHR,2023,0.087
617,Bahrain,BHR,2024,0.087
618,Bahrain,BHR,2025,0.087
619,Bahrain,BHR,2026,0.087
620,Bahrain,BHR,2027,0.087
621,Bahrain,BHR,2028,0.087
622,Bahrain,BHR,2029,0.087
623,Bahrain,BHR,2030,0.087
624,Bahrain,BHR,2031,0.087
625,Bahrain,BHR,2032,0.087
626,Bahrain,BHR,2033,0.087
627,Bahrain,BHR,2034,0.087
628,Bahrain,BHR,2035,0.087
629,Bahrain,BHR,2036,0.087
630,Bahrain,BHR,2037,0.087
631,Bahrain,BHR,2038,0.087
632,Bahrain,BHR,2039,0.087
633,Bahrain,BHR,2040,0.087
634,Bahrain,BHR,2041,0.087
635,Bahrain,BHR,2042,0.087
636,Bahrain,BHR,2043,0.087
637,Bahrain,BHR,2044,0.087
638,Bahrain,BHR,2045,0.087
639,Bahrain,BHR,2046,0.087
640,Bahrain,BHR,2047,0.087
641,Bahrain,BHR,2048,0.087
642,Bahrain,BHR,2049,0.087
643,Bahrain,BHR,2050,0.087
644,"Bahamas, The",BHS,2023,0.087
645,"Bahamas, The",BHS,2024,0.087
646,"Bahamas, The",BHS,2025,0.087
647,"Bahamas, The",BHS,2026,0.087
648,"Bahamas, The",BHS,2027,0.087
649,"Bahamas, The",BHS,2028,0.087
650,"Bahamas, The",BHS,2029,0.087
651,"Bahamas, The",BHS,2030,0.087
652,"Bahamas, The",BHS,2031,0.087
653,"Bahamas, The",BHS,2032,0.087
654,"Bahamas, The",BHS,2033,0.087
655,"Bahamas, The",BHS,2034,0.087
656,"Bahamas, The",BHS,2035,0.087
657,"Bahamas, The",BHS,2036,0.087
658,"Bahamas, The",BHS,2037,0.087
659,"Bahamas, The",BHS,2038,0.087
660,"Bahamas, The",BHS,2039,0.087
661,"Bahamas, The",BHS,2040,0.087
662,"Bahamas, The",BHS,2041,0.087
663,"Bahamas, The",BHS,2042,0.087
664,"Bahamas, The",BHS,2043,0.087
665,"Bahamas, The",BHS,2044,0.087
666,"Bahamas, The",BHS,2045,0.087
667,"Bahamas, The",BHS,2046,0.087
668,"Bahamas, The",BHS,2047,0.087
669,"Bahamas, The",BHS,2048,0.087
670,"Bahamas, The",BHS,2049,0.087
671,"Bahamas, The",BHS,2050,0.087
672,Bosnia and Herzegovina,BIH,2023,0.087
673,Bosnia and Herzegovina,BIH,2024,0.087
674,Bosnia and Herzegovina,BIH,2025,0.087
675,Bosnia and Herzegovina,BIH,2026,0.087
676,Bosnia and Herzegovina,BIH,2027,0.087
677,Bosnia and Herzegovina,BIH,2028,0.087
678,Bosnia and Herzegovina,BIH,2029,0.087
679,Bosnia and Herzegovina,BIH,2030,0.087
680,Bosnia and Herzegovina,BIH,2031,0.087
681,Bosnia and Herzegovina,BIH,2032,0.087
682,Bosnia and Herzegovina,BIH,2033,0.087
683,Bosnia and Herzegovina,BIH,2034,0.087
684,Bosnia and Herzegovina,BIH,2035,0.087
685,Bosnia and Herzegovina,BIH,2036,0.087
686,Bosnia and Herzegovina,BIH,2037,0.087
687,Bosnia and Herzegovina,BIH,2038,0.087
688,Bosnia and Herzegovina,BIH,2039,0.087
689,Bosnia and Herzegovina,BIH,2040,0.087
690,Bosnia and Herzegovina,BIH,2041,0.087
691,Bosnia and Herzegovina,BIH,2042,0.087
692,Bosnia and Herzegovina,BIH,2043,0.087
693,Bosnia and Herzegovina,BIH,2044,0.087
694,Bosnia and Herzegovina,BIH,2045,0.087
695,Bosnia and Herzegovina,BIH,2046,0.087
696,Bosnia and Herzegovina,BIH,2047,0.087
697,Bosnia and Herzegovina,BIH,2048,0.087
698,Bosnia and Herzegovina,BIH,2049,0.087
699,Bosnia and Herzegovina,BIH,2050,0.087
700,Belarus,BLR,2023,0.087
701,Belarus,BLR,2024,0.087
702,Belarus,BLR,2025,0.087
703,Belarus,BLR,2026,0.087
704,Belarus,BLR,2027,0.087
705,Belarus,BLR,2028,0.087
706,Belarus,BLR,2029,0.087
707,Belarus,BLR,2030,0.087
708,Belarus,BLR,2031,0.087
