Year,Nation,iso_code3,pij_lndu_croplands_to_other
2042,Algeria,DZA,0.001580876144269
2043,Algeria,DZA,0.001580876144269
2044,Algeria,DZA,0.001580876144269
2045,Algeria,DZA,0.001580876144269
2046,Algeria,DZA,0.001580876144269
2047,Algeria,DZA,0.001580876144269
2048,Algeria,DZA,0.001580876144269
2049,Algeria,DZA,0.001580876144269
2050,Algeria,DZA,0.001580876144269
2021,Andorra,AND,0.0008435605705795514
2022,Andorra,AND,0.0010544507132244393
2023,Andorra,AND,0.0012653408558693274
2024,Andorra,AND,0.0014762309985142151
2025,Andorra,AND,0.0016871211411591028
2026,Andorra,AND,0.001898011283803991
2027,Andorra,AND,0.0021089014264488786
2028,Andorra,AND,0.002319791569093767
2029,Andorra,AND,0.002530681711738655
2030,Andorra,AND,0.0027415718543835426
2031,Andorra,AND,0.0029524619970284303
2032,Andorra,AND,0.0031633521396733184
2033,Andorra,AND,0.0033742422823182057
2034,Andorra,AND,0.003585132424963094
2035,Andorra,AND,0.003796022567607982
2036,Andorra,AND,0.00400691271025287
2037,Andorra,AND,0.004217802852897757
2038,Andorra,AND,0.004428692995542645
2039,Andorra,AND,0.004639583138187534
2040,Andorra,AND,0.004850473280832422
2041,Andorra,AND,0.00506136342347731
2042,Andorra,AND,0.005272253566122197
2043,Andorra,AND,0.005483143708767085
2044,Andorra,AND,0.0056940338514119716
2045,Andorra,AND,0.0059049239940568606
2046,Andorra,AND,0.0061158141367017495
2047,Andorra,AND,0.006326704279346637
2048,Andorra,AND,0.006537594421991524
2049,Andorra,AND,0.006748484564636411
2050,Andorra,AND,0.0069593747072813
2021,Angola,AGO,0.0
2022,Angola,AGO,0.0
2023,Angola,AGO,0.0
2024,Angola,AGO,0.0
2025,Angola,AGO,0.0
2026,Angola,AGO,0.0
2027,Angola,AGO,0.0
2028,Angola,AGO,0.0
2029,Angola,AGO,0.0
2030,Angola,AGO,0.0
2031,Angola,AGO,0.0
2032,Angola,AGO,0.0
2033,Angola,AGO,0.0
2034,Angola,AGO,0.0
2035,Angola,AGO,0.0
2036,Angola,AGO,0.0
2037,Angola,AGO,0.0
2038,Angola,AGO,0.0
2039,Angola,AGO,0.0
2040,Angola,AGO,0.0
2041,Angola,AGO,0.0
2042,Angola,AGO,0.0
2043,Angola,AGO,0.0
2044,Angola,AGO,0.0
2045,Angola,AGO,0.0
2046,Angola,AGO,0.0
2047,Angola,AGO,0.0
2048,Angola,AGO,0.0
2049,Angola,AGO,0.0
2050,Angola,AGO,0.0
2021,Argentina,ARG,0.03409601793210761
2022,Argentina,ARG,0.033443632744162184
2023,Argentina,ARG,0.03279124755621677
2024,Argentina,ARG,0.03213886236827135
2025,Argentina,ARG,0.031486477180325934
2026,Argentina,ARG,0.030834091992380512
2027,Argentina,ARG,0.030181706804435087
2028,Argentina,ARG,0.029529321616489662
2029,Argentina,ARG,0.028876936428544244
2030,Argentina,ARG,0.028224551240598826
2031,Argentina,ARG,0.027572166052653405
2032,Argentina,ARG,0.026919780864707983
2033,Argentina,ARG,0.026267395676762558
2034,Argentina,ARG,0.02561501048881714
2035,Argentina,ARG,0.02496262530087172
2036,Argentina,ARG,0.024310240112926297
2037,Argentina,ARG,0.023657854924980883
2038,Argentina,ARG,0.023005469737035454
2039,Argentina,ARG,0.022353084549090036
2040,Argentina,ARG,0.021700699361144608
2041,Argentina,ARG,0.02104831417319919
2042,Argentina,ARG,0.020395928985253768
2043,Argentina,ARG,0.019743543797308347
2044,Argentina,ARG,0.019091158609362932
2045,Argentina,ARG,0.01843877342141751
2046,Argentina,ARG,0.01778638823347209
2047,Argentina,ARG,0.017134003045526664
2048,Argentina,ARG,0.016481617857581243
2049,Argentina,ARG,0.015829232669635818
2050,Argentina,ARG,0.0151768474816904
2021,Austria,AUT,7.918957626295758e-05
2022,Austria,AUT,9.898697032869697e-05
2023,Austria,AUT,0.00011878436439443636
2024,Austria,AUT,0.00013858175846017575
2025,Austria,AUT,0.00015837915252591515
2026,Austria,AUT,0.00017817654659165456
2027,Austria,AUT,0.00019797394065739396
2028,Austria,AUT,0.00021777133472313334
2029,Austria,AUT,0.00023756872878887274
2030,Austria,AUT,0.0002573661228546121
2031,Austria,AUT,0.0002771635169203515
2032,Austria,AUT,0.00029696091098609085
2033,Austria,AUT,0.0003167583050518303
2034,Austria,AUT,0.00033655569911756965
2035,Austria,AUT,0.0003563530931833091
2036,Austria,AUT,0.00037615048724904846
2037,Austria,AUT,0.0003959478813147879
2038,Austria,AUT,0.00041574527538052727
2039,Austria,AUT,0.0004355426694462667
2040,Austria,AUT,0.00045534006351200613
2041,Austria,AUT,0.0004751374575777455
2042,Austria,AUT,0.0004949348516434847
2043,Austria,AUT,0.0005147322457092243
2044,Austria,AUT,0.0005345296397749636
2045,Austria,AUT,0.000554327033840703
2046,Austria,AUT,0.0005741244279064425
2047,Austria,AUT,0.0005939218219721817
2048,Austria,AUT,0.0006137192160379213
2049,Austria,AUT,0.0006335166101036606
2050,Austria,AUT,0.0006533140041694
2021,Bahamas,BHS,5.347593582888485e-05
2022,Bahamas,BHS,6.684491978610606e-05
2023,Bahamas,BHS,8.021390374332727e-05
2024,Bahamas,BHS,9.358288770054847e-05
2025,Bahamas,BHS,0.0001069518716577697
2026,Bahamas,BHS,0.00012032085561499091
2027,Bahamas,BHS,0.00013368983957221209
2028,Bahamas,BHS,0.00014705882352943333
2029,Bahamas,BHS,0.00016042780748665454
2030,Bahamas,BHS,0.00017379679144387576
2031,Bahamas,BHS,0.00018716577540109694
2032,Bahamas,BHS,0.00020053475935831816
2033,Bahamas,BHS,0.0002139037433155394
2034,Bahamas,BHS,0.00022727272727276058
2035,Bahamas,BHS,0.00024064171122998183
2036,Bahamas,BHS,0.00025401069518720304
2037,Bahamas,BHS,0.00026737967914442417
2038,Bahamas,BHS,0.00028074866310164547
2039,Bahamas,BHS,0.00029411764705886665
2040,Bahamas,BHS,0.0003074866310160879
2041,Bahamas,BHS,0.00032085561497330914
2042,Bahamas,BHS,0.0003342245989305303
2043,Bahamas,BHS,0.0003475935828877515
2044,Bahamas,BHS,0.0003609625668449728
2045,Bahamas,BHS,0.0003743315508021939
2046,Bahamas,BHS,0.0003877005347594152
2047,Bahamas,BHS,0.00040106951871663637
2048,Bahamas,BHS,0.0004144385026738576
2049,Bahamas,BHS,0.0004278074866310788
2050,Bahamas,BHS,0.0004411764705883
2021,Bahrain,BHR,0.0055866025474465494
2022,Bahrain,BHR,0.006181850716023861
2023,Bahrain,BHR,0.0067770988846011715
2024,Bahrain,BHR,0.007372347053178485
2025,Bahrain,BHR,0.007967595221755797
2026,Bahrain,BHR,0.00856284339033311
2027,Bahrain,BHR,0.009158091558910422
2028,Bahrain,BHR,0.009753339727487731
2029,Bahrain,BHR,0.010348587896065044
2030,Bahrain,BHR,0.010943836064642358
2031,Bahrain,BHR,0.011539084233219669
2032,Bahrain,BHR,0.01213433240179698
2033,Bahrain,BHR,0.012729580570374294
2034,Bahrain,BHR,0.013324828738951605
2035,Bahrain,BHR,0.013920076907528918
2036,Bahrain,BHR,0.014515325076106231
2037,Bahrain,BHR,0.015110573244683543
2038,Bahrain,BHR,0.015705821413260854
2039,Bahrain,BHR,0.016301069581838166
2040,Bahrain,BHR,0.01689631775041548
2041,Bahrain,BHR,0.017491565918992792
2042,Bahrain,BHR,0.018086814087570104
2043,Bahrain,BHR,0.01868206225614741
2044,Bahrain,BHR,0.019277310424724727
2045,Bahrain,BHR,0.01987255859330204
2046,Bahrain,BHR,0.02046780676187935
2047,Bahrain,BHR,0.02106305493045666
2048,Bahrain,BHR,0.021658303099033976
2049,Bahrain,BHR,0.022253551267611287
2050,Bahrain,BHR,0.0228487994361886
2021,Bangladesh,BGD,0.00010893132584328488
2022,Bangladesh,BGD,0.00013616415730410608
2023,Bangladesh,BGD,0.0001633969887649273
2024,Bangladesh,BGD,0.0001906298202257485
2025,Bangladesh,BGD,0.00021786265168656973
2026,Bangladesh,BGD,0.00024509548314739093
2027,Bangladesh,BGD,0.00027232831460821216
2028,Bangladesh,BGD,0.0002995611460690334
2029,Bangladesh,BGD,0.0003267939775298546
2030,Bangladesh,BGD,0.00035402680899067584
2031,Bangladesh,BGD,0.000381259640451497
2032,Bangladesh,BGD,0.00040849247191231824
2033,Bangladesh,BGD,0.00043572530337313947
2034,Bangladesh,BGD,0.00046295813483396064
2035,Bangladesh,BGD,0.0004901909662947819
2036,Bangladesh,BGD,0.0005174237977556031
2037,Bangladesh,BGD,0.0005446566292164243
2038,Bangladesh,BGD,0.0005718894606772456
2039,Bangladesh,BGD,0.0005991222921380668
2040,Bangladesh,BGD,0.000626355123598888
2041,Bangladesh,BGD,0.0006535879550597092
2042,Bangladesh,BGD,0.0006808207865205304
2043,Bangladesh,BGD,0.0007080536179813518
2044,Bangladesh,BGD,0.0007352864494421729
2045,Bangladesh,BGD,0.000762519280902994
2046,Bangladesh,BGD,0.0007897521123638152
2047,Bangladesh,BGD,0.0008169849438246365
2048,Bangladesh,BGD,0.0008442177752854578
2049,Bangladesh,BGD,0.0008714506067462789
2050,Bangladesh,BGD,0.0008986834382071002
2021,Barbados,BRB,0.0005282483519969212
2022,Barbados,BRB,0.0006603104399961517
2023,Barbados,BRB,0.0007923725279953819
2024,Barbados,BRB,0.0009244346159946119
2025,Barbados,BRB,0.0010564967039938425
2026,Barbados,BRB,0.0011885587919930726
2027,Barbados,BRB,0.0013206208799923034
2028,Barbados,BRB,0.0014526829679915331
2029,Barbados,BRB,0.0015847450559907635
2030,Barbados,BRB,0.0017168071439899939
2031,Barbados,BRB,0.0018488692319892238
2032,Barbados,BRB,0.0019809313199884546
2033,Barbados,BRB,0.002112993407987685
2034,Barbados,BRB,0.0022450554959869157
2035,Barbados,BRB,0.0023771175839861452
2036,Barbados,BRB,0.002509179671985376
2037,Barbados,BRB,0.002641241759984607
2038,Barbados,BRB,0.0027733038479838363
2039,Barbados,BRB,0.002905365935983067
2040,Barbados,BRB,0.003037428023982297
2041,Barbados,BRB,0.0031694901119815274
2042,Barbados,BRB,0.0033015521999807573
2043,Barbados,BRB,0.0034336142879799877
2044,Barbados,BRB,0.003565676375979219
2045,Barbados,BRB,0.0036977384639784476
2046,Barbados,BRB,0.003829800551977679
2047,Barbados,BRB,0.003961862639976909
2048,Barbados,BRB,0.00409392472797614
2049,Barbados,BRB,0.00422598681597537
2050,Barbados,BRB,0.0043580489039746
2021,Belgium,BEL,5.0888000579381816e-05
2022,Belgium,BEL,6.361000072422727e-05
2023,Belgium,BEL,7.633200086907273e-05
2024,Belgium,BEL,8.905400101391819e-05
2025,Belgium,BEL,0.00010177600115876363
2026,Belgium,BEL,0.00011449800130360908
2027,Belgium,BEL,0.00012722000144845457
2028,Belgium,BEL,0.0001399420015933
2029,Belgium,BEL,0.00015266400173814546
2030,Belgium,BEL,0.00016538600188299092
2031,Belgium,BEL,0.00017810800202783638
2032,Belgium,BEL,0.00019083000217268184
2033,Belgium,BEL,0.00020355200231752732
2034,Belgium,BEL,0.00021627400246237275
2035,Belgium,BEL,0.00022899600260721815
2036,Belgium,BEL,0.00024171800275206366
2037,Belgium,BEL,0.0002544400028969091
2038,Belgium,BEL,0.00026716200304175455
2039,Belgium,BEL,0.0002798840031866
2040,Belgium,BEL,0.00029260600333144547
2041,Belgium,BEL,0.00030532800347629087
2042,Belgium,BEL,0.0003180500036211364
2043,Belgium,BEL,0.00033077200376598184
2044,Belgium,BEL,0.0003434940039108273
2045,Belgium,BEL,0.0003562160040556728
2046,Belgium,BEL,0.00036893800420051816
2047,Belgium,BEL,0.00038166000434536367
2048,Belgium,BEL,0.00039438200449020913
2049,Belgium,BEL,0.00040710400463505464
2050,Belgium,BEL,0.0004198260047799
2021,Belize,BLZ,0.0017180592366002
2022,Belize,BLZ,0.0017180592366002
2023,Belize,BLZ,0.0017180592366002
2024,Belize,BLZ,0.0017180592366002
2025,Belize,BLZ,0.0017180592366002
2026,Belize,BLZ,0.0017180592366002
2027,Belize,BLZ,0.0017180592366002
2028,Belize,BLZ,0.0017180592366002
2029,Belize,BLZ,0.0017180592366002
2030,Belize,BLZ,0.0017180592366002
2031,Belize,BLZ,0.0017180592366002
2032,Belize,BLZ,0.0017180592366002
2033,Belize,BLZ,0.0017180592366002
2034,Belize,BLZ,0.0017180592366002
2035,Belize,BLZ,0.0017180592366002
2036,Belize,BLZ,0.0017180592366002
2037,Belize,BLZ,0.0017180592366002
2038,Belize,BLZ,0.0017180592366002
2039,Belize,BLZ,0.0017180592366002
2040,Belize,BLZ,0.0017180592366002
2041,Belize,BLZ,0.0017180592366002
2042,Belize,BLZ,0.0017180592366002
2043,Belize,BLZ,0.0017180592366002
2044,Belize,BLZ,0.0017180592366002
2045,Belize,BLZ,0.0017180592366002
2046,Belize,BLZ,0.0017180592366002
2047,Belize,BLZ,0.0017180592366002
2048,Belize,BLZ,0.0017180592366002
2049,Belize,BLZ,0.0017180592366002
2050,Belize,BLZ,0.0017180592366002
2021,Benin,BEN,0.006809120120075651
2022,Benin,BEN,0.006782457164663539
2023,Benin,BEN,0.006755794209251428
2024,Benin,BEN,0.006729131253839315
2025,Benin,BEN,0.006702468298427203
2026,Benin,BEN,0.00667580534301509
2027,Benin,BEN,0.006649142387602979
2028,Benin,BEN,0.006622479432190865
2029,Benin,BEN,0.006595816476778754
2030,Benin,BEN,0.006569153521366642
2031,Benin,BEN,0.0065424905659545295
2032,Benin,BEN,0.006515827610542417
2033,Benin,BEN,0.0064891646551303046
2034,Benin,BEN,0.006462501699718193
2035,Benin,BEN,0.006435838744306081
2036,Benin,BEN,0.006409175788893969
2037,Benin,BEN,0.006382512833481856
2038,Benin,BEN,0.006355849878069746
2039,Benin,BEN,0.006329186922657632
2040,Benin,BEN,0.006302523967245521
2041,Benin,BEN,0.006275861011833408
2042,Benin,BEN,0.006249198056421296
2043,Benin,BEN,0.006222535101009183
2044,Benin,BEN,0.0061958721455970716
2045,Benin,BEN,0.006169209190184959
2046,Benin,BEN,0.0061425462347728475
2047,Benin,BEN,0.006115883279360735
2048,Benin,BEN,0.0060892203239486225
2049,Benin,BEN,0.006062557368536511
2050,Benin,BEN,0.0060358944131243975
2021,Bolivia (Plurinational State of),BOL,0.000506500131313891
2022,Bolivia (Plurinational State of),BOL,0.0006331251641423638
2023,Bolivia (Plurinational State of),BOL,0.0007597501969708366
2024,Bolivia (Plurinational State of),BOL,0.0008863752297993091
2025,Bolivia (Plurinational State of),BOL,0.001013000262627782
2026,Bolivia (Plurinational State of),BOL,0.0011396252954562547
2027,Bolivia (Plurinational State of),BOL,0.0012662503282847275
2028,Bolivia (Plurinational State of),BOL,0.0013928753611132
2029,Bolivia (Plurinational State of),BOL,0.0015195003939416731
2030,Bolivia (Plurinational State of),BOL,0.0016461254267701455
2031,Bolivia (Plurinational State of),BOL,0.0017727504595986183
2032,Bolivia (Plurinational State of),BOL,0.001899375492427091
2033,Bolivia (Plurinational State of),BOL,0.002026000525255564
2034,Bolivia (Plurinational State of),BOL,0.0021526255580840365
2035,Bolivia (Plurinational State of),BOL,0.002279250590912509
2036,Bolivia (Plurinational State of),BOL,0.002405875623740982
2037,Bolivia (Plurinational State of),BOL,0.002532500656569455
2038,Bolivia (Plurinational State of),BOL,0.002659125689397928
2039,Bolivia (Plurinational State of),BOL,0.0027857507222264
2040,Bolivia (Plurinational State of),BOL,0.0029123757550548733
2041,Bolivia (Plurinational State of),BOL,0.0030390007878833463
2042,Bolivia (Plurinational State of),BOL,0.0031656258207118184
2043,Bolivia (Plurinational State of),BOL,0.0032922508535402914
2044,Bolivia (Plurinational State of),BOL,0.003418875886368764
2045,Bolivia (Plurinational State of),BOL,0.0035455009191972366
2046,Bolivia (Plurinational State of),BOL,0.003672125952025709
2047,Bolivia (Plurinational State of),BOL,0.003798750984854182
2048,Bolivia (Plurinational State of),BOL,0.003925376017682654
2049,Bolivia (Plurinational State of),BOL,0.004052001050511128
2050,Bolivia (Plurinational State of),BOL,0.0041786260833396
2021,Bosnia and Herzegovina,BIH,0.00816813926310947
2022,Bosnia and Herzegovina,BIH,0.008036395081446412
2023,Bosnia and Herzegovina,BIH,0.007904650899783355
2024,Bosnia and Herzegovina,BIH,0.007772906718120295
2025,Bosnia and Herzegovina,BIH,0.007641162536457239
2026,Bosnia and Herzegovina,BIH,0.007509418354794181
2027,Bosnia and Herzegovina,BIH,0.007377674173131123
2028,Bosnia and Herzegovina,BIH,0.0072459299914680655
2029,Bosnia and Herzegovina,BIH,0.00711418580980501
2030,Bosnia and Herzegovina,BIH,0.006982441628141952
2031,Bosnia and Herzegovina,BIH,0.006850697446478894
2032,Bosnia and Herzegovina,BIH,0.006718953264815836
2033,Bosnia and Herzegovina,BIH,0.006587209083152778
2034,Bosnia and Herzegovina,BIH,0.006455464901489721
2035,Bosnia and Herzegovina,BIH,0.006323720719826663
2036,Bosnia and Herzegovina,BIH,0.006191976538163607
2037,Bosnia and Herzegovina,BIH,0.006060232356500547
2038,Bosnia and Herzegovina,BIH,0.005928488174837491
2039,Bosnia and Herzegovina,BIH,0.0057967439931744325
2040,Bosnia and Herzegovina,BIH,0.005664999811511376
2041,Bosnia and Herzegovina,BIH,0.0055332556298483175
2042,Bosnia and Herzegovina,BIH,0.005401511448185261
2043,Bosnia and Herzegovina,BIH,0.005269767266522204
2044,Bosnia and Herzegovina,BIH,0.005138023084859146
2045,Bosnia and Herzegovina,BIH,0.005006278903196089
2046,Bosnia and Herzegovina,BIH,0.004874534721533031
2047,Bosnia and Herzegovina,BIH,0.004742790539869973
2048,Bosnia and Herzegovina,BIH,0.004611046358206915
2049,Bosnia and Herzegovina,BIH,0.004479302176543858
2050,Bosnia and Herzegovina,BIH,0.0043475579948808
2021,Botswana,BWA,0.003322075974468252
2022,Botswana,BWA,0.00352759496808534
2023,Botswana,BWA,0.0037331139617024275
2024,Botswana,BWA,0.0039386329553195145
2025,Botswana,BWA,0.004144151948936603
2026,Botswana,BWA,0.00434967094255369
2027,Botswana,BWA,0.004555189936170779
2028,Botswana,BWA,0.004760708929787867
2029,Botswana,BWA,0.004966227923404954
2030,Botswana,BWA,0.005171746917022042
2031,Botswana,BWA,0.00537726591063913
2032,Botswana,BWA,0.005582784904256218
2033,Botswana,BWA,0.005788303897873306
2034,Botswana,BWA,0.005993822891490394
2035,Botswana,BWA,0.006199341885107482
2036,Botswana,BWA,0.006404860878724571
2037,Botswana,BWA,0.006610379872341658
2038,Botswana,BWA,0.0068158988659587465
2039,Botswana,BWA,0.007021417859575834
2040,Botswana,BWA,0.0072269368531929215
2041,Botswana,BWA,0.007432455846810008
2042,Botswana,BWA,0.007637974840427096
2043,Botswana,BWA,0.007843493834044184
2044,Botswana,BWA,0.008049012827661272
2045,Botswana,BWA,0.008254531821278359
2046,Botswana,BWA,0.008460050814895448
2047,Botswana,BWA,0.008665569808512536
2048,Botswana,BWA,0.008871088802129624
2049,Botswana,BWA,0.009076607795746712
2050,Botswana,BWA,0.0092821267893638
2021,Brazil,BRA,6.531339828842426e-05
2022,Brazil,BRA,8.164174786053034e-05
2023,Brazil,BRA,9.797009743263638e-05
2024,Brazil,BRA,0.00011429844700474243
2025,Brazil,BRA,0.00013062679657684852
2026,Brazil,BRA,0.00014695514614895458
2027,Brazil,BRA,0.00016328349572106065
2028,Brazil,BRA,0.00017961184529316672
2029,Brazil,BRA,0.00019594019486527281
2030,Brazil,BRA,0.00021226854443737883
2031,Brazil,BRA,0.00022859689400948492
2032,Brazil,BRA,0.000244925243581591
2033,Brazil,BRA,0.00026125359315369703
2034,Brazil,BRA,0.00027758194272580307
2035,Brazil,BRA,0.00029391029229790917
2036,Brazil,BRA,0.0003102386418700152
2037,Brazil,BRA,0.0003265669914421213
2038,Brazil,BRA,0.00034289534101422734
2039,Brazil,BRA,0.00035922369058633344
2040,Brazil,BRA,0.0003755520401584395
2041,Brazil,BRA,0.0003918803897305455
2042,Brazil,BRA,0.0004082087393026516
2043,Brazil,BRA,0.00042453708887475766
2044,Brazil,BRA,0.00044086543844686375
2045,Brazil,BRA,0.00045719378801896985
2046,Brazil,BRA,0.0004735221375910759
2047,Brazil,BRA,0.000489850487163182
2048,Brazil,BRA,0.000506178836735288
2049,Brazil,BRA,0.0005225071863073942
2050,Brazil,BRA,0.0005388355358795002
2021,Brunei Darussalam,BRN,5.688435401109147e-18
2022,Brunei Darussalam,BRN,5.5070274384314075e-18
2023,Brunei Darussalam,BRN,5.325619475753667e-18
2024,Brunei Darussalam,BRN,5.144211513075926e-18
2025,Brunei Darussalam,BRN,4.962803550398186e-18
2026,Brunei Darussalam,BRN,4.781395587720446e-18
2027,Brunei Darussalam,BRN,4.599987625042705e-18
2028,Brunei Darussalam,BRN,4.4185796623649644e-18
2029,Brunei Darussalam,BRN,4.237171699687224e-18
2030,Brunei Darussalam,BRN,4.055763737009484e-18
2031,Brunei Darussalam,BRN,3.874355774331743e-18
2032,Brunei Darussalam,BRN,3.6929478116540026e-18
2033,Brunei Darussalam,BRN,3.511539848976263e-18
2034,Brunei Darussalam,BRN,3.3301318862985217e-18
2035,Brunei Darussalam,BRN,3.148723923620781e-18
2036,Brunei Darussalam,BRN,2.9673159609430404e-18
2037,Brunei Darussalam,BRN,2.7859079982652998e-18
2038,Brunei Darussalam,BRN,2.6045000355875603e-18
2039,Brunei Darussalam,BRN,2.42309207290982e-18
2040,Brunei Darussalam,BRN,2.241684110232079e-18
2041,Brunei Darussalam,BRN,2.0602761475543383e-18
2042,Brunei Darussalam,BRN,1.8788681848765973e-18
2043,Brunei Darussalam,BRN,1.6974602221988576e-18
2044,Brunei Darussalam,BRN,1.5160522595211172e-18
2045,Brunei Darussalam,BRN,1.3346442968433764e-18
2046,Brunei Darussalam,BRN,1.1532363341656359e-18
2047,Brunei Darussalam,BRN,9.718283714878958e-19
2048,Brunei Darussalam,BRN,7.904204088101554e-19
2049,Brunei Darussalam,BRN,6.090124461324146e-19
2050,Brunei Darussalam,BRN,4.2760448345467405e-19
2021,Bulgaria,BGR,0.00013253852094095758
2022,Bulgaria,BGR,0.00016567315117619694
2023,Bulgaria,BGR,0.0001988077814114364
2024,Bulgaria,BGR,0.0002319424116466758
2025,Bulgaria,BGR,0.0002650770418819152
2026,Bulgaria,BGR,0.0002982116721171545
2027,Bulgaria,BGR,0.00033134630235239393
2028,Bulgaria,BGR,0.00036448093258763335
2029,Bulgaria,BGR,0.0003976155628228728
2030,Bulgaria,BGR,0.0004307501930581121
2031,Bulgaria,BGR,0.0004638848232933516
2032,Bulgaria,BGR,0.0004970194535285909
2033,Bulgaria,BGR,0.0005301540837638303
2034,Bulgaria,BGR,0.0005632887139990697
2035,Bulgaria,BGR,0.000596423344234309
2036,Bulgaria,BGR,0.0006295579744695483
2037,Bulgaria,BGR,0.0006626926047047879
2038,Bulgaria,BGR,0.0006958272349400273
2039,Bulgaria,BGR,0.0007289618651752668
2040,Bulgaria,BGR,0.0007620964954105061
2041,Bulgaria,BGR,0.0007952311256457455
2042,Bulgaria,BGR,0.0008283657558809847
2043,Bulgaria,BGR,0.0008615003861162242
2044,Bulgaria,BGR,0.0008946350163514637
2045,Bulgaria,BGR,0.0009277696465867033
2046,Bulgaria,BGR,0.0009609042768219424
2047,Bulgaria,BGR,0.0009940389070571818
2048,Bulgaria,BGR,0.0010271735372924212
2049,Bulgaria,BGR,0.0010603081675276606
2050,Bulgaria,BGR,0.0010934427977629
2021,Burkina Faso,BFA,0.006459728723861043
2022,Burkina Faso,BFA,0.006824660904826303
2023,Burkina Faso,BFA,0.007189593085791564
2024,Burkina Faso,BFA,0.0075545252667568235
2025,Burkina Faso,BFA,0.007919457447722085
2026,Burkina Faso,BFA,0.008284389628687345
2027,Burkina Faso,BFA,0.008649321809652607
2028,Burkina Faso,BFA,0.009014253990617869
2029,Burkina Faso,BFA,0.009379186171583127
2030,Burkina Faso,BFA,0.009744118352548391
2031,Burkina Faso,BFA,0.010109050533513648
2032,Burkina Faso,BFA,0.01047398271447891
2033,Burkina Faso,BFA,0.01083891489544417
2034,Burkina Faso,BFA,0.01120384707640943
2035,Burkina Faso,BFA,0.011568779257374692
2036,Burkina Faso,BFA,0.01193371143833995
2037,Burkina Faso,BFA,0.012298643619305213
2038,Burkina Faso,BFA,0.012663575800270471
2039,Burkina Faso,BFA,0.013028507981235731
2040,Burkina Faso,BFA,0.013393440162200995
2041,Burkina Faso,BFA,0.013758372343166255
2042,Burkina Faso,BFA,0.014123304524131516
2043,Burkina Faso,BFA,0.014488236705096778
2044,Burkina Faso,BFA,0.014853168886062038
2045,Burkina Faso,BFA,0.015218101067027296
2046,Burkina Faso,BFA,0.015583033247992557
2047,Burkina Faso,BFA,0.01594796542895782
2048,Burkina Faso,BFA,0.01631289760992308
2049,Burkina Faso,BFA,0.01667782979088834
2050,Burkina Faso,BFA,0.0170427619718536
2021,Burundi,BDI,0.0001798613520842909
2022,Burundi,BDI,0.00022482669010536363
2023,Burundi,BDI,0.0002697920281264364
2024,Burundi,BDI,0.00031475736614750905
2025,Burundi,BDI,0.0003597227041685817
2026,Burundi,BDI,0.0004046880421896545
2027,Burundi,BDI,0.00044965338021072716
2028,Burundi,BDI,0.0004946187182317999
2029,Burundi,BDI,0.0005395840562528727
2030,Burundi,BDI,0.0005845493942739454
2031,Burundi,BDI,0.0006295147322950182
2032,Burundi,BDI,0.0006744800703160907
