,Nation,iso_code3,Year,frac_scoe_heat_energy_other_se_coal
78,Afghanistan,AFG,2036,0.0581930696526838
79,Afghanistan,AFG,2037,0.0581930696526838
80,Afghanistan,AFG,2038,0.0581930696526838
81,Afghanistan,AFG,2039,0.0581930696526838
82,Afghanistan,AFG,2040,0.0581930696526838
83,Afghanistan,AFG,2041,0.0581930696526838
84,Afghanistan,AFG,2042,0.0581930696526838
85,Afghanistan,AFG,2043,0.0581930696526838
86,Afghanistan,AFG,2044,0.0581930696526838
87,Afghanistan,AFG,2045,0.0581930696526838
88,Afghanistan,AFG,2046,0.0581930696526838
89,Afghanistan,AFG,2047,0.0581930696526838
90,Afghanistan,AFG,2048,0.0581930696526838
91,Afghanistan,AFG,2049,0.0581930696526838
92,Afghanistan,AFG,2050,0.0581930696526838
93,Africa Western and Central,AFW,2020,0.0581930696526838
94,Africa Western and Central,AFW,2021,0.0581930696526838
95,Africa Western and Central,AFW,2022,0.0581930696526838
96,Africa Western and Central,AFW,2023,0.0581930696526838
97,Africa Western and Central,AFW,2024,0.0581930696526838
98,Africa Western and Central,AFW,2025,0.0581930696526838
99,Africa Western and Central,AFW,2026,0.0581930696526838
100,Africa Western and Central,AFW,2027,0.0581930696526838
101,Africa Western and Central,AFW,2028,0.0581930696526838
102,Africa Western and Central,AFW,2029,0.0581930696526838
103,Africa Western and Central,AFW,2030,0.0581930696526838
104,Africa Western and Central,AFW,2031,0.0581930696526838
105,Africa Western and Central,AFW,2032,0.0581930696526838
106,Africa Western and Central,AFW,2033,0.0581930696526838
107,Africa Western and Central,AFW,2034,0.0581930696526838
108,Africa Western and Central,AFW,2035,0.0581930696526838
109,Africa Western and Central,AFW,2036,0.0581930696526838
110,Africa Western and Central,AFW,2037,0.0581930696526838
111,Africa Western and Central,AFW,2038,0.0581930696526838
112,Africa Western and Central,AFW,2039,0.0581930696526838
113,Africa Western and Central,AFW,2040,0.0581930696526838
114,Africa Western and Central,AFW,2041,0.0581930696526838
115,Africa Western and Central,AFW,2042,0.0581930696526838
116,Africa Western and Central,AFW,2043,0.0581930696526838
117,Africa Western and Central,AFW,2044,0.0581930696526838
118,Africa Western and Central,AFW,2045,0.0581930696526838
119,Africa Western and Central,AFW,2046,0.0581930696526838
120,Africa Western and Central,AFW,2047,0.0581930696526838
121,Africa Western and Central,AFW,2048,0.0581930696526838
122,Africa Western and Central,AFW,2049,0.0581930696526838
123,Africa Western and Central,AFW,2050,0.0581930696526838
124,Angola,AGO,2020,0.0581930696526838
125,Angola,AGO,2021,0.0581930696526838
126,Angola,AGO,2022,0.0581930696526838
127,Angola,AGO,2023,0.0581930696526838
128,Angola,AGO,2024,0.0581930696526838
129,Angola,AGO,2025,0.0581930696526838
130,Angola,AGO,2026,0.0581930696526838
131,Angola,AGO,2027,0.0581930696526838
132,Angola,AGO,2028,0.0581930696526838
133,Angola,AGO,2029,0.0581930696526838
134,Angola,AGO,2030,0.0581930696526838
135,Angola,AGO,2031,0.0581930696526838
136,Angola,AGO,2032,0.0581930696526838
137,Angola,AGO,2033,0.0581930696526838
138,Angola,AGO,2034,0.0581930696526838
139,Angola,AGO,2035,0.0581930696526838
140,Angola,AGO,2036,0.0581930696526838
141,Angola,AGO,2037,0.0581930696526838
142,Angola,AGO,2038,0.0581930696526838
143,Angola,AGO,2039,0.0581930696526838
144,Angola,AGO,2040,0.0581930696526838
145,Angola,AGO,2041,0.0581930696526838
146,Angola,AGO,2042,0.0581930696526838
147,Angola,AGO,2043,0.0581930696526838
148,Angola,AGO,2044,0.0581930696526838
149,Angola,AGO,2045,0.0581930696526838
150,Angola,AGO,2046,0.0581930696526838
151,Angola,AGO,2047,0.0581930696526838
152,Angola,AGO,2048,0.0581930696526838
153,Angola,AGO,2049,0.0581930696526838
154,Angola,AGO,2050,0.0581930696526838
155,Albania,ALB,2020,0.0581930696526838
156,Albania,ALB,2021,0.0581930696526838
157,Albania,ALB,2022,0.0581930696526838
158,Albania,ALB,2023,0.0581930696526838
159,Albania,ALB,2024,0.0581930696526838
160,Albania,ALB,2025,0.0581930696526838
161,Albania,ALB,2026,0.0581930696526838
162,Albania,ALB,2027,0.0581930696526838
163,Albania,ALB,2028,0.0581930696526838
164,Albania,ALB,2029,0.0581930696526838
165,Albania,ALB,2030,0.0581930696526838
166,Albania,ALB,2031,0.0581930696526838
167,Albania,ALB,2032,0.0581930696526838
168,Albania,ALB,2033,0.0581930696526838
169,Albania,ALB,2034,0.0581930696526838
170,Albania,ALB,2035,0.0581930696526838
171,Albania,ALB,2036,0.0581930696526838
172,Albania,ALB,2037,0.0581930696526838
173,Albania,ALB,2038,0.0581930696526838
174,Albania,ALB,2039,0.0581930696526838
175,Albania,ALB,2040,0.0581930696526838
176,Albania,ALB,2041,0.0581930696526838
177,Albania,ALB,2042,0.0581930696526838
178,Albania,ALB,2043,0.0581930696526838
179,Albania,ALB,2044,0.0581930696526838
180,Albania,ALB,2045,0.0581930696526838
181,Albania,ALB,2046,0.0581930696526838
182,Albania,ALB,2047,0.0581930696526838
183,Albania,ALB,2048,0.0581930696526838
184,Albania,ALB,2049,0.0581930696526838
185,Albania,ALB,2050,0.0581930696526838
186,Andorra,AND,2020,0.0581930696526838
187,Andorra,AND,2021,0.0581930696526838
188,Andorra,AND,2022,0.0581930696526838
189,Andorra,AND,2023,0.0581930696526838
190,Andorra,AND,2024,0.0581930696526838
191,Andorra,AND,2025,0.0581930696526838
192,Andorra,AND,2026,0.0581930696526838
193,Andorra,AND,2027,0.0581930696526838
194,Andorra,AND,2028,0.0581930696526838
195,Andorra,AND,2029,0.0581930696526838
196,Andorra,AND,2030,0.0581930696526838
197,Andorra,AND,2031,0.0581930696526838
198,Andorra,AND,2032,0.0581930696526838
199,Andorra,AND,2033,0.0581930696526838
200,Andorra,AND,2034,0.0581930696526838
201,Andorra,AND,2035,0.0581930696526838
202,Andorra,AND,2036,0.0581930696526838
203,Andorra,AND,2037,0.0581930696526838
204,Andorra,AND,2038,0.0581930696526838
205,Andorra,AND,2039,0.0581930696526838
206,Andorra,AND,2040,0.0581930696526838
207,Andorra,AND,2041,0.0581930696526838
208,Andorra,AND,2042,0.0581930696526838
209,Andorra,AND,2043,0.0581930696526838
210,Andorra,AND,2044,0.0581930696526838
211,Andorra,AND,2045,0.0581930696526838
212,Andorra,AND,2046,0.0581930696526838
213,Andorra,AND,2047,0.0581930696526838
214,Andorra,AND,2048,0.0581930696526838
215,Andorra,AND,2049,0.0581930696526838
216,Andorra,AND,2050,0.0581930696526838
217,Arab World,ARB,2020,0.0581930696526838
218,Arab World,ARB,2021,0.0581930696526838
219,Arab World,ARB,2022,0.0581930696526838
220,Arab World,ARB,2023,0.0581930696526838
221,Arab World,ARB,2024,0.0581930696526838
222,Arab World,ARB,2025,0.0581930696526838
223,Arab World,ARB,2026,0.0581930696526838
224,Arab World,ARB,2027,0.0581930696526838
225,Arab World,ARB,2028,0.0581930696526838
226,Arab World,ARB,2029,0.0581930696526838
227,Arab World,ARB,2030,0.0581930696526838
228,Arab World,ARB,2031,0.0581930696526838
229,Arab World,ARB,2032,0.0581930696526838
230,Arab World,ARB,2033,0.0581930696526838
231,Arab World,ARB,2034,0.0581930696526838
232,Arab World,ARB,2035,0.0581930696526838
233,Arab World,ARB,2036,0.0581930696526838
234,Arab World,ARB,2037,0.0581930696526838
235,Arab World,ARB,2038,0.0581930696526838
236,Arab World,ARB,2039,0.0581930696526838
237,Arab World,ARB,2040,0.0581930696526838
238,Arab World,ARB,2041,0.0581930696526838
239,Arab World,ARB,2042,0.0581930696526838
240,Arab World,ARB,2043,0.0581930696526838
241,Arab World,ARB,2044,0.0581930696526838
242,Arab World,ARB,2045,0.0581930696526838
243,Arab World,ARB,2046,0.0581930696526838
244,Arab World,ARB,2047,0.0581930696526838
245,Arab World,ARB,2048,0.0581930696526838
246,Arab World,ARB,2049,0.0581930696526838
247,Arab World,ARB,2050,0.0581930696526838
248,United Arab Emirates,ARE,2020,0.0581930696526838
249,United Arab Emirates,ARE,2021,0.0581930696526838
250,United Arab Emirates,ARE,2022,0.0581930696526838
251,United Arab Emirates,ARE,2023,0.0581930696526838
252,United Arab Emirates,ARE,2024,0.0581930696526838
253,United Arab Emirates,ARE,2025,0.0581930696526838
254,United Arab Emirates,ARE,2026,0.0581930696526838
255,United Arab Emirates,ARE,2027,0.0581930696526838
256,United Arab Emirates,ARE,2028,0.0581930696526838
257,United Arab Emirates,ARE,2029,0.0581930696526838
258,United Arab Emirates,ARE,2030,0.0581930696526838
259,United Arab Emirates,ARE,2031,0.0581930696526838
260,United Arab Emirates,ARE,2032,0.0581930696526838
261,United Arab Emirates,ARE,2033,0.0581930696526838
262,United Arab Emirates,ARE,2034,0.0581930696526838
263,United Arab Emirates,ARE,2035,0.0581930696526838
264,United Arab Emirates,ARE,2036,0.0581930696526838
265,United Arab Emirates,ARE,2037,0.0581930696526838
266,United Arab Emirates,ARE,2038,0.0581930696526838
267,United Arab Emirates,ARE,2039,0.0581930696526838
268,United Arab Emirates,ARE,2040,0.0581930696526838
269,United Arab Emirates,ARE,2041,0.0581930696526838
270,United Arab Emirates,ARE,2042,0.0581930696526838
271,United Arab Emirates,ARE,2043,0.0581930696526838
272,United Arab Emirates,ARE,2044,0.0581930696526838
273,United Arab Emirates,ARE,2045,0.0581930696526838
274,United Arab Emirates,ARE,2046,0.0581930696526838
275,United Arab Emirates,ARE,2047,0.0581930696526838
276,United Arab Emirates,ARE,2048,0.0581930696526838
277,United Arab Emirates,ARE,2049,0.0581930696526838
278,United Arab Emirates,ARE,2050,0.0581930696526838
279,Argentina,ARG,2020,0.0581930696526838
280,Argentina,ARG,2021,0.0581930696526838
281,Argentina,ARG,2022,0.0581930696526838
282,Argentina,ARG,2023,0.0581930696526838
283,Argentina,ARG,2024,0.0581930696526838
284,Argentina,ARG,2025,0.0581930696526838
285,Argentina,ARG,2026,0.0581930696526838
286,Argentina,ARG,2027,0.0581930696526838
287,Argentina,ARG,2028,0.0581930696526838
288,Argentina,ARG,2029,0.0581930696526838
289,Argentina,ARG,2030,0.0581930696526838
290,Argentina,ARG,2031,0.0581930696526838
291,Argentina,ARG,2032,0.0581930696526838
292,Argentina,ARG,2033,0.0581930696526838
293,Argentina,ARG,2034,0.0581930696526838
294,Argentina,ARG,2035,0.0581930696526838
295,Argentina,ARG,2036,0.0581930696526838
296,Argentina,ARG,2037,0.0581930696526838
297,Argentina,ARG,2038,0.0581930696526838
298,Argentina,ARG,2039,0.0581930696526838
299,Argentina,ARG,2040,0.0581930696526838
300,Argentina,ARG,2041,0.0581930696526838
301,Argentina,ARG,2042,0.0581930696526838
302,Argentina,ARG,2043,0.0581930696526838
303,Argentina,ARG,2044,0.0581930696526838
304,Argentina,ARG,2045,0.0581930696526838
305,Argentina,ARG,2046,0.0581930696526838
306,Argentina,ARG,2047,0.0581930696526838
307,Argentina,ARG,2048,0.0581930696526838
308,Argentina,ARG,2049,0.0581930696526838
309,Argentina,ARG,2050,0.0581930696526838
310,Armenia,ARM,2020,0.0581930696526838
311,Armenia,ARM,2021,0.0581930696526838
312,Armenia,ARM,2022,0.0581930696526838
313,Armenia,ARM,2023,0.0581930696526838
314,Armenia,ARM,2024,0.0581930696526838
315,Armenia,ARM,2025,0.0581930696526838
316,Armenia,ARM,2026,0.0581930696526838
317,Armenia,ARM,2027,0.0581930696526838
318,Armenia,ARM,2028,0.0581930696526838
319,Armenia,ARM,2029,0.0581930696526838
320,Armenia,ARM,2030,0.0581930696526838
321,Armenia,ARM,2031,0.0581930696526838
322,Armenia,ARM,2032,0.0581930696526838
323,Armenia,ARM,2033,0.0581930696526838
324,Armenia,ARM,2034,0.0581930696526838
325,Armenia,ARM,2035,0.0581930696526838
326,Armenia,ARM,2036,0.0581930696526838
327,Armenia,ARM,2037,0.0581930696526838
328,Armenia,ARM,2038,0.0581930696526838
329,Armenia,ARM,2039,0.0581930696526838
330,Armenia,ARM,2040,0.0581930696526838
331,Armenia,ARM,2041,0.0581930696526838
332,Armenia,ARM,2042,0.0581930696526838
333,Armenia,ARM,2043,0.0581930696526838
334,Armenia,ARM,2044,0.0581930696526838
335,Armenia,ARM,2045,0.0581930696526838
336,Armenia,ARM,2046,0.0581930696526838
337,Armenia,ARM,2047,0.0581930696526838
338,Armenia,ARM,2048,0.0581930696526838
339,Armenia,ARM,2049,0.0581930696526838
340,Armenia,ARM,2050,0.0581930696526838
341,American Samoa,ASM,2020,0.0581930696526838
342,American Samoa,ASM,2021,0.0581930696526838
343,American Samoa,ASM,2022,0.0581930696526838
344,American Samoa,ASM,2023,0.0581930696526838
345,American Samoa,ASM,2024,0.0581930696526838
346,American Samoa,ASM,2025,0.0581930696526838
347,American Samoa,ASM,2026,0.0581930696526838
348,American Samoa,ASM,2027,0.0581930696526838
349,American Samoa,ASM,2028,0.0581930696526838
350,American Samoa,ASM,2029,0.0581930696526838
351,American Samoa,ASM,2030,0.0581930696526838
352,American Samoa,ASM,2031,0.0581930696526838
353,American Samoa,ASM,2032,0.0581930696526838
354,American Samoa,ASM,2033,0.0581930696526838
355,American Samoa,ASM,2034,0.0581930696526838
356,American Samoa,ASM,2035,0.0581930696526838
357,American Samoa,ASM,2036,0.0581930696526838
358,American Samoa,ASM,2037,0.0581930696526838
359,American Samoa,ASM,2038,0.0581930696526838
360,American Samoa,ASM,2039,0.0581930696526838
361,American Samoa,ASM,2040,0.0581930696526838
362,American Samoa,ASM,2041,0.0581930696526838
363,American Samoa,ASM,2042,0.0581930696526838
364,American Samoa,ASM,2043,0.0581930696526838
365,American Samoa,ASM,2044,0.0581930696526838
366,American Samoa,ASM,2045,0.0581930696526838
367,American Samoa,ASM,2046,0.0581930696526838
368,American Samoa,ASM,2047,0.0581930696526838
369,American Samoa,ASM,2048,0.0581930696526838
370,American Samoa,ASM,2049,0.0581930696526838
371,American Samoa,ASM,2050,0.0581930696526838
372,Antigua and Barbuda,ATG,2020,0.0581930696526838
373,Antigua and Barbuda,ATG,2021,0.0581930696526838
374,Antigua and Barbuda,ATG,2022,0.0581930696526838
375,Antigua and Barbuda,ATG,2023,0.0581930696526838
376,Antigua and Barbuda,ATG,2024,0.0581930696526838
377,Antigua and Barbuda,ATG,2025,0.0581930696526838
378,Antigua and Barbuda,ATG,2026,0.0581930696526838
379,Antigua and Barbuda,ATG,2027,0.0581930696526838
380,Antigua and Barbuda,ATG,2028,0.0581930696526838
381,Antigua and Barbuda,ATG,2029,0.0581930696526838
382,Antigua and Barbuda,ATG,2030,0.0581930696526838
383,Antigua and Barbuda,ATG,2031,0.0581930696526838
384,Antigua and Barbuda,ATG,2032,0.0581930696526838
385,Antigua and Barbuda,ATG,2033,0.0581930696526838
386,Antigua and Barbuda,ATG,2034,0.0581930696526838
387,Antigua and Barbuda,ATG,2035,0.0581930696526838
388,Antigua and Barbuda,ATG,2036,0.0581930696526838
389,Antigua and Barbuda,ATG,2037,0.0581930696526838
390,Antigua and Barbuda,ATG,2038,0.0581930696526838
391,Antigua and Barbuda,ATG,2039,0.0581930696526838
392,Antigua and Barbuda,ATG,2040,0.0581930696526838
393,Antigua and Barbuda,ATG,2041,0.0581930696526838
394,Antigua and Barbuda,ATG,2042,0.0581930696526838
395,Antigua and Barbuda,ATG,2043,0.0581930696526838
396,Antigua and Barbuda,ATG,2044,0.0581930696526838
397,Antigua and Barbuda,ATG,2045,0.0581930696526838
398,Antigua and Barbuda,ATG,2046,0.0581930696526838
399,Antigua and Barbuda,ATG,2047,0.0581930696526838
400,Antigua and Barbuda,ATG,2048,0.0581930696526838
401,Antigua and Barbuda,ATG,2049,0.0581930696526838
402,Antigua and Barbuda,ATG,2050,0.0581930696526838
403,Australia,AUS,2020,0.0
404,Australia,AUS,2021,0.0
405,Australia,AUS,2022,0.0
406,Australia,AUS,2023,0.0
407,Australia,AUS,2024,0.0
408,Australia,AUS,2025,0.0
409,Australia,AUS,2026,0.0
410,Australia,AUS,2027,0.0
411,Australia,AUS,2028,0.0
412,Australia,AUS,2029,0.0
413,Australia,AUS,2030,0.0
414,Australia,AUS,2031,0.0
415,Australia,AUS,2032,0.0
416,Australia,AUS,2033,0.0
417,Australia,AUS,2034,0.0
418,Australia,AUS,2035,0.0
419,Australia,AUS,2036,0.0
420,Australia,AUS,2037,0.0
421,Australia,AUS,2038,0.0
422,Australia,AUS,2039,0.0
423,Australia,AUS,2040,0.0
424,Australia,AUS,2041,0.0
425,Australia,AUS,2042,0.0
426,Australia,AUS,2043,0.0
427,Australia,AUS,2044,0.0
428,Australia,AUS,2045,0.0
429,Australia,AUS,2046,0.0
430,Australia,AUS,2047,0.0
431,Australia,AUS,2048,0.0
432,Australia,AUS,2049,0.0
433,Australia,AUS,2050,0.0
434,Austria,AUT,2020,0.0142076848381465
435,Austria,AUT,2021,0.0142076848381465
436,Austria,AUT,2022,0.0142076848381465
437,Austria,AUT,2023,0.0142076848381465
438,Austria,AUT,2024,0.0142076848381465
439,Austria,AUT,2025,0.0142076848381465
440,Austria,AUT,2026,0.0142076848381465
441,Austria,AUT,2027,0.0142076848381465
442,Austria,AUT,2028,0.0142076848381465
443,Austria,AUT,2029,0.0142076848381465
444,Austria,AUT,2030,0.0142076848381465
445,Austria,AUT,2031,0.0142076848381465
446,Austria,AUT,2032,0.0142076848381465
447,Austria,AUT,2033,0.0142076848381465
448,Austria,AUT,2034,0.0142076848381465
449,Austria,AUT,2035,0.0142076848381465
450,Austria,AUT,2036,0.0142076848381465
451,Austria,AUT,2037,0.0142076848381465
452,Austria,AUT,2038,0.0142076848381465
453,Austria,AUT,2039,0.0142076848381465
454,Austria,AUT,2040,0.0142076848381465
455,Austria,AUT,2041,0.0142076848381465
456,Austria,AUT,2042,0.0142076848381465
457,Austria,AUT,2043,0.0142076848381465
458,Austria,AUT,2044,0.0142076848381465
459,Austria,AUT,2045,0.0142076848381465
460,Austria,AUT,2046,0.0142076848381465
461,Austria,AUT,2047,0.0142076848381465
462,Austria,AUT,2048,0.0142076848381465
463,Austria,AUT,2049,0.0142076848381465
464,Austria,AUT,2050,0.0142076848381465
465,Azerbaijan,AZE,2020,0.0581930696526838
466,Azerbaijan,AZE,2021,0.0581930696526838
467,Azerbaijan,AZE,2022,0.0581930696526838
468,Azerbaijan,AZE,2023,0.0581930696526838
469,Azerbaijan,AZE,2024,0.0581930696526838
470,Azerbaijan,AZE,2025,0.0581930696526838
471,Azerbaijan,AZE,2026,0.0581930696526838
472,Azerbaijan,AZE,2027,0.0581930696526838
473,Azerbaijan,AZE,2028,0.0581930696526838
474,Azerbaijan,AZE,2029,0.0581930696526838
475,Azerbaijan,AZE,2030,0.0581930696526838
476,Azerbaijan,AZE,2031,0.0581930696526838
477,Azerbaijan,AZE,2032,0.0581930696526838
478,Azerbaijan,AZE,2033,0.0581930696526838
479,Azerbaijan,AZE,2034,0.0581930696526838
480,Azerbaijan,AZE,2035,0.0581930696526838
481,Azerbaijan,AZE,2036,0.0581930696526838
482,Azerbaijan,AZE,2037,0.0581930696526838
483,Azerbaijan,AZE,2038,0.0581930696526838
484,Azerbaijan,AZE,2039,0.0581930696526838
485,Azerbaijan,AZE,2040,0.0581930696526838
486,Azerbaijan,AZE,2041,0.0581930696526838
487,Azerbaijan,AZE,2042,0.0581930696526838
488,Azerbaijan,AZE,2043,0.0581930696526838
489,Azerbaijan,AZE,2044,0.0581930696526838
490,Azerbaijan,AZE,2045,0.0581930696526838
491,Azerbaijan,AZE,2046,0.0581930696526838
492,Azerbaijan,AZE,2047,0.0581930696526838
493,Azerbaijan,AZE,2048,0.0581930696526838
494,Azerbaijan,AZE,2049,0.0581930696526838
495,Azerbaijan,AZE,2050,0.0581930696526838
496,Burundi,BDI,2020,0.0581930696526838
497,Burundi,BDI,2021,0.0581930696526838
498,Burundi,BDI,2022,0.0581930696526838
499,Burundi,BDI,2023,0.0581930696526838
500,Burundi,BDI,2024,0.0581930696526838
501,Burundi,BDI,2025,0.0581930696526838
502,Burundi,BDI,2026,0.0581930696526838
503,Burundi,BDI,2027,0.0581930696526838
504,Burundi,BDI,2028,0.0581930696526838
505,Burundi,BDI,2029,0.0581930696526838
506,Burundi,BDI,2030,0.0581930696526838
507,Burundi,BDI,2031,0.0581930696526838
508,Burundi,BDI,2032,0.0581930696526838
509,Burundi,BDI,2033,0.0581930696526838
510,Burundi,BDI,2034,0.0581930696526838
511,Burundi,BDI,2035,0.0581930696526838
512,Burundi,BDI,2036,0.0581930696526838
513,Burundi,BDI,2037,0.0581930696526838
514,Burundi,BDI,2038,0.0581930696526838
515,Burundi,BDI,2039,0.0581930696526838
516,Burundi,BDI,2040,0.0581930696526838
517,Burundi,BDI,2041,0.0581930696526838
518,Burundi,BDI,2042,0.0581930696526838
519,Burundi,BDI,2043,0.0581930696526838
520,Burundi,BDI,2044,0.0581930696526838
521,Burundi,BDI,2045,0.0581930696526838
522,Burundi,BDI,2046,0.0581930696526838
523,Burundi,BDI,2047,0.0581930696526838
524,Burundi,BDI,2048,0.0581930696526838
525,Burundi,BDI,2049,0.0581930696526838
526,Burundi,BDI,2050,0.0581930696526838
527,Belgium,BEL,2020,0.0291327529800208
528,Belgium,BEL,2021,0.0291327529800208
529,Belgium,BEL,2022,0.0291327529800208
530,Belgium,BEL,2023,0.0291327529800208
531,Belgium,BEL,2024,0.0291327529800208
532,Belgium,BEL,2025,0.0291327529800208
533,Belgium,BEL,2026,0.0291327529800208
534,Belgium,BEL,2027,0.0291327529800208
535,Belgium,BEL,2028,0.0291327529800208
536,Belgium,BEL,2029,0.0291327529800208
537,Belgium,BEL,2030,0.0291327529800208
538,Belgium,BEL,2031,0.0291327529800208
539,Belgium,BEL,2032,0.0291327529800208
540,Belgium,BEL,2033,0.0291327529800208
541,Belgium,BEL,2034,0.0291327529800208
542,Belgium,BEL,2035,0.0291327529800208
543,Belgium,BEL,2036,0.0291327529800208
544,Belgium,BEL,2037,0.0291327529800208
545,Belgium,BEL,2038,0.0291327529800208
546,Belgium,BEL,2039,0.0291327529800208
547,Belgium,BEL,2040,0.0291327529800208
548,Belgium,BEL,2041,0.0291327529800208
549,Belgium,BEL,2042,0.0291327529800208
550,Belgium,BEL,2043,0.0291327529800208
551,Belgium,BEL,2044,0.0291327529800208
552,Belgium,BEL,2045,0.0291327529800208
553,Belgium,BEL,2046,0.0291327529800208
554,Belgium,BEL,2047,0.0291327529800208
555,Belgium,BEL,2048,0.0291327529800208
556,Belgium,BEL,2049,0.0291327529800208
557,Belgium,BEL,2050,0.0291327529800208
558,Benin,BEN,2020,0.0581930696526838
559,Benin,BEN,2021,0.0581930696526838
560,Benin,BEN,2022,0.0581930696526838
561,Benin,BEN,2023,0.0581930696526838
562,Benin,BEN,2024,0.0581930696526838
563,Benin,BEN,2025,0.0581930696526838
564,Benin,BEN,2026,0.0581930696526838
565,Benin,BEN,2027,0.0581930696526838
566,Benin,BEN,2028,0.0581930696526838
567,Benin,BEN,2029,0.0581930696526838
568,Benin,BEN,2030,0.0581930696526838
569,Benin,BEN,2031,0.0581930696526838
570,Benin,BEN,2032,0.0581930696526838
571,Benin,BEN,2033,0.0581930696526838
572,Benin,BEN,2034,0.0581930696526838
573,Benin,BEN,2035,0.0581930696526838
574,Benin,BEN,2036,0.0581930696526838
575,Benin,BEN,2037,0.0581930696526838
576,Benin,BEN,2038,0.0581930696526838
577,Benin,BEN,2039,0.0581930696526838
578,Benin,BEN,2040,0.0581930696526838
579,Benin,BEN,2041,0.0581930696526838
580,Benin,BEN,2042,0.0581930696526838
581,Benin,BEN,2043,0.0581930696526838
582,Benin,BEN,2044,0.0581930696526838
