,Nation,iso_code3,Year,fuelefficiency_trns_rail_passenger_diesel_km_per_litre
75,Afghanistan,AFG,2042,3.2
76,Afghanistan,AFG,2043,3.2
77,Afghanistan,AFG,2044,3.2
78,Afghanistan,AFG,2045,3.2
79,Afghanistan,AFG,2046,3.2
80,Afghanistan,AFG,2047,3.2
81,Afghanistan,AFG,2048,3.2
82,Afghanistan,AFG,2049,3.2
83,Afghanistan,AFG,2050,3.2
84,Africa Western and Central,AFW,2023,3.2
85,Africa Western and Central,AFW,2024,3.2
86,Africa Western and Central,AFW,2025,3.2
87,Africa Western and Central,AFW,2026,3.2
88,Africa Western and Central,AFW,2027,3.2
89,Africa Western and Central,AFW,2028,3.2
90,Africa Western and Central,AFW,2029,3.2
91,Africa Western and Central,AFW,2030,3.2
92,Africa Western and Central,AFW,2031,3.2
93,Africa Western and Central,AFW,2032,3.2
94,Africa Western and Central,AFW,2033,3.2
95,Africa Western and Central,AFW,2034,3.2
96,Africa Western and Central,AFW,2035,3.2
97,Africa Western and Central,AFW,2036,3.2
98,Africa Western and Central,AFW,2037,3.2
99,Africa Western and Central,AFW,2038,3.2
100,Africa Western and Central,AFW,2039,3.2
101,Africa Western and Central,AFW,2040,3.2
102,Africa Western and Central,AFW,2041,3.2
103,Africa Western and Central,AFW,2042,3.2
104,Africa Western and Central,AFW,2043,3.2
105,Africa Western and Central,AFW,2044,3.2
106,Africa Western and Central,AFW,2045,3.2
107,Africa Western and Central,AFW,2046,3.2
108,Africa Western and Central,AFW,2047,3.2
109,Africa Western and Central,AFW,2048,3.2
110,Africa Western and Central,AFW,2049,3.2
111,Africa Western and Central,AFW,2050,3.2
112,Angola,AGO,2023,3.2
113,Angola,AGO,2024,3.2
114,Angola,AGO,2025,3.2
115,Angola,AGO,2026,3.2
116,Angola,AGO,2027,3.2
117,Angola,AGO,2028,3.2
118,Angola,AGO,2029,3.2
119,Angola,AGO,2030,3.2
120,Angola,AGO,2031,3.2
121,Angola,AGO,2032,3.2
122,Angola,AGO,2033,3.2
123,Angola,AGO,2034,3.2
124,Angola,AGO,2035,3.2
125,Angola,AGO,2036,3.2
126,Angola,AGO,2037,3.2
127,Angola,AGO,2038,3.2
128,Angola,AGO,2039,3.2
129,Angola,AGO,2040,3.2
130,Angola,AGO,2041,3.2
131,Angola,AGO,2042,3.2
132,Angola,AGO,2043,3.2
133,Angola,AGO,2044,3.2
134,Angola,AGO,2045,3.2
135,Angola,AGO,2046,3.2
136,Angola,AGO,2047,3.2
137,Angola,AGO,2048,3.2
138,Angola,AGO,2049,3.2
139,Angola,AGO,2050,3.2
140,Albania,ALB,2023,3.2
141,Albania,ALB,2024,3.2
142,Albania,ALB,2025,3.2
143,Albania,ALB,2026,3.2
144,Albania,ALB,2027,3.2
145,Albania,ALB,2028,3.2
146,Albania,ALB,2029,3.2
147,Albania,ALB,2030,3.2
148,Albania,ALB,2031,3.2
149,Albania,ALB,2032,3.2
150,Albania,ALB,2033,3.2
151,Albania,ALB,2034,3.2
152,Albania,ALB,2035,3.2
153,Albania,ALB,2036,3.2
154,Albania,ALB,2037,3.2
155,Albania,ALB,2038,3.2
156,Albania,ALB,2039,3.2
157,Albania,ALB,2040,3.2
158,Albania,ALB,2041,3.2
159,Albania,ALB,2042,3.2
160,Albania,ALB,2043,3.2
161,Albania,ALB,2044,3.2
162,Albania,ALB,2045,3.2
163,Albania,ALB,2046,3.2
164,Albania,ALB,2047,3.2
165,Albania,ALB,2048,3.2
166,Albania,ALB,2049,3.2
167,Albania,ALB,2050,3.2
168,Andorra,AND,2023,3.2
169,Andorra,AND,2024,3.2
170,Andorra,AND,2025,3.2
171,Andorra,AND,2026,3.2
172,Andorra,AND,2027,3.2
173,Andorra,AND,2028,3.2
174,Andorra,AND,2029,3.2
175,Andorra,AND,2030,3.2
176,Andorra,AND,2031,3.2
177,Andorra,AND,2032,3.2
178,Andorra,AND,2033,3.2
179,Andorra,AND,2034,3.2
180,Andorra,AND,2035,3.2
181,Andorra,AND,2036,3.2
182,Andorra,AND,2037,3.2
183,Andorra,AND,2038,3.2
184,Andorra,AND,2039,3.2
185,Andorra,AND,2040,3.2
186,Andorra,AND,2041,3.2
187,Andorra,AND,2042,3.2
188,Andorra,AND,2043,3.2
189,Andorra,AND,2044,3.2
190,Andorra,AND,2045,3.2
191,Andorra,AND,2046,3.2
192,Andorra,AND,2047,3.2
193,Andorra,AND,2048,3.2
194,Andorra,AND,2049,3.2
195,Andorra,AND,2050,3.2
196,Arab World,ARB,2023,3.2
197,Arab World,ARB,2024,3.2
198,Arab World,ARB,2025,3.2
199,Arab World,ARB,2026,3.2
200,Arab World,ARB,2027,3.2
201,Arab World,ARB,2028,3.2
202,Arab World,ARB,2029,3.2
203,Arab World,ARB,2030,3.2
204,Arab World,ARB,2031,3.2
205,Arab World,ARB,2032,3.2
206,Arab World,ARB,2033,3.2
207,Arab World,ARB,2034,3.2
208,Arab World,ARB,2035,3.2
209,Arab World,ARB,2036,3.2
210,Arab World,ARB,2037,3.2
211,Arab World,ARB,2038,3.2
212,Arab World,ARB,2039,3.2
213,Arab World,ARB,2040,3.2
214,Arab World,ARB,2041,3.2
215,Arab World,ARB,2042,3.2
216,Arab World,ARB,2043,3.2
217,Arab World,ARB,2044,3.2
218,Arab World,ARB,2045,3.2
219,Arab World,ARB,2046,3.2
220,Arab World,ARB,2047,3.2
221,Arab World,ARB,2048,3.2
222,Arab World,ARB,2049,3.2
223,Arab World,ARB,2050,3.2
224,United Arab Emirates,ARE,2023,3.2
225,United Arab Emirates,ARE,2024,3.2
226,United Arab Emirates,ARE,2025,3.2
227,United Arab Emirates,ARE,2026,3.2
228,United Arab Emirates,ARE,2027,3.2
229,United Arab Emirates,ARE,2028,3.2
230,United Arab Emirates,ARE,2029,3.2
231,United Arab Emirates,ARE,2030,3.2
232,United Arab Emirates,ARE,2031,3.2
233,United Arab Emirates,ARE,2032,3.2
234,United Arab Emirates,ARE,2033,3.2
235,United Arab Emirates,ARE,2034,3.2
236,United Arab Emirates,ARE,2035,3.2
237,United Arab Emirates,ARE,2036,3.2
238,United Arab Emirates,ARE,2037,3.2
239,United Arab Emirates,ARE,2038,3.2
240,United Arab Emirates,ARE,2039,3.2
241,United Arab Emirates,ARE,2040,3.2
242,United Arab Emirates,ARE,2041,3.2
243,United Arab Emirates,ARE,2042,3.2
244,United Arab Emirates,ARE,2043,3.2
245,United Arab Emirates,ARE,2044,3.2
246,United Arab Emirates,ARE,2045,3.2
247,United Arab Emirates,ARE,2046,3.2
248,United Arab Emirates,ARE,2047,3.2
249,United Arab Emirates,ARE,2048,3.2
250,United Arab Emirates,ARE,2049,3.2
251,United Arab Emirates,ARE,2050,3.2
252,Argentina,ARG,2023,3.2
253,Argentina,ARG,2024,3.2
254,Argentina,ARG,2025,3.2
255,Argentina,ARG,2026,3.2
256,Argentina,ARG,2027,3.2
257,Argentina,ARG,2028,3.2
258,Argentina,ARG,2029,3.2
259,Argentina,ARG,2030,3.2
260,Argentina,ARG,2031,3.2
261,Argentina,ARG,2032,3.2
262,Argentina,ARG,2033,3.2
263,Argentina,ARG,2034,3.2
264,Argentina,ARG,2035,3.2
265,Argentina,ARG,2036,3.2
266,Argentina,ARG,2037,3.2
267,Argentina,ARG,2038,3.2
268,Argentina,ARG,2039,3.2
269,Argentina,ARG,2040,3.2
270,Argentina,ARG,2041,3.2
271,Argentina,ARG,2042,3.2
272,Argentina,ARG,2043,3.2
273,Argentina,ARG,2044,3.2
274,Argentina,ARG,2045,3.2
275,Argentina,ARG,2046,3.2
276,Argentina,ARG,2047,3.2
277,Argentina,ARG,2048,3.2
278,Argentina,ARG,2049,3.2
279,Argentina,ARG,2050,3.2
280,Armenia,ARM,2023,3.2
281,Armenia,ARM,2024,3.2
282,Armenia,ARM,2025,3.2
283,Armenia,ARM,2026,3.2
284,Armenia,ARM,2027,3.2
285,Armenia,ARM,2028,3.2
286,Armenia,ARM,2029,3.2
287,Armenia,ARM,2030,3.2
288,Armenia,ARM,2031,3.2
289,Armenia,ARM,2032,3.2
290,Armenia,ARM,2033,3.2
291,Armenia,ARM,2034,3.2
292,Armenia,ARM,2035,3.2
293,Armenia,ARM,2036,3.2
294,Armenia,ARM,2037,3.2
295,Armenia,ARM,2038,3.2
296,Armenia,ARM,2039,3.2
297,Armenia,ARM,2040,3.2
298,Armenia,ARM,2041,3.2
299,Armenia,ARM,2042,3.2
300,Armenia,ARM,2043,3.2
301,Armenia,ARM,2044,3.2
302,Armenia,ARM,2045,3.2
303,Armenia,ARM,2046,3.2
304,Armenia,ARM,2047,3.2
305,Armenia,ARM,2048,3.2
306,Armenia,ARM,2049,3.2
307,Armenia,ARM,2050,3.2
308,American Samoa,ASM,2023,3.2
309,American Samoa,ASM,2024,3.2
310,American Samoa,ASM,2025,3.2
311,American Samoa,ASM,2026,3.2
312,American Samoa,ASM,2027,3.2
313,American Samoa,ASM,2028,3.2
314,American Samoa,ASM,2029,3.2
315,American Samoa,ASM,2030,3.2
316,American Samoa,ASM,2031,3.2
317,American Samoa,ASM,2032,3.2
318,American Samoa,ASM,2033,3.2
319,American Samoa,ASM,2034,3.2
320,American Samoa,ASM,2035,3.2
321,American Samoa,ASM,2036,3.2
322,American Samoa,ASM,2037,3.2
323,American Samoa,ASM,2038,3.2
324,American Samoa,ASM,2039,3.2
325,American Samoa,ASM,2040,3.2
326,American Samoa,ASM,2041,3.2
327,American Samoa,ASM,2042,3.2
328,American Samoa,ASM,2043,3.2
329,American Samoa,ASM,2044,3.2
330,American Samoa,ASM,2045,3.2
331,American Samoa,ASM,2046,3.2
332,American Samoa,ASM,2047,3.2
333,American Samoa,ASM,2048,3.2
334,American Samoa,ASM,2049,3.2
335,American Samoa,ASM,2050,3.2
336,Antigua and Barbuda,ATG,2023,3.2
337,Antigua and Barbuda,ATG,2024,3.2
338,Antigua and Barbuda,ATG,2025,3.2
339,Antigua and Barbuda,ATG,2026,3.2
340,Antigua and Barbuda,ATG,2027,3.2
341,Antigua and Barbuda,ATG,2028,3.2
342,Antigua and Barbuda,ATG,2029,3.2
343,Antigua and Barbuda,ATG,2030,3.2
344,Antigua and Barbuda,ATG,2031,3.2
345,Antigua and Barbuda,ATG,2032,3.2
346,Antigua and Barbuda,ATG,2033,3.2
347,Antigua and Barbuda,ATG,2034,3.2
348,Antigua and Barbuda,ATG,2035,3.2
349,Antigua and Barbuda,ATG,2036,3.2
350,Antigua and Barbuda,ATG,2037,3.2
351,Antigua and Barbuda,ATG,2038,3.2
352,Antigua and Barbuda,ATG,2039,3.2
353,Antigua and Barbuda,ATG,2040,3.2
354,Antigua and Barbuda,ATG,2041,3.2
355,Antigua and Barbuda,ATG,2042,3.2
356,Antigua and Barbuda,ATG,2043,3.2
357,Antigua and Barbuda,ATG,2044,3.2
358,Antigua and Barbuda,ATG,2045,3.2
359,Antigua and Barbuda,ATG,2046,3.2
360,Antigua and Barbuda,ATG,2047,3.2
361,Antigua and Barbuda,ATG,2048,3.2
362,Antigua and Barbuda,ATG,2049,3.2
363,Antigua and Barbuda,ATG,2050,3.2
364,Australia,AUS,2023,3.2
365,Australia,AUS,2024,3.2
366,Australia,AUS,2025,3.2
367,Australia,AUS,2026,3.2
368,Australia,AUS,2027,3.2
369,Australia,AUS,2028,3.2
370,Australia,AUS,2029,3.2
371,Australia,AUS,2030,3.2
372,Australia,AUS,2031,3.2
373,Australia,AUS,2032,3.2
374,Australia,AUS,2033,3.2
375,Australia,AUS,2034,3.2
376,Australia,AUS,2035,3.2
377,Australia,AUS,2036,3.2
378,Australia,AUS,2037,3.2
379,Australia,AUS,2038,3.2
380,Australia,AUS,2039,3.2
381,Australia,AUS,2040,3.2
382,Australia,AUS,2041,3.2
383,Australia,AUS,2042,3.2
384,Australia,AUS,2043,3.2
385,Australia,AUS,2044,3.2
386,Australia,AUS,2045,3.2
387,Australia,AUS,2046,3.2
388,Australia,AUS,2047,3.2
389,Australia,AUS,2048,3.2
390,Australia,AUS,2049,3.2
391,Australia,AUS,2050,3.2
392,Austria,AUT,2023,3.2
393,Austria,AUT,2024,3.2
394,Austria,AUT,2025,3.2
395,Austria,AUT,2026,3.2
396,Austria,AUT,2027,3.2
397,Austria,AUT,2028,3.2
398,Austria,AUT,2029,3.2
399,Austria,AUT,2030,3.2
400,Austria,AUT,2031,3.2
401,Austria,AUT,2032,3.2
402,Austria,AUT,2033,3.2
403,Austria,AUT,2034,3.2
404,Austria,AUT,2035,3.2
405,Austria,AUT,2036,3.2
406,Austria,AUT,2037,3.2
407,Austria,AUT,2038,3.2
408,Austria,AUT,2039,3.2
409,Austria,AUT,2040,3.2
410,Austria,AUT,2041,3.2
411,Austria,AUT,2042,3.2
412,Austria,AUT,2043,3.2
413,Austria,AUT,2044,3.2
414,Austria,AUT,2045,3.2
415,Austria,AUT,2046,3.2
416,Austria,AUT,2047,3.2
417,Austria,AUT,2048,3.2
418,Austria,AUT,2049,3.2
419,Austria,AUT,2050,3.2
420,Azerbaijan,AZE,2023,3.2
421,Azerbaijan,AZE,2024,3.2
422,Azerbaijan,AZE,2025,3.2
423,Azerbaijan,AZE,2026,3.2
424,Azerbaijan,AZE,2027,3.2
425,Azerbaijan,AZE,2028,3.2
426,Azerbaijan,AZE,2029,3.2
427,Azerbaijan,AZE,2030,3.2
428,Azerbaijan,AZE,2031,3.2
429,Azerbaijan,AZE,2032,3.2
430,Azerbaijan,AZE,2033,3.2
431,Azerbaijan,AZE,2034,3.2
432,Azerbaijan,AZE,2035,3.2
433,Azerbaijan,AZE,2036,3.2
434,Azerbaijan,AZE,2037,3.2
435,Azerbaijan,AZE,2038,3.2
436,Azerbaijan,AZE,2039,3.2
437,Azerbaijan,AZE,2040,3.2
438,Azerbaijan,AZE,2041,3.2
439,Azerbaijan,AZE,2042,3.2
440,Azerbaijan,AZE,2043,3.2
441,Azerbaijan,AZE,2044,3.2
442,Azerbaijan,AZE,2045,3.2
443,Azerbaijan,AZE,2046,3.2
444,Azerbaijan,AZE,2047,3.2
445,Azerbaijan,AZE,2048,3.2
446,Azerbaijan,AZE,2049,3.2
447,Azerbaijan,AZE,2050,3.2
448,Burundi,BDI,2023,3.2
449,Burundi,BDI,2024,3.2
450,Burundi,BDI,2025,3.2
451,Burundi,BDI,2026,3.2
452,Burundi,BDI,2027,3.2
453,Burundi,BDI,2028,3.2
454,Burundi,BDI,2029,3.2
455,Burundi,BDI,2030,3.2
456,Burundi,BDI,2031,3.2
457,Burundi,BDI,2032,3.2
458,Burundi,BDI,2033,3.2
459,Burundi,BDI,2034,3.2
460,Burundi,BDI,2035,3.2
461,Burundi,BDI,2036,3.2
462,Burundi,BDI,2037,3.2
463,Burundi,BDI,2038,3.2
464,Burundi,BDI,2039,3.2
465,Burundi,BDI,2040,3.2
466,Burundi,BDI,2041,3.2
467,Burundi,BDI,2042,3.2
468,Burundi,BDI,2043,3.2
469,Burundi,BDI,2044,3.2
470,Burundi,BDI,2045,3.2
471,Burundi,BDI,2046,3.2
472,Burundi,BDI,2047,3.2
473,Burundi,BDI,2048,3.2
474,Burundi,BDI,2049,3.2
475,Burundi,BDI,2050,3.2
476,Belgium,BEL,2023,3.2
477,Belgium,BEL,2024,3.2
478,Belgium,BEL,2025,3.2
479,Belgium,BEL,2026,3.2
480,Belgium,BEL,2027,3.2
481,Belgium,BEL,2028,3.2
482,Belgium,BEL,2029,3.2
483,Belgium,BEL,2030,3.2
484,Belgium,BEL,2031,3.2
485,Belgium,BEL,2032,3.2
486,Belgium,BEL,2033,3.2
487,Belgium,BEL,2034,3.2
488,Belgium,BEL,2035,3.2
489,Belgium,BEL,2036,3.2
490,Belgium,BEL,2037,3.2
491,Belgium,BEL,2038,3.2
492,Belgium,BEL,2039,3.2
493,Belgium,BEL,2040,3.2
494,Belgium,BEL,2041,3.2
495,Belgium,BEL,2042,3.2
496,Belgium,BEL,2043,3.2
497,Belgium,BEL,2044,3.2
498,Belgium,BEL,2045,3.2
499,Belgium,BEL,2046,3.2
500,Belgium,BEL,2047,3.2
501,Belgium,BEL,2048,3.2
502,Belgium,BEL,2049,3.2
503,Belgium,BEL,2050,3.2
504,Benin,BEN,2023,3.2
505,Benin,BEN,2024,3.2
506,Benin,BEN,2025,3.2
507,Benin,BEN,2026,3.2
508,Benin,BEN,2027,3.2
509,Benin,BEN,2028,3.2
510,Benin,BEN,2029,3.2
511,Benin,BEN,2030,3.2
512,Benin,BEN,2031,3.2
513,Benin,BEN,2032,3.2
514,Benin,BEN,2033,3.2
515,Benin,BEN,2034,3.2
516,Benin,BEN,2035,3.2
517,Benin,BEN,2036,3.2
518,Benin,BEN,2037,3.2
519,Benin,BEN,2038,3.2
520,Benin,BEN,2039,3.2
521,Benin,BEN,2040,3.2
522,Benin,BEN,2041,3.2
523,Benin,BEN,2042,3.2
524,Benin,BEN,2043,3.2
525,Benin,BEN,2044,3.2
526,Benin,BEN,2045,3.2
527,Benin,BEN,2046,3.2
528,Benin,BEN,2047,3.2
529,Benin,BEN,2048,3.2
530,Benin,BEN,2049,3.2
531,Benin,BEN,2050,3.2
532,Burkina Faso,BFA,2023,3.2
533,Burkina Faso,BFA,2024,3.2
534,Burkina Faso,BFA,2025,3.2
535,Burkina Faso,BFA,2026,3.2
536,Burkina Faso,BFA,2027,3.2
537,Burkina Faso,BFA,2028,3.2
538,Burkina Faso,BFA,2029,3.2
539,Burkina Faso,BFA,2030,3.2
540,Burkina Faso,BFA,2031,3.2
541,Burkina Faso,BFA,2032,3.2
542,Burkina Faso,BFA,2033,3.2
543,Burkina Faso,BFA,2034,3.2
544,Burkina Faso,BFA,2035,3.2
545,Burkina Faso,BFA,2036,3.2
546,Burkina Faso,BFA,2037,3.2
547,Burkina Faso,BFA,2038,3.2
548,Burkina Faso,BFA,2039,3.2
549,Burkina Faso,BFA,2040,3.2
550,Burkina Faso,BFA,2041,3.2
551,Burkina Faso,BFA,2042,3.2
552,Burkina Faso,BFA,2043,3.2
553,Burkina Faso,BFA,2044,3.2
554,Burkina Faso,BFA,2045,3.2
555,Burkina Faso,BFA,2046,3.2
556,Burkina Faso,BFA,2047,3.2
557,Burkina Faso,BFA,2048,3.2
558,Burkina Faso,BFA,2049,3.2
559,Burkina Faso,BFA,2050,3.2
560,Bangladesh,BGD,2023,3.2
561,Bangladesh,BGD,2024,3.2
562,Bangladesh,BGD,2025,3.2
563,Bangladesh,BGD,2026,3.2
564,Bangladesh,BGD,2027,3.2
565,Bangladesh,BGD,2028,3.2
566,Bangladesh,BGD,2029,3.2
567,Bangladesh,BGD,2030,3.2
568,Bangladesh,BGD,2031,3.2
569,Bangladesh,BGD,2032,3.2
570,Bangladesh,BGD,2033,3.2
571,Bangladesh,BGD,2034,3.2
572,Bangladesh,BGD,2035,3.2
573,Bangladesh,BGD,2036,3.2
574,Bangladesh,BGD,2037,3.2
575,Bangladesh,BGD,2038,3.2
576,Bangladesh,BGD,2039,3.2
577,Bangladesh,BGD,2040,3.2
578,Bangladesh,BGD,2041,3.2
579,Bangladesh,BGD,2042,3.2
580,Bangladesh,BGD,2043,3.2
581,Bangladesh,BGD,2044,3.2
582,Bangladesh,BGD,2045,3.2
583,Bangladesh,BGD,2046,3.2
584,Bangladesh,BGD,2047,3.2
585,Bangladesh,BGD,2048,3.2
586,Bangladesh,BGD,2049,3.2
587,Bangladesh,BGD,2050,3.2
588,Bulgaria,BGR,2023,3.2
589,Bulgaria,BGR,2024,3.2
590,Bulgaria,BGR,2025,3.2
591,Bulgaria,BGR,2026,3.2
592,Bulgaria,BGR,2027,3.2
593,Bulgaria,BGR,2028,3.2
594,Bulgaria,BGR,2029,3.2
595,Bulgaria,BGR,2030,3.2
596,Bulgaria,BGR,2031,3.2
597,Bulgaria,BGR,2032,3.2
598,Bulgaria,BGR,2033,3.2
599,Bulgaria,BGR,2034,3.2
600,Bulgaria,BGR,2035,3.2
601,Bulgaria,BGR,2036,3.2
602,Bulgaria,BGR,2037,3.2
603,Bulgaria,BGR,2038,3.2
604,Bulgaria,BGR,2039,3.2
605,Bulgaria,BGR,2040,3.2
606,Bulgaria,BGR,2041,3.2
607,Bulgaria,BGR,2042,3.2
608,Bulgaria,BGR,2043,3.2
609,Bulgaria,BGR,2044,3.2
610,Bulgaria,BGR,2045,3.2
611,Bulgaria,BGR,2046,3.2
612,Bulgaria,BGR,2047,3.2
613,Bulgaria,BGR,2048,3.2
614,Bulgaria,BGR,2049,3.2
615,Bulgaria,BGR,2050,3.2
616,Bahrain,BHR,2023,3.2
617,Bahrain,BHR,2024,3.2
618,Bahrain,BHR,2025,3.2
619,Bahrain,BHR,2026,3.2
620,Bahrain,BHR,2027,3.2
621,Bahrain,BHR,2028,3.2
622,Bahrain,BHR,2029,3.2
623,Bahrain,BHR,2030,3.2
624,Bahrain,BHR,2031,3.2
625,Bahrain,BHR,2032,3.2
626,Bahrain,BHR,2033,3.2
627,Bahrain,BHR,2034,3.2
628,Bahrain,BHR,2035,3.2
629,Bahrain,BHR,2036,3.2
630,Bahrain,BHR,2037,3.2
631,Bahrain,BHR,2038,3.2
632,Bahrain,BHR,2039,3.2
633,Bahrain,BHR,2040,3.2
634,Bahrain,BHR,2041,3.2
635,Bahrain,BHR,2042,3.2
636,Bahrain,BHR,2043,3.2
637,Bahrain,BHR,2044,3.2
638,Bahrain,BHR,2045,3.2
639,Bahrain,BHR,2046,3.2
640,Bahrain,BHR,2047,3.2
641,Bahrain,BHR,2048,3.2
642,Bahrain,BHR,2049,3.2
643,Bahrain,BHR,2050,3.2
644,"Bahamas, The",BHS,2023,3.2
645,"Bahamas, The",BHS,2024,3.2
646,"Bahamas, The",BHS,2025,3.2
647,"Bahamas, The",BHS,2026,3.2
648,"Bahamas, The",BHS,2027,3.2
649,"Bahamas, The",BHS,2028,3.2
650,"Bahamas, The",BHS,2029,3.2
651,"Bahamas, The",BHS,2030,3.2
652,"Bahamas, The",BHS,2031,3.2
653,"Bahamas, The",BHS,2032,3.2
654,"Bahamas, The",BHS,2033,3.2
655,"Bahamas, The",BHS,2034,3.2
656,"Bahamas, The",BHS,2035,3.2
657,"Bahamas, The",BHS,2036,3.2
658,"Bahamas, The",BHS,2037,3.2
659,"Bahamas, The",BHS,2038,3.2
660,"Bahamas, The",BHS,2039,3.2
661,"Bahamas, The",BHS,2040,3.2
662,"Bahamas, The",BHS,2041,3.2
663,"Bahamas, The",BHS,2042,3.2
664,"Bahamas, The",BHS,2043,3.2
665,"Bahamas, The",BHS,2044,3.2
666,"Bahamas, The",BHS,2045,3.2
667,"Bahamas, The",BHS,2046,3.2
668,"Bahamas, The",BHS,2047,3.2
669,"Bahamas, The",BHS,2048,3.2
670,"Bahamas, The",BHS,2049,3.2
671,"Bahamas, The",BHS,2050,3.2
672,Bosnia and Herzegovina,BIH,2023,3.2
673,Bosnia and Herzegovina,BIH,2024,3.2
674,Bosnia and Herzegovina,BIH,2025,3.2
675,Bosnia and Herzegovina,BIH,2026,3.2
676,Bosnia and Herzegovina,BIH,2027,3.2
677,Bosnia and Herzegovina,BIH,2028,3.2
678,Bosnia and Herzegovina,BIH,2029,3.2
679,Bosnia and Herzegovina,BIH,2030,3.2
680,Bosnia and Herzegovina,BIH,2031,3.2
681,Bosnia and Herzegovina,BIH,2032,3.2
682,Bosnia and Herzegovina,BIH,2033,3.2
683,Bosnia and Herzegovina,BIH,2034,3.2
684,Bosnia and Herzegovina,BIH,2035,3.2
685,Bosnia and Herzegovina,BIH,2036,3.2
686,Bosnia and Herzegovina,BIH,2037,3.2
687,Bosnia and Herzegovina,BIH,2038,3.2
688,Bosnia and Herzegovina,BIH,2039,3.2
689,Bosnia and Herzegovina,BIH,2040,3.2
690,Bosnia and Herzegovina,BIH,2041,3.2
691,Bosnia and Herzegovina,BIH,2042,3.2
692,Bosnia and Herzegovina,BIH,2043,3.2
693,Bosnia and Herzegovina,BIH,2044,3.2
694,Bosnia and Herzegovina,BIH,2045,3.2
695,Bosnia and Herzegovina,BIH,2046,3.2
696,Bosnia and Herzegovina,BIH,2047,3.2
697,Bosnia and Herzegovina,BIH,2048,3.2
698,Bosnia and Herzegovina,BIH,2049,3.2
699,Bosnia and Herzegovina,BIH,2050,3.2
700,Belarus,BLR,2023,3.2
701,Belarus,BLR,2024,3.2
702,Belarus,BLR,2025,3.2
703,Belarus,BLR,2026,3.2
704,Belarus,BLR,2027,3.2
705,Belarus,BLR,2028,3.2
706,Belarus,BLR,2029,3.2
707,Belarus,BLR,2030,3.2
708,Belarus,BLR,2031,3.2
