,Nation,iso_code3,Year,fuelefficiency_trns_public_diesel_km_per_litre
139,Angola,AGO,2050,2.5
140,Albania,ALB,2023,2.5
141,Albania,ALB,2024,2.5
142,Albania,ALB,2025,2.5
143,Albania,ALB,2026,2.5
144,Albania,ALB,2027,2.5
145,Albania,ALB,2028,2.5
146,Albania,ALB,2029,2.5
147,Albania,ALB,2030,2.5
148,Albania,ALB,2031,2.5
149,Albania,ALB,2032,2.5
150,Albania,ALB,2033,2.5
151,Albania,ALB,2034,2.5
152,Albania,ALB,2035,2.5
153,Albania,ALB,2036,2.5
154,Albania,ALB,2037,2.5
155,Albania,ALB,2038,2.5
156,Albania,ALB,2039,2.5
157,Albania,ALB,2040,2.5
158,Albania,ALB,2041,2.5
159,Albania,ALB,2042,2.5
160,Albania,ALB,2043,2.5
161,Albania,ALB,2044,2.5
162,Albania,ALB,2045,2.5
163,Albania,ALB,2046,2.5
164,Albania,ALB,2047,2.5
165,Albania,ALB,2048,2.5
166,Albania,ALB,2049,2.5
167,Albania,ALB,2050,2.5
168,Andorra,AND,2023,2.5
169,Andorra,AND,2024,2.5
170,Andorra,AND,2025,2.5
171,Andorra,AND,2026,2.5
172,Andorra,AND,2027,2.5
173,Andorra,AND,2028,2.5
174,Andorra,AND,2029,2.5
175,Andorra,AND,2030,2.5
176,Andorra,AND,2031,2.5
177,Andorra,AND,2032,2.5
178,Andorra,AND,2033,2.5
179,Andorra,AND,2034,2.5
180,Andorra,AND,2035,2.5
181,Andorra,AND,2036,2.5
182,Andorra,AND,2037,2.5
183,Andorra,AND,2038,2.5
184,Andorra,AND,2039,2.5
185,Andorra,AND,2040,2.5
186,Andorra,AND,2041,2.5
187,Andorra,AND,2042,2.5
188,Andorra,AND,2043,2.5
189,Andorra,AND,2044,2.5
190,Andorra,AND,2045,2.5
191,Andorra,AND,2046,2.5
192,Andorra,AND,2047,2.5
193,Andorra,AND,2048,2.5
194,Andorra,AND,2049,2.5
195,Andorra,AND,2050,2.5
196,Arab World,ARB,2023,2.5
197,Arab World,ARB,2024,2.5
198,Arab World,ARB,2025,2.5
199,Arab World,ARB,2026,2.5
200,Arab World,ARB,2027,2.5
201,Arab World,ARB,2028,2.5
202,Arab World,ARB,2029,2.5
203,Arab World,ARB,2030,2.5
204,Arab World,ARB,2031,2.5
205,Arab World,ARB,2032,2.5
206,Arab World,ARB,2033,2.5
207,Arab World,ARB,2034,2.5
208,Arab World,ARB,2035,2.5
209,Arab World,ARB,2036,2.5
210,Arab World,ARB,2037,2.5
211,Arab World,ARB,2038,2.5
212,Arab World,ARB,2039,2.5
213,Arab World,ARB,2040,2.5
214,Arab World,ARB,2041,2.5
215,Arab World,ARB,2042,2.5
216,Arab World,ARB,2043,2.5
217,Arab World,ARB,2044,2.5
218,Arab World,ARB,2045,2.5
219,Arab World,ARB,2046,2.5
220,Arab World,ARB,2047,2.5
221,Arab World,ARB,2048,2.5
222,Arab World,ARB,2049,2.5
223,Arab World,ARB,2050,2.5
224,United Arab Emirates,ARE,2023,2.5
225,United Arab Emirates,ARE,2024,2.5
226,United Arab Emirates,ARE,2025,2.5
227,United Arab Emirates,ARE,2026,2.5
228,United Arab Emirates,ARE,2027,2.5
229,United Arab Emirates,ARE,2028,2.5
230,United Arab Emirates,ARE,2029,2.5
231,United Arab Emirates,ARE,2030,2.5
232,United Arab Emirates,ARE,2031,2.5
233,United Arab Emirates,ARE,2032,2.5
234,United Arab Emirates,ARE,2033,2.5
235,United Arab Emirates,ARE,2034,2.5
236,United Arab Emirates,ARE,2035,2.5
237,United Arab Emirates,ARE,2036,2.5
238,United Arab Emirates,ARE,2037,2.5
239,United Arab Emirates,ARE,2038,2.5
240,United Arab Emirates,ARE,2039,2.5
241,United Arab Emirates,ARE,2040,2.5
242,United Arab Emirates,ARE,2041,2.5
243,United Arab Emirates,ARE,2042,2.5
244,United Arab Emirates,ARE,2043,2.5
245,United Arab Emirates,ARE,2044,2.5
246,United Arab Emirates,ARE,2045,2.5
247,United Arab Emirates,ARE,2046,2.5
248,United Arab Emirates,ARE,2047,2.5
249,United Arab Emirates,ARE,2048,2.5
250,United Arab Emirates,ARE,2049,2.5
251,United Arab Emirates,ARE,2050,2.5
252,Argentina,ARG,2023,2.5
253,Argentina,ARG,2024,2.5
254,Argentina,ARG,2025,2.5
255,Argentina,ARG,2026,2.5
256,Argentina,ARG,2027,2.5
257,Argentina,ARG,2028,2.5
258,Argentina,ARG,2029,2.5
259,Argentina,ARG,2030,2.5
260,Argentina,ARG,2031,2.5
261,Argentina,ARG,2032,2.5
262,Argentina,ARG,2033,2.5
263,Argentina,ARG,2034,2.5
264,Argentina,ARG,2035,2.5
265,Argentina,ARG,2036,2.5
266,Argentina,ARG,2037,2.5
267,Argentina,ARG,2038,2.5
268,Argentina,ARG,2039,2.5
269,Argentina,ARG,2040,2.5
270,Argentina,ARG,2041,2.5
271,Argentina,ARG,2042,2.5
272,Argentina,ARG,2043,2.5
273,Argentina,ARG,2044,2.5
274,Argentina,ARG,2045,2.5
275,Argentina,ARG,2046,2.5
276,Argentina,ARG,2047,2.5
277,Argentina,ARG,2048,2.5
278,Argentina,ARG,2049,2.5
279,Argentina,ARG,2050,2.5
280,Armenia,ARM,2023,2.5
281,Armenia,ARM,2024,2.5
282,Armenia,ARM,2025,2.5
283,Armenia,ARM,2026,2.5
284,Armenia,ARM,2027,2.5
285,Armenia,ARM,2028,2.5
286,Armenia,ARM,2029,2.5
287,Armenia,ARM,2030,2.5
288,Armenia,ARM,2031,2.5
289,Armenia,ARM,2032,2.5
290,Armenia,ARM,2033,2.5
291,Armenia,ARM,2034,2.5
292,Armenia,ARM,2035,2.5
293,Armenia,ARM,2036,2.5
294,Armenia,ARM,2037,2.5
295,Armenia,ARM,2038,2.5
296,Armenia,ARM,2039,2.5
297,Armenia,ARM,2040,2.5
298,Armenia,ARM,2041,2.5
299,Armenia,ARM,2042,2.5
300,Armenia,ARM,2043,2.5
301,Armenia,ARM,2044,2.5
302,Armenia,ARM,2045,2.5
303,Armenia,ARM,2046,2.5
304,Armenia,ARM,2047,2.5
305,Armenia,ARM,2048,2.5
306,Armenia,ARM,2049,2.5
307,Armenia,ARM,2050,2.5
308,American Samoa,ASM,2023,2.5
309,American Samoa,ASM,2024,2.5
310,American Samoa,ASM,2025,2.5
311,American Samoa,ASM,2026,2.5
312,American Samoa,ASM,2027,2.5
313,American Samoa,ASM,2028,2.5
314,American Samoa,ASM,2029,2.5
315,American Samoa,ASM,2030,2.5
316,American Samoa,ASM,2031,2.5
317,American Samoa,ASM,2032,2.5
318,American Samoa,ASM,2033,2.5
319,American Samoa,ASM,2034,2.5
320,American Samoa,ASM,2035,2.5
321,American Samoa,ASM,2036,2.5
322,American Samoa,ASM,2037,2.5
323,American Samoa,ASM,2038,2.5
324,American Samoa,ASM,2039,2.5
325,American Samoa,ASM,2040,2.5
326,American Samoa,ASM,2041,2.5
327,American Samoa,ASM,2042,2.5
328,American Samoa,ASM,2043,2.5
329,American Samoa,ASM,2044,2.5
330,American Samoa,ASM,2045,2.5
331,American Samoa,ASM,2046,2.5
332,American Samoa,ASM,2047,2.5
333,American Samoa,ASM,2048,2.5
334,American Samoa,ASM,2049,2.5
335,American Samoa,ASM,2050,2.5
336,Antigua and Barbuda,ATG,2023,2.5
337,Antigua and Barbuda,ATG,2024,2.5
338,Antigua and Barbuda,ATG,2025,2.5
339,Antigua and Barbuda,ATG,2026,2.5
340,Antigua and Barbuda,ATG,2027,2.5
341,Antigua and Barbuda,ATG,2028,2.5
342,Antigua and Barbuda,ATG,2029,2.5
343,Antigua and Barbuda,ATG,2030,2.5
344,Antigua and Barbuda,ATG,2031,2.5
345,Antigua and Barbuda,ATG,2032,2.5
346,Antigua and Barbuda,ATG,2033,2.5
347,Antigua and Barbuda,ATG,2034,2.5
348,Antigua and Barbuda,ATG,2035,2.5
349,Antigua and Barbuda,ATG,2036,2.5
350,Antigua and Barbuda,ATG,2037,2.5
351,Antigua and Barbuda,ATG,2038,2.5
352,Antigua and Barbuda,ATG,2039,2.5
353,Antigua and Barbuda,ATG,2040,2.5
354,Antigua and Barbuda,ATG,2041,2.5
355,Antigua and Barbuda,ATG,2042,2.5
356,Antigua and Barbuda,ATG,2043,2.5
357,Antigua and Barbuda,ATG,2044,2.5
358,Antigua and Barbuda,ATG,2045,2.5
359,Antigua and Barbuda,ATG,2046,2.5
360,Antigua and Barbuda,ATG,2047,2.5
361,Antigua and Barbuda,ATG,2048,2.5
362,Antigua and Barbuda,ATG,2049,2.5
363,Antigua and Barbuda,ATG,2050,2.5
364,Australia,AUS,2023,2.5
365,Australia,AUS,2024,2.5
366,Australia,AUS,2025,2.5
367,Australia,AUS,2026,2.5
368,Australia,AUS,2027,2.5
369,Australia,AUS,2028,2.5
370,Australia,AUS,2029,2.5
371,Australia,AUS,2030,2.5
372,Australia,AUS,2031,2.5
373,Australia,AUS,2032,2.5
374,Australia,AUS,2033,2.5
375,Australia,AUS,2034,2.5
376,Australia,AUS,2035,2.5
377,Australia,AUS,2036,2.5
378,Australia,AUS,2037,2.5
379,Australia,AUS,2038,2.5
380,Australia,AUS,2039,2.5
381,Australia,AUS,2040,2.5
382,Australia,AUS,2041,2.5
383,Australia,AUS,2042,2.5
384,Australia,AUS,2043,2.5
385,Australia,AUS,2044,2.5
386,Australia,AUS,2045,2.5
387,Australia,AUS,2046,2.5
388,Australia,AUS,2047,2.5
389,Australia,AUS,2048,2.5
390,Australia,AUS,2049,2.5
391,Australia,AUS,2050,2.5
392,Austria,AUT,2023,2.5
393,Austria,AUT,2024,2.5
394,Austria,AUT,2025,2.5
395,Austria,AUT,2026,2.5
396,Austria,AUT,2027,2.5
397,Austria,AUT,2028,2.5
398,Austria,AUT,2029,2.5
399,Austria,AUT,2030,2.5
400,Austria,AUT,2031,2.5
401,Austria,AUT,2032,2.5
402,Austria,AUT,2033,2.5
403,Austria,AUT,2034,2.5
404,Austria,AUT,2035,2.5
405,Austria,AUT,2036,2.5
406,Austria,AUT,2037,2.5
407,Austria,AUT,2038,2.5
408,Austria,AUT,2039,2.5
409,Austria,AUT,2040,2.5
410,Austria,AUT,2041,2.5
411,Austria,AUT,2042,2.5
412,Austria,AUT,2043,2.5
413,Austria,AUT,2044,2.5
414,Austria,AUT,2045,2.5
415,Austria,AUT,2046,2.5
416,Austria,AUT,2047,2.5
417,Austria,AUT,2048,2.5
418,Austria,AUT,2049,2.5
419,Austria,AUT,2050,2.5
420,Azerbaijan,AZE,2023,2.5
421,Azerbaijan,AZE,2024,2.5
422,Azerbaijan,AZE,2025,2.5
423,Azerbaijan,AZE,2026,2.5
424,Azerbaijan,AZE,2027,2.5
425,Azerbaijan,AZE,2028,2.5
426,Azerbaijan,AZE,2029,2.5
427,Azerbaijan,AZE,2030,2.5
428,Azerbaijan,AZE,2031,2.5
429,Azerbaijan,AZE,2032,2.5
430,Azerbaijan,AZE,2033,2.5
431,Azerbaijan,AZE,2034,2.5
432,Azerbaijan,AZE,2035,2.5
433,Azerbaijan,AZE,2036,2.5
434,Azerbaijan,AZE,2037,2.5
435,Azerbaijan,AZE,2038,2.5
436,Azerbaijan,AZE,2039,2.5
437,Azerbaijan,AZE,2040,2.5
438,Azerbaijan,AZE,2041,2.5
439,Azerbaijan,AZE,2042,2.5
440,Azerbaijan,AZE,2043,2.5
441,Azerbaijan,AZE,2044,2.5
442,Azerbaijan,AZE,2045,2.5
443,Azerbaijan,AZE,2046,2.5
444,Azerbaijan,AZE,2047,2.5
445,Azerbaijan,AZE,2048,2.5
446,Azerbaijan,AZE,2049,2.5
447,Azerbaijan,AZE,2050,2.5
448,Burundi,BDI,2023,2.5
449,Burundi,BDI,2024,2.5
450,Burundi,BDI,2025,2.5
451,Burundi,BDI,2026,2.5
452,Burundi,BDI,2027,2.5
453,Burundi,BDI,2028,2.5
454,Burundi,BDI,2029,2.5
455,Burundi,BDI,2030,2.5
456,Burundi,BDI,2031,2.5
457,Burundi,BDI,2032,2.5
458,Burundi,BDI,2033,2.5
459,Burundi,BDI,2034,2.5
460,Burundi,BDI,2035,2.5
461,Burundi,BDI,2036,2.5
462,Burundi,BDI,2037,2.5
463,Burundi,BDI,2038,2.5
464,Burundi,BDI,2039,2.5
465,Burundi,BDI,2040,2.5
466,Burundi,BDI,2041,2.5
467,Burundi,BDI,2042,2.5
468,Burundi,BDI,2043,2.5
469,Burundi,BDI,2044,2.5
470,Burundi,BDI,2045,2.5
471,Burundi,BDI,2046,2.5
472,Burundi,BDI,2047,2.5
473,Burundi,BDI,2048,2.5
474,Burundi,BDI,2049,2.5
475,Burundi,BDI,2050,2.5
476,Belgium,BEL,2023,2.5
477,Belgium,BEL,2024,2.5
478,Belgium,BEL,2025,2.5
479,Belgium,BEL,2026,2.5
480,Belgium,BEL,2027,2.5
481,Belgium,BEL,2028,2.5
482,Belgium,BEL,2029,2.5
483,Belgium,BEL,2030,2.5
484,Belgium,BEL,2031,2.5
485,Belgium,BEL,2032,2.5
486,Belgium,BEL,2033,2.5
487,Belgium,BEL,2034,2.5
488,Belgium,BEL,2035,2.5
489,Belgium,BEL,2036,2.5
490,Belgium,BEL,2037,2.5
491,Belgium,BEL,2038,2.5
492,Belgium,BEL,2039,2.5
493,Belgium,BEL,2040,2.5
494,Belgium,BEL,2041,2.5
495,Belgium,BEL,2042,2.5
496,Belgium,BEL,2043,2.5
497,Belgium,BEL,2044,2.5
498,Belgium,BEL,2045,2.5
499,Belgium,BEL,2046,2.5
500,Belgium,BEL,2047,2.5
501,Belgium,BEL,2048,2.5
502,Belgium,BEL,2049,2.5
503,Belgium,BEL,2050,2.5
504,Benin,BEN,2023,2.5
505,Benin,BEN,2024,2.5
506,Benin,BEN,2025,2.5
507,Benin,BEN,2026,2.5
508,Benin,BEN,2027,2.5
509,Benin,BEN,2028,2.5
510,Benin,BEN,2029,2.5
511,Benin,BEN,2030,2.5
512,Benin,BEN,2031,2.5
513,Benin,BEN,2032,2.5
514,Benin,BEN,2033,2.5
515,Benin,BEN,2034,2.5
516,Benin,BEN,2035,2.5
517,Benin,BEN,2036,2.5
518,Benin,BEN,2037,2.5
519,Benin,BEN,2038,2.5
520,Benin,BEN,2039,2.5
521,Benin,BEN,2040,2.5
522,Benin,BEN,2041,2.5
523,Benin,BEN,2042,2.5
524,Benin,BEN,2043,2.5
525,Benin,BEN,2044,2.5
526,Benin,BEN,2045,2.5
527,Benin,BEN,2046,2.5
528,Benin,BEN,2047,2.5
529,Benin,BEN,2048,2.5
530,Benin,BEN,2049,2.5
531,Benin,BEN,2050,2.5
532,Burkina Faso,BFA,2023,2.5
533,Burkina Faso,BFA,2024,2.5
534,Burkina Faso,BFA,2025,2.5
535,Burkina Faso,BFA,2026,2.5
536,Burkina Faso,BFA,2027,2.5
537,Burkina Faso,BFA,2028,2.5
538,Burkina Faso,BFA,2029,2.5
539,Burkina Faso,BFA,2030,2.5
540,Burkina Faso,BFA,2031,2.5
541,Burkina Faso,BFA,2032,2.5
542,Burkina Faso,BFA,2033,2.5
543,Burkina Faso,BFA,2034,2.5
544,Burkina Faso,BFA,2035,2.5
545,Burkina Faso,BFA,2036,2.5
546,Burkina Faso,BFA,2037,2.5
547,Burkina Faso,BFA,2038,2.5
548,Burkina Faso,BFA,2039,2.5
549,Burkina Faso,BFA,2040,2.5
550,Burkina Faso,BFA,2041,2.5
551,Burkina Faso,BFA,2042,2.5
552,Burkina Faso,BFA,2043,2.5
553,Burkina Faso,BFA,2044,2.5
554,Burkina Faso,BFA,2045,2.5
555,Burkina Faso,BFA,2046,2.5
556,Burkina Faso,BFA,2047,2.5
557,Burkina Faso,BFA,2048,2.5
558,Burkina Faso,BFA,2049,2.5
559,Burkina Faso,BFA,2050,2.5
560,Bangladesh,BGD,2023,2.5
561,Bangladesh,BGD,2024,2.5
562,Bangladesh,BGD,2025,2.5
563,Bangladesh,BGD,2026,2.5
564,Bangladesh,BGD,2027,2.5
565,Bangladesh,BGD,2028,2.5
566,Bangladesh,BGD,2029,2.5
567,Bangladesh,BGD,2030,2.5
568,Bangladesh,BGD,2031,2.5
569,Bangladesh,BGD,2032,2.5
570,Bangladesh,BGD,2033,2.5
571,Bangladesh,BGD,2034,2.5
572,Bangladesh,BGD,2035,2.5
573,Bangladesh,BGD,2036,2.5
574,Bangladesh,BGD,2037,2.5
575,Bangladesh,BGD,2038,2.5
576,Bangladesh,BGD,2039,2.5
577,Bangladesh,BGD,2040,2.5
578,Bangladesh,BGD,2041,2.5
579,Bangladesh,BGD,2042,2.5
580,Bangladesh,BGD,2043,2.5
581,Bangladesh,BGD,2044,2.5
582,Bangladesh,BGD,2045,2.5
583,Bangladesh,BGD,2046,2.5
584,Bangladesh,BGD,2047,2.5
585,Bangladesh,BGD,2048,2.5
586,Bangladesh,BGD,2049,2.5
587,Bangladesh,BGD,2050,2.5
588,Bulgaria,BGR,2023,2.5
589,Bulgaria,BGR,2024,2.5
590,Bulgaria,BGR,2025,2.5
591,Bulgaria,BGR,2026,2.5
592,Bulgaria,BGR,2027,2.5
593,Bulgaria,BGR,2028,2.5
594,Bulgaria,BGR,2029,2.5
595,Bulgaria,BGR,2030,2.5
596,Bulgaria,BGR,2031,2.5
597,Bulgaria,BGR,2032,2.5
598,Bulgaria,BGR,2033,2.5
599,Bulgaria,BGR,2034,2.5
600,Bulgaria,BGR,2035,2.5
601,Bulgaria,BGR,2036,2.5
602,Bulgaria,BGR,2037,2.5
603,Bulgaria,BGR,2038,2.5
604,Bulgaria,BGR,2039,2.5
605,Bulgaria,BGR,2040,2.5
606,Bulgaria,BGR,2041,2.5
607,Bulgaria,BGR,2042,2.5
608,Bulgaria,BGR,2043,2.5
609,Bulgaria,BGR,2044,2.5
610,Bulgaria,BGR,2045,2.5
611,Bulgaria,BGR,2046,2.5
612,Bulgaria,BGR,2047,2.5
613,Bulgaria,BGR,2048,2.5
614,Bulgaria,BGR,2049,2.5
615,Bulgaria,BGR,2050,2.5
616,Bahrain,BHR,2023,2.5
617,Bahrain,BHR,2024,2.5
618,Bahrain,BHR,2025,2.5
619,Bahrain,BHR,2026,2.5
620,Bahrain,BHR,2027,2.5
621,Bahrain,BHR,2028,2.5
622,Bahrain,BHR,2029,2.5
623,Bahrain,BHR,2030,2.5
624,Bahrain,BHR,2031,2.5
625,Bahrain,BHR,2032,2.5
626,Bahrain,BHR,2033,2.5
627,Bahrain,BHR,2034,2.5
628,Bahrain,BHR,2035,2.5
629,Bahrain,BHR,2036,2.5
630,Bahrain,BHR,2037,2.5
631,Bahrain,BHR,2038,2.5
632,Bahrain,BHR,2039,2.5
633,Bahrain,BHR,2040,2.5
634,Bahrain,BHR,2041,2.5
635,Bahrain,BHR,2042,2.5
636,Bahrain,BHR,2043,2.5
637,Bahrain,BHR,2044,2.5
638,Bahrain,BHR,2045,2.5
639,Bahrain,BHR,2046,2.5
640,Bahrain,BHR,2047,2.5
641,Bahrain,BHR,2048,2.5
642,Bahrain,BHR,2049,2.5
643,Bahrain,BHR,2050,2.5
644,"Bahamas, The",BHS,2023,2.5
645,"Bahamas, The",BHS,2024,2.5
646,"Bahamas, The",BHS,2025,2.5
647,"Bahamas, The",BHS,2026,2.5
648,"Bahamas, The",BHS,2027,2.5
649,"Bahamas, The",BHS,2028,2.5
650,"Bahamas, The",BHS,2029,2.5
651,"Bahamas, The",BHS,2030,2.5
652,"Bahamas, The",BHS,2031,2.5
653,"Bahamas, The",BHS,2032,2.5
654,"Bahamas, The",BHS,2033,2.5
655,"Bahamas, The",BHS,2034,2.5
656,"Bahamas, The",BHS,2035,2.5
657,"Bahamas, The",BHS,2036,2.5
658,"Bahamas, The",BHS,2037,2.5
659,"Bahamas, The",BHS,2038,2.5
660,"Bahamas, The",BHS,2039,2.5
661,"Bahamas, The",BHS,2040,2.5
662,"Bahamas, The",BHS,2041,2.5
663,"Bahamas, The",BHS,2042,2.5
664,"Bahamas, The",BHS,2043,2.5
665,"Bahamas, The",BHS,2044,2.5
666,"Bahamas, The",BHS,2045,2.5
667,"Bahamas, The",BHS,2046,2.5
668,"Bahamas, The",BHS,2047,2.5
669,"Bahamas, The",BHS,2048,2.5
670,"Bahamas, The",BHS,2049,2.5
671,"Bahamas, The",BHS,2050,2.5
672,Bosnia and Herzegovina,BIH,2023,2.5
673,Bosnia and Herzegovina,BIH,2024,2.5
674,Bosnia and Herzegovina,BIH,2025,2.5
675,Bosnia and Herzegovina,BIH,2026,2.5
676,Bosnia and Herzegovina,BIH,2027,2.5
677,Bosnia and Herzegovina,BIH,2028,2.5
678,Bosnia and Herzegovina,BIH,2029,2.5
679,Bosnia and Herzegovina,BIH,2030,2.5
680,Bosnia and Herzegovina,BIH,2031,2.5
681,Bosnia and Herzegovina,BIH,2032,2.5
682,Bosnia and Herzegovina,BIH,2033,2.5
683,Bosnia and Herzegovina,BIH,2034,2.5
684,Bosnia and Herzegovina,BIH,2035,2.5
685,Bosnia and Herzegovina,BIH,2036,2.5
686,Bosnia and Herzegovina,BIH,2037,2.5
687,Bosnia and Herzegovina,BIH,2038,2.5
688,Bosnia and Herzegovina,BIH,2039,2.5
689,Bosnia and Herzegovina,BIH,2040,2.5
690,Bosnia and Herzegovina,BIH,2041,2.5
691,Bosnia and Herzegovina,BIH,2042,2.5
692,Bosnia and Herzegovina,BIH,2043,2.5
693,Bosnia and Herzegovina,BIH,2044,2.5
694,Bosnia and Herzegovina,BIH,2045,2.5
695,Bosnia and Herzegovina,BIH,2046,2.5
696,Bosnia and Herzegovina,BIH,2047,2.5
697,Bosnia and Herzegovina,BIH,2048,2.5
698,Bosnia and Herzegovina,BIH,2049,2.5
699,Bosnia and Herzegovina,BIH,2050,2.5
700,Belarus,BLR,2023,2.5
701,Belarus,BLR,2024,2.5
702,Belarus,BLR,2025,2.5
703,Belarus,BLR,2026,2.5
704,Belarus,BLR,2027,2.5
705,Belarus,BLR,2028,2.5
706,Belarus,BLR,2029,2.5
707,Belarus,BLR,2030,2.5
708,Belarus,BLR,2031,2.5
