"year","prodinit_ippu_lime_and_carbonite_tonne","location_code"
2031,53970.1964108785,"ARG"
2032,49470.9295379748,"ARG"
2033,45346.7475033676,"ARG"
2034,41566.3810714473,"ARG"
2035,38101.1677904454,"ARG"
2036,34924.8346758981,"ARG"
2037,32013.2990108688,"ARG"
2038,29344.4857526141,"ARG"
2039,26898.1601612824,"ARG"
2040,24655.7743816501,"ARG"
2041,22600.3268146891,"ARG"
2042,20716.2332127315,"ARG"
2043,18989.2085208851,"ARG"
2044,17406.1585688293,"ARG"
2045,15955.0807918091,"ARG"
2046,14624.9732280979,"ARG"
2047,13405.7511029581,"ARG"
2048,12288.1703666431,"ARG"
2049,11263.7576067131,"ARG"
2050,10324.7458032636,"ARG"
2021,0,"ARM"
2022,NA,"ARM"
2023,NA,"ARM"
2024,NA,"ARM"
2025,NA,"ARM"
2026,NA,"ARM"
2027,NA,"ARM"
2028,NA,"ARM"
2029,NA,"ARM"
2030,NA,"ARM"
2031,NA,"ARM"
2032,NA,"ARM"
2033,NA,"ARM"
2034,NA,"ARM"
2035,NA,"ARM"
2036,NA,"ARM"
2037,NA,"ARM"
2038,NA,"ARM"
2039,NA,"ARM"
2040,NA,"ARM"
2041,NA,"ARM"
2042,NA,"ARM"
2043,NA,"ARM"
2044,NA,"ARM"
2045,NA,"ARM"
2046,NA,"ARM"
2047,NA,"ARM"
2048,NA,"ARM"
2049,NA,"ARM"
2050,NA,"ARM"
2021,0,"ASM"
2022,NA,"ASM"
2023,NA,"ASM"
2024,NA,"ASM"
2025,NA,"ASM"
2026,NA,"ASM"
2027,NA,"ASM"
2028,NA,"ASM"
2029,NA,"ASM"
2030,NA,"ASM"
2031,NA,"ASM"
2032,NA,"ASM"
2033,NA,"ASM"
2034,NA,"ASM"
2035,NA,"ASM"
2036,NA,"ASM"
2037,NA,"ASM"
2038,NA,"ASM"
2039,NA,"ASM"
2040,NA,"ASM"
2041,NA,"ASM"
2042,NA,"ASM"
2043,NA,"ASM"
2044,NA,"ASM"
2045,NA,"ASM"
2046,NA,"ASM"
2047,NA,"ASM"
2048,NA,"ASM"
2049,NA,"ASM"
2050,NA,"ASM"
2021,818.9254,"ATG"
2022,Inf,"ATG"
2023,Inf,"ATG"
2024,Inf,"ATG"
2025,Inf,"ATG"
2026,Inf,"ATG"
2027,Inf,"ATG"
2028,Inf,"ATG"
2029,Inf,"ATG"
2030,Inf,"ATG"
2031,Inf,"ATG"
2032,Inf,"ATG"
2033,Inf,"ATG"
2034,Inf,"ATG"
2035,Inf,"ATG"
2036,Inf,"ATG"
2037,Inf,"ATG"
2038,Inf,"ATG"
2039,Inf,"ATG"
2040,Inf,"ATG"
2041,Inf,"ATG"
2042,Inf,"ATG"
2043,Inf,"ATG"
2044,Inf,"ATG"
2045,Inf,"ATG"
2046,Inf,"ATG"
2047,Inf,"ATG"
2048,Inf,"ATG"
2049,Inf,"ATG"
2050,Inf,"ATG"
2021,5728557,"AUS"
2022,5884054.04536239,"AUS"
2023,6043771.93222403,"AUS"
2024,6207825.23191276,"AUS"
2025,6376331.62570242,"AUS"
2026,6549411.98922982,"AUS"
2027,6727190.47920317,"AUS"
2028,6909794.62246404,"AUS"
2029,7097355.40746698,"AUS"
2030,7290007.37824215,"AUS"
2031,7487888.73090856,"AUS"
2032,7691141.41280709,"AUS"
2033,7899911.22432434,"AUS"
2034,8114347.92348044,"AUS"
2035,8334605.33335585,"AUS"
2036,8560841.45243408,"AUS"
2037,8793218.56793967,"AUS"
2038,9031903.37225257,"AUS"
2039,9277067.08248254,"AUS"
2040,9528885.56328926,"AUS"
2041,9787539.45303633,"AUS"
2042,10053214.2933696,"AUS"
2043,10326100.6623127,"AUS"
2044,10606394.3109758,"AUS"
2045,10894296.3039742,"AUS"
2046,11190013.1636599,"AUS"
2047,11493757.0182668,"AUS"
2048,11805745.7540782,"AUS"
2049,12126203.1717244,"AUS"
2050,12455359.1467224,"AUS"
2021,910598.3,"AUT"
2022,867723.726066732,"AUT"
2023,826867.856857555,"AUT"
2024,787935.643759988,"AUT"
2025,750836.513426619,"AUT"
2026,715484.1570619,"AUT"
2027,681796.329630164,"AUT"
2028,649694.65851771,"AUT"
2029,619104.461203849,"AUT"
2030,589954.571516705,"AUT"
2031,562177.174069596,"AUT"
2032,535707.64649279,"AUT"
2033,510484.409093629,"AUT"
2034,486448.781595241,"AUT"
2035,463544.846620562,"AUT"
2036,441719.319604073,"AUT"
2037,420921.424828608,"AUT"
2038,401102.777298835,"AUT"
2039,382217.270176607,"AUT"
2040,364220.967516303,"AUT"
2041,347072.002050604,"AUT"
2042,330730.477788933,"AUT"
2043,315158.377201938,"AUT"
2044,300319.472776097,"AUT"
2045,286179.242732686,"AUT"
2046,272704.79071503,"AUT"
2047,259864.769257195,"AUT"
2048,247629.30685608,"AUT"
2049,235969.938477241,"AUT"
2050,224859.539332776,"AUT"
2021,7534.121,"AZE"
2022,Inf,"AZE"
2023,Inf,"AZE"
2024,Inf,"AZE"
2025,Inf,"AZE"
2026,Inf,"AZE"
2027,Inf,"AZE"
2028,Inf,"AZE"
2029,Inf,"AZE"
2030,Inf,"AZE"
2031,Inf,"AZE"
2032,Inf,"AZE"
2033,Inf,"AZE"
2034,Inf,"AZE"
2035,Inf,"AZE"
2036,Inf,"AZE"
2037,Inf,"AZE"
2038,Inf,"AZE"
2039,Inf,"AZE"
2040,Inf,"AZE"
2041,Inf,"AZE"
2042,Inf,"AZE"
2043,Inf,"AZE"
2044,Inf,"AZE"
2045,Inf,"AZE"
2046,Inf,"AZE"
2047,Inf,"AZE"
2048,Inf,"AZE"
2049,Inf,"AZE"
2050,Inf,"AZE"
2021,158507.5,"BDI"
2022,Inf,"BDI"
2023,Inf,"BDI"
2024,Inf,"BDI"
2025,Inf,"BDI"
2026,Inf,"BDI"
2027,Inf,"BDI"
2028,Inf,"BDI"
2029,Inf,"BDI"
2030,Inf,"BDI"
2031,Inf,"BDI"
2032,Inf,"BDI"
2033,Inf,"BDI"
2034,Inf,"BDI"
2035,Inf,"BDI"
2036,Inf,"BDI"
2037,Inf,"BDI"
2038,Inf,"BDI"
2039,Inf,"BDI"
2040,Inf,"BDI"
2041,Inf,"BDI"
2042,Inf,"BDI"
2043,Inf,"BDI"
2044,Inf,"BDI"
2045,Inf,"BDI"
2046,Inf,"BDI"
2047,Inf,"BDI"
2048,Inf,"BDI"
2049,Inf,"BDI"
2050,Inf,"BDI"
2021,2200724,"BEL"
2022,2148533.45621692,"BEL"
2023,2097580.62005205,"BEL"
2024,2047836.13905881,"BEL"
2025,1999271.35688889,"BEL"
2026,1951858.29678413,"BEL"
2027,1905569.64545999,"BEL"
2028,1860378.73737106,"BEL"
2029,1816259.53934992,"BEL"
2030,1773186.63561012,"BEL"
2031,1731135.2131049,"BEL"
2032,1690081.04723313,"BEL"
2033,1650000.48788422,"BEL"
2034,1610870.44581396,"BEL"
2035,1572668.37934351,"BEL"
2036,1535372.28137375,"BEL"
2037,1498960.66670768,"BEL"
2038,1463412.5596734,"BEL"
2039,1428707.48204061,"BEL"
2040,1394825.44122374,"BEL"
2041,1361746.9187648,"BEL"
2042,1329452.85908931,"BEL"
2043,1297924.65852902,"BEL"
2044,1267144.15460482,"BEL"
2045,1237093.61556386,"BEL"
2046,1207755.73016485,"BEL"
2047,1179113.59770551,"BEL"
2048,1151150.71828661,"BEL"
2049,1123850.98330683,"BEL"
2050,1097198.66618304,"BEL"
2021,0,"BEN"
2022,NA,"BEN"
2023,NA,"BEN"
2024,NA,"BEN"
2025,NA,"BEN"
2026,NA,"BEN"
2027,NA,"BEN"
2028,NA,"BEN"
2029,NA,"BEN"
2030,NA,"BEN"
2031,NA,"BEN"
2032,NA,"BEN"
2033,NA,"BEN"
2034,NA,"BEN"
2035,NA,"BEN"
2036,NA,"BEN"
2037,NA,"BEN"
2038,NA,"BEN"
2039,NA,"BEN"
2040,NA,"BEN"
2041,NA,"BEN"
2042,NA,"BEN"
2043,NA,"BEN"
2044,NA,"BEN"
2045,NA,"BEN"
2046,NA,"BEN"
2047,NA,"BEN"
2048,NA,"BEN"
2049,NA,"BEN"
2050,NA,"BEN"
2021,36866.98,"BFA"
2022,Inf,"BFA"
2023,Inf,"BFA"
2024,Inf,"BFA"
2025,Inf,"BFA"
2026,Inf,"BFA"
2027,Inf,"BFA"
2028,Inf,"BFA"
2029,Inf,"BFA"
2030,Inf,"BFA"
2031,Inf,"BFA"
2032,Inf,"BFA"
2033,Inf,"BFA"
2034,Inf,"BFA"
2035,Inf,"BFA"
2036,Inf,"BFA"
2037,Inf,"BFA"
2038,Inf,"BFA"
2039,Inf,"BFA"
2040,Inf,"BFA"
2041,Inf,"BFA"
2042,Inf,"BFA"
2043,Inf,"BFA"
2044,Inf,"BFA"
2045,Inf,"BFA"
2046,Inf,"BFA"
2047,Inf,"BFA"
2048,Inf,"BFA"
2049,Inf,"BFA"
2050,Inf,"BFA"
2021,22913040,"BGD"
2022,26078148.8653541,"BGD"
2023,29680472.2657303,"BGD"
2024,33780405.1378485,"BGD"
2025,38446685.1154096,"BGD"
2026,43757544.9533996,"BGD"
2027,49802024.143334,"BGD"
2028,56681461.7093944,"BGD"
2029,64511195.2130077,"BGD"
2030,73422494.4506156,"BGD"
2031,83564762.2641425,"BGD"
2032,95108039.3619629,"BGD"
2033,108245855.145071,"BGD"
2034,123198472.334126,"BGD"
2035,140216579.795328,"BGD"
2036,159585495.477395,"BGD"
2037,181629949.924183,"BGD"
2038,206719530.561184,"BGD"
2039,235274878.032364,"BGD"
2040,267774738.472329,"BGD"
2041,304763989.949071,"BGD"
2042,346862777.645006,"BGD"
2043,394776910.932669,"BGD"
2044,449309696.657745,"BGD"
2045,511375407.02097,"BGD"
2046,582014607.855347,"BGD"
2047,662411604.2857,"BGD"
2048,753914296.256652,"BGD"
2049,858056776.8179,"BGD"
2050,976585052.039498,"BGD"
2021,88087.16,"BGR"
2022,202387.006120911,"BGR"
2023,464999.669039001,"BGR"
2024,1068372.40369672,"BGR"
2025,2454667.53845146,"BGR"
2026,5639786.93522843,"BGR"
2027,12957843.0384259,"BGR"
2028,29771638.208471,"BGR"
2029,68402622.1792978,"BGR"
2030,157160270.73285,"BGR"
2031,361087775.730007,"BGR"
2032,829626859.088827,"BGR"
2033,1906131338.64779,"BGR"
2034,4379482945.09858,"BGR"
2035,10062197959.5674,"BGR"
2036,23118671552.5031,"BGR"
2037,53116921024.6279,"BGR"
2038,122040199962.574,"BGR"
2039,280396719531.231,"BGR"
2040,644232968710.202,"BGR"
2041,1480174656347.69,"BGR"
2042,3400814797914.44,"BGR"
2043,7813632830500.97,"BGR"
2044,17952420710273.2,"BGR"
2045,41247063478663.9,"BGR"
2046,94768291868257.9,"BGR"
2047,217737419011004,"BGR"
2048,500268419984608,"BGR"
2049,1149405064001644,"BGR"
2050,2640846290463970,"BGR"
2021,76085.6,"BHR"
2022,114511.675275323,"BHR"
2023,172344.356545274,"BHR"
2024,259384.706071147,"BHR"
2025,390383.689331547,"BHR"
2026,587542.061382401,"BHR"
2027,884272.789379535,"BHR"
2028,1330863.63927252,"BHR"
2029,2002999.58068426,"BHR"
2030,3014589.32518012,"BHR"
2031,4537069.7463578,"BHR"
2032,6828459.75449254,"BHR"
2033,10277087.4651322,"BHR"
2034,15467401.2241911,"BHR"
2035,23279017.6634962,"BHR"
2036,35035792.7309608,"BHR"
2037,52730179.1695315,"BHR"
2038,79360892.9189099,"BHR"
2039,119441113.686294,"BHR"
2040,179763345.823229,"BHR"
2041,270550562.567887,"BHR"
2042,407188721.207823,"BHR"
2043,612834263.234098,"BHR"
2044,922338499.651116,"BHR"
2045,1388153957.72626,"BHR"
2046,2089223653.87543,"BHR"
2047,3144359782.0101,"BHR"
2048,4732379140.15697,"BHR"
2049,7122407701.02842,"BHR"
2050,10719490124.7888,"BHR"
2021,21400.84,"BHS"
2022,22084.9762748932,"BHS"
2023,22790.9828335054,"BHS"
2024,23519.5588191615,"BHS"
2025,24271.4257252116,"BHS"
2026,25047.3281095102,"BHS"
2027,25848.0343317365,"BHS"
2028,26674.3373142842,"BHS"
2029,27527.0553274761,"BHS"
2030,28407.0327998799,"BHS"
2031,29315.1411545276,"BHS"
2032,30252.2796718675,"BHS"
2033,31219.3763803022,"BHS"
2034,32217.3889751961,"BHS"
2035,33247.3057672601,"BHS"
2036,34310.1466612554,"BHS"
2037,35406.9641659828,"BHS"
2038,36538.8444365606,"BHS"
2039,37706.9083500206,"BHS"
2040,38912.3126152888,"BHS"
2041,40156.2509186499,"BHS"
2042,41439.9551058296,"BHS"
2043,42764.6964018649,"BHS"
2044,44131.7866699717,"BHS"
2045,45542.5797106549,"BHS"
2046,46998.4726023486,"BHS"
2047,48500.9070849129,"BHS"
2048,50051.3709873585,"BHS"
2049,51651.3997012122,"BHS"
2050,53302.5777009826,"BHS"
2021,85282,"BIH"
2022,92432.631411082,"BIH"
2023,100182.821106176,"BIH"
2024,108582.840189367,"BIH"
2025,117687.174841023,"BIH"
2026,127554.879738888,"BIH"
2027,138249.961112422,"BIH"
2028,149841.791915069,"BIH"
2029,162405.561807434,"BIH"
2030,176022.764870152,"BIH"
2031,190781.728209966,"BIH"
2032,206778.184887796,"BIH"
2033,224115.894885042,"BIH"
2034,242907.318135995,"BIH"
2035,263274.343991919,"BIH"
2036,285349.081848449,"BIH"
2037,309274.718064637,"BIH"
2038,335206.444732006,"BIH"
2039,363312.466318012,"BIH"
2040,393775.090713445,"BIH"
2041,426791.911760761,"BIH"
2042,462577.090933766,"BIH"
2043,501362.746482157,"BIH"
2044,543400.459051535,"BIH"
2045,588962.903544984,"BIH"
2046,638345.617811193,"BIH"
2047,691868.919631592,"BIH"
2048,749879.984440919,"BIH"
2049,812755.097258218,"BIH"
2050,880902.093435273,"BIH"
2021,492978.9,"BLR"
2022,459857.684204836,"BLR"
2023,428961.746075206,"BLR"
2024,400141.578397386,"BLR"
2025,373257.718729726,"BLR"
2026,348180.074535912,"BLR"
2027,324787.293659732,"BLR"
2028,302966.177095045,"BLR"
2029,282611.131209306,"BLR"
2030,263623.656769936,"BLR"
2031,245911.87230089,"BLR"
2032,229390.069462938,"BLR"
2033,213978.2983061,"BLR"
2034,199601.980387263,"BLR"
2035,186191.547880824,"BLR"
2036,173682.106935996,"BLR"
2037,162013.12365175,"BLR"
2038,151128.131149803,"BLR"
2039,140974.456328157,"BLR"
2040,131502.964972947,"BLR"
2041,122667.823995163,"BLR"
2042,114426.279641709,"BLR"
2043,106738.450607544,"BLR"
2044,99567.1350477627,"BLR"
2045,92877.6305557384,"BLR"
2046,86637.5662361901,"BLR"
2047,80816.7460605666,"BLR"
2048,75387.0027467351,"BLR"
2049,70322.0614558904,"BLR"
2050,65597.412647105,"BLR"
2021,0,"BLZ"
2022,0,"BLZ"
2023,0,"BLZ"
2024,0,"BLZ"
2025,0,"BLZ"
2026,0,"BLZ"
2027,0,"BLZ"
2028,0,"BLZ"
2029,0,"BLZ"
2030,0,"BLZ"
2031,0,"BLZ"
2032,0,"BLZ"
2033,0,"BLZ"
2034,0,"BLZ"
2035,0,"BLZ"
2036,0,"BLZ"
2037,0,"BLZ"
2038,0,"BLZ"
2039,0,"BLZ"
2040,0,"BLZ"
2041,0,"BLZ"
2042,0,"BLZ"
2043,0,"BLZ"
2044,0,"BLZ"
2045,0,"BLZ"
2046,0,"BLZ"
2047,0,"BLZ"
2048,0,"BLZ"
2049,0,"BLZ"
2050,0,"BLZ"
2021,298349.1,"BMU"
2022,4409814.28618687,"BMU"
2023,65180226.917587,"BMU"
2024,963410634.850506,"BMU"
2025,14239902118.1164,"BMU"
2026,210475995383.839,"BMU"
2027,3110986597053.77,"BMU"
2028,45982619487786.6,"BMU"
2029,679656189120519,"BMU"
2030,10045807319274602,"BMU"
2031,148484257645884640,"BMU"
2032,2194704125605455360,"BMU"
2033,32439305521780383744,"BMU"
2034,4.79476267647289e+20,"BMU"
2035,7.08700410009139e+21,"BMU"
2036,1.04751017941224e+23,"BMU"
2037,1.54829538755044e+24,"BMU"
2038,2.28849194425497e+25,"BMU"
2039,3.38255569384963e+26,"BMU"
2040,4.99966060650454e+27,"BMU"
2041,7.38985797800277e+28,"BMU"
2042,1.09227416085011e+30,"BMU"
2043,1.61445977177394e+31,"BMU"
2044,2.38628766302386e+32,"BMU"
2045,3.52710480016669e+33,"BMU"
2046,5.21331458236454e+34,"BMU"
2047,7.70565392142879e+35,"BMU"
2048,1.13895107265712e+37,"BMU"
2049,1.68345160467091e+38,"BMU"
2050,2.48826255429696e+39,"BMU"
2021,0,"BOL"
2022,0,"BOL"
2023,0,"BOL"
2024,0,"BOL"
2025,0,"BOL"
2026,0,"BOL"
2027,0,"BOL"
2028,0,"BOL"
2029,0,"BOL"
2030,0,"BOL"
2031,0,"BOL"
2032,0,"BOL"
2033,0,"BOL"
2034,0,"BOL"
2035,0,"BOL"
2036,0,"BOL"
2037,0,"BOL"
2038,0,"BOL"
2039,0,"BOL"
2040,0,"BOL"
2041,0,"BOL"
2042,0,"BOL"
2043,0,"BOL"
2044,0,"BOL"
2045,0,"BOL"
2046,0,"BOL"
2047,0,"BOL"
2048,0,"BOL"
2049,0,"BOL"
2050,0,"BOL"
2021,3150919,"BRA"
2022,3419485.73767738,"BRA"
2023,3710943.60412916,"BRA"
2024,4027243.7113251,"BRA"
2025,4370503.47312232,"BRA"
2026,4743020.77990937,"BRA"
2027,5147289.38141779,"BRA"
2028,5586015.58067865,"BRA"
2029,6062136.35087868,"BRA"
2030,6578838.99639606,"BRA"
2031,7139582.48963306,"BRA"
2032,7748120.62648118,"BRA"
2033,8408527.15542874,"BRA"
2034,9125223.04853332,"BRA"
2035,9903006.09681957,"BRA"
2036,10747083.0282234,"BRA"
2037,11663104.3630905,"BRA"
2038,12657202.2405624,"BRA"
2039,13736031.4690735,"BRA"
2040,14906814.0757615,"BRA"
2041,16177387.6530228,"BRA"
2042,17556257.8258565,"BRA"
2043,19052655.1912325,"BRA"
2044,20676597.1106539,"BRA"
2045,22438954.7695712,"BRA"
2046,24351525.952567,"BRA"
2047,26427114.0214914,"BRA"
2048,28679613.6252515,"BRA"
2049,31124103.7150259,"BRA"
2050,33776948.4875754,"BRA"
2021,72592.39,"BRB"
2022,79811.4033789293,"BRB"
2023,87748.3178238679,"BRB"
2024,96474.5256308989,"BRB"
2025,106068.518765101,"BRB"
2026,116616.594893308,"BRB"
2027,128213.63362891,"BRB"
2028,140963.949970999,"BRB"
2029,154982.232614501,"BRB"
2030,170394.575571392,"BRB"
2031,187339.61238237,"BRB"
2032,205969.763121198,"BRB"
2033,226452.605408479,"BRB"
2034,248972.381767092,"BRB"
2035,273731.656877893,"BRB"
2036,300953.139642656,"BRB"
2037,330881.686443652,"BRB"
2038,363786.503619108,"BRB"
2039,399963.568965769,"BRB"
2040,439738.294049874,"BRB"
2041,483468.45127398,"BRB"
2042,531547.392028474,"BRB"
2043,584407.584874976,"BRB"
2044,642524.505587467,"BRB"
2045,706420.914041933,"BRB"
2046,776671.556425028,"BRB"
2047,853908.335057969,"BRB"
2048,938825.99233806,"BRB"
2049,1032188.35992473,"BRB"
2050,1134835.22938132,"BRB"
2021,8451.251,"BRN"
2022,27706.1125804708,"BRN"
2023,90830.1829305178,"BRN"
2024,297772.634368295,"BRN"
2025,976201.290340487,"BRN"
2026,3200324.17110489,"BRN"
2027,10491765.2757721,"BRN"
2028,34395621.4172807,"BRN"
2029,112760697.707645,"BRN"
2030,369668417.769209,"BRN"
2031,1211900439.37379,"BRN"
2032,3973027189.65658,"BRN"
2033,13024951998.4552,"BRN"
2034,42700280280.9227,"BRN"
2035,139986230758.133,"BRN"
2036,458923095421.092,"BRN"
2037,1504508024612.56,"BRN"
2038,4932295669379.27,"BRN"
2039,16169764582307.5,"BRN"
2040,53010059447662.9,"BRN"
2041,173785239008331,"BRN"
2042,569727889609342,"BRN"
2043,1867764316756238,"BRN"
2044,6123174951712408,"BRN"
2045,20073877176534312,"BRN"
2046,65809085658395752,"BRN"
2047,215744856716403104,"BRN"
2048,707285973265047424,"BRN"
2049,2318727109379339776,"BRN"
2050,7601586361102469120,"BRN"
2021,224467.3,"BTN"
2022,541050.161278649,"BTN"
2023,1304133.28364378,"BTN"
2024,3143449.06115198,"BTN"
2025,7576888.13251417,"BTN"
2026,18263134.746518,"BTN"
2027,44020986.5760281,"BTN"
2028,106107044.930844,"BTN"
2029,255757670.594488,"BTN"
2030,616471659.450616,"BTN"
2031,1485927307.76141,"BTN"
2032,3581640664.42043,"BTN"
2033,8633093814.2297,"BTN"
2034,20808985542.7614,"BTN"
2035,50157439341.7489,"BTN"
2036,120898191608.209,"BTN"
2037,291409867129.504,"BTN"
2038,702406789802.381,"BTN"
2039,1693063118350.85,"BTN"
2040,4080915452890.74,"BTN"
2041,9836532822157.48,"BTN"
2042,23709723731924.6,"BTN"
2043,57149303479972.4,"BTN"
2044,137751199683881,"BTN"
2045,332031920931428,"BTN"
2046,800321135281660,"BTN"
2047,1929073318558443,"BTN"
2048,4649788321614709,"BTN"
2049,11207729238607224,"BTN"
2050,27014820029981528,"BTN"
2021,101294.2,"BWA"
2022,149787.809719902,"BWA"
2023,221497.26184407,"BWA"
2024,327536.914360141,"BWA"
2025,484342.015677311,"BWA"
2026,716216.028989093,"BWA"
2027,1059097.46331539,"BWA"
2028,1566130.03814549,"BWA"
2029,2315899.51004461,"BWA"
2030,3424613.79961515,"BWA"
2031,5064114.23537483,"BWA"
2032,7488509.5048697,"BWA"
2033,11073560.3499618,"BWA"
2034,16374919.3006306,"BWA"
2035,24214252.11297,"BWA"
2036,35806589.005168,"BWA"
2037,52948644.0548901,"BWA"
2038,78297290.6703515,"BWA"
2039,115781354.475523,"BWA"
2040,171210548.020441,"BWA"
2041,253175927.041489,"BWA"
2042,374381431.368729,"BWA"
2043,553612888.04812,"BWA"
2044,818649655.492983,"BWA"
2045,1210570188.85826,"BWA"
2046,1790118852.81968,"BWA"
2047,2647120783.83722,"BWA"
2048,3914404025.84756,"BWA"
2049,5788386752.55318,"BWA"
2050,8559520421.4717,"BWA"
2021,0,"CAF"
2022,NA,"CAF"
2023,NA,"CAF"
2024,NA,"CAF"
2025,NA,"CAF"
2026,NA,"CAF"
2027,NA,"CAF"
2028,NA,"CAF"
2029,NA,"CAF"
2030,NA,"CAF"
2031,NA,"CAF"
2032,NA,"CAF"
2033,NA,"CAF"
2034,NA,"CAF"
2035,NA,"CAF"
2036,NA,"CAF"
2037,NA,"CAF"
2038,NA,"CAF"
2039,NA,"CAF"
2040,NA,"CAF"
2041,NA,"CAF"
2042,NA,"CAF"
2043,NA,"CAF"
2044,NA,"CAF"
2045,NA,"CAF"
2046,NA,"CAF"
2047,NA,"CAF"
2048,NA,"CAF"
2049,NA,"CAF"
2050,NA,"CAF"
2021,4679334,"CAN"
2022,4407413.93318477,"CAN"
2023,4151295.37204039,"CAN"
2024,3910060.07767264,"CAN"
2025,3682843.17082814,"CAN"
2026,3468830.03112031,"CAN"
2027,3267253.37644404,"CAN"
2028,3077390.51210801,"CAN"
2029,2898560.73982226,"CAN"
2030,2730122.91725168,"CAN"
2031,2571473.15938595,"CAN"
2032,2422042.6734848,"CAN"
2033,2281295.71983641,"CAN"
2034,2148727.69101795,"CAN"
2035,2023863.30277181,"CAN"
2036,1906254.89001166,"CAN"
2037,1795480.80184894,"CAN"
2038,1691143.88988577,"CAN"
2039,1592870.08435449,"CAN"
2040,1500307.05299882,"CAN"
2041,1413122.93788868,"CAN"
2042,1331005.16563972,"CAN"
2043,1253659.32677201,"CAN"
2044,1180808.12019018,"CAN"
2045,1112190.35900064,"CAN"
2046,1047560.03410169,"CAN"
2047,986685.432189134,"CAN"
2048,929348.305015377,"CAN"
2049,875343.086923571,"CAN"
2050,824476.157851505,"CAN"
2021,155672.6,"CHE"
