,Nation,iso_code3,Year,fuelefficiency_trns_rail_freight_diesel_km_per_litre
56,Afghanistan,AFG,2023,8.8
57,Afghanistan,AFG,2024,8.8
58,Afghanistan,AFG,2025,8.8
59,Afghanistan,AFG,2026,8.8
60,Afghanistan,AFG,2027,8.8
61,Afghanistan,AFG,2028,8.8
62,Afghanistan,AFG,2029,8.8
63,Afghanistan,AFG,2030,8.8
64,Afghanistan,AFG,2031,8.8
65,Afghanistan,AFG,2032,8.8
66,Afghanistan,AFG,2033,8.8
67,Afghanistan,AFG,2034,8.8
68,Afghanistan,AFG,2035,8.8
69,Afghanistan,AFG,2036,8.8
70,Afghanistan,AFG,2037,8.8
71,Afghanistan,AFG,2038,8.8
72,Afghanistan,AFG,2039,8.8
73,Afghanistan,AFG,2040,8.8
74,Afghanistan,AFG,2041,8.8
75,Afghanistan,AFG,2042,8.8
76,Afghanistan,AFG,2043,8.8
77,Afghanistan,AFG,2044,8.8
78,Afghanistan,AFG,2045,8.8
79,Afghanistan,AFG,2046,8.8
80,Afghanistan,AFG,2047,8.8
81,Afghanistan,AFG,2048,8.8
82,Afghanistan,AFG,2049,8.8
83,Afghanistan,AFG,2050,8.8
84,Africa Western and Central,AFW,2023,8.8
85,Africa Western and Central,AFW,2024,8.8
86,Africa Western and Central,AFW,2025,8.8
87,Africa Western and Central,AFW,2026,8.8
88,Africa Western and Central,AFW,2027,8.8
89,Africa Western and Central,AFW,2028,8.8
90,Africa Western and Central,AFW,2029,8.8
91,Africa Western and Central,AFW,2030,8.8
92,Africa Western and Central,AFW,2031,8.8
93,Africa Western and Central,AFW,2032,8.8
94,Africa Western and Central,AFW,2033,8.8
95,Africa Western and Central,AFW,2034,8.8
96,Africa Western and Central,AFW,2035,8.8
97,Africa Western and Central,AFW,2036,8.8
98,Africa Western and Central,AFW,2037,8.8
99,Africa Western and Central,AFW,2038,8.8
100,Africa Western and Central,AFW,2039,8.8
101,Africa Western and Central,AFW,2040,8.8
102,Africa Western and Central,AFW,2041,8.8
103,Africa Western and Central,AFW,2042,8.8
104,Africa Western and Central,AFW,2043,8.8
105,Africa Western and Central,AFW,2044,8.8
106,Africa Western and Central,AFW,2045,8.8
107,Africa Western and Central,AFW,2046,8.8
108,Africa Western and Central,AFW,2047,8.8
109,Africa Western and Central,AFW,2048,8.8
110,Africa Western and Central,AFW,2049,8.8
111,Africa Western and Central,AFW,2050,8.8
112,Angola,AGO,2023,8.8
113,Angola,AGO,2024,8.8
114,Angola,AGO,2025,8.8
115,Angola,AGO,2026,8.8
116,Angola,AGO,2027,8.8
117,Angola,AGO,2028,8.8
118,Angola,AGO,2029,8.8
119,Angola,AGO,2030,8.8
120,Angola,AGO,2031,8.8
121,Angola,AGO,2032,8.8
122,Angola,AGO,2033,8.8
123,Angola,AGO,2034,8.8
124,Angola,AGO,2035,8.8
125,Angola,AGO,2036,8.8
126,Angola,AGO,2037,8.8
127,Angola,AGO,2038,8.8
128,Angola,AGO,2039,8.8
129,Angola,AGO,2040,8.8
130,Angola,AGO,2041,8.8
131,Angola,AGO,2042,8.8
132,Angola,AGO,2043,8.8
133,Angola,AGO,2044,8.8
134,Angola,AGO,2045,8.8
135,Angola,AGO,2046,8.8
136,Angola,AGO,2047,8.8
137,Angola,AGO,2048,8.8
138,Angola,AGO,2049,8.8
139,Angola,AGO,2050,8.8
140,Albania,ALB,2023,8.8
141,Albania,ALB,2024,8.8
142,Albania,ALB,2025,8.8
143,Albania,ALB,2026,8.8
144,Albania,ALB,2027,8.8
145,Albania,ALB,2028,8.8
146,Albania,ALB,2029,8.8
147,Albania,ALB,2030,8.8
148,Albania,ALB,2031,8.8
149,Albania,ALB,2032,8.8
150,Albania,ALB,2033,8.8
151,Albania,ALB,2034,8.8
152,Albania,ALB,2035,8.8
153,Albania,ALB,2036,8.8
154,Albania,ALB,2037,8.8
155,Albania,ALB,2038,8.8
156,Albania,ALB,2039,8.8
157,Albania,ALB,2040,8.8
158,Albania,ALB,2041,8.8
159,Albania,ALB,2042,8.8
160,Albania,ALB,2043,8.8
161,Albania,ALB,2044,8.8
162,Albania,ALB,2045,8.8
163,Albania,ALB,2046,8.8
164,Albania,ALB,2047,8.8
165,Albania,ALB,2048,8.8
166,Albania,ALB,2049,8.8
167,Albania,ALB,2050,8.8
168,Andorra,AND,2023,8.8
169,Andorra,AND,2024,8.8
170,Andorra,AND,2025,8.8
171,Andorra,AND,2026,8.8
172,Andorra,AND,2027,8.8
173,Andorra,AND,2028,8.8
174,Andorra,AND,2029,8.8
175,Andorra,AND,2030,8.8
176,Andorra,AND,2031,8.8
177,Andorra,AND,2032,8.8
178,Andorra,AND,2033,8.8
179,Andorra,AND,2034,8.8
180,Andorra,AND,2035,8.8
181,Andorra,AND,2036,8.8
182,Andorra,AND,2037,8.8
183,Andorra,AND,2038,8.8
184,Andorra,AND,2039,8.8
185,Andorra,AND,2040,8.8
186,Andorra,AND,2041,8.8
187,Andorra,AND,2042,8.8
188,Andorra,AND,2043,8.8
189,Andorra,AND,2044,8.8
190,Andorra,AND,2045,8.8
191,Andorra,AND,2046,8.8
192,Andorra,AND,2047,8.8
193,Andorra,AND,2048,8.8
194,Andorra,AND,2049,8.8
195,Andorra,AND,2050,8.8
196,Arab World,ARB,2023,8.8
197,Arab World,ARB,2024,8.8
198,Arab World,ARB,2025,8.8
199,Arab World,ARB,2026,8.8
200,Arab World,ARB,2027,8.8
201,Arab World,ARB,2028,8.8
202,Arab World,ARB,2029,8.8
203,Arab World,ARB,2030,8.8
204,Arab World,ARB,2031,8.8
205,Arab World,ARB,2032,8.8
206,Arab World,ARB,2033,8.8
207,Arab World,ARB,2034,8.8
208,Arab World,ARB,2035,8.8
209,Arab World,ARB,2036,8.8
210,Arab World,ARB,2037,8.8
211,Arab World,ARB,2038,8.8
212,Arab World,ARB,2039,8.8
213,Arab World,ARB,2040,8.8
214,Arab World,ARB,2041,8.8
215,Arab World,ARB,2042,8.8
216,Arab World,ARB,2043,8.8
217,Arab World,ARB,2044,8.8
218,Arab World,ARB,2045,8.8
219,Arab World,ARB,2046,8.8
220,Arab World,ARB,2047,8.8
221,Arab World,ARB,2048,8.8
222,Arab World,ARB,2049,8.8
223,Arab World,ARB,2050,8.8
224,United Arab Emirates,ARE,2023,8.8
225,United Arab Emirates,ARE,2024,8.8
226,United Arab Emirates,ARE,2025,8.8
227,United Arab Emirates,ARE,2026,8.8
228,United Arab Emirates,ARE,2027,8.8
229,United Arab Emirates,ARE,2028,8.8
230,United Arab Emirates,ARE,2029,8.8
231,United Arab Emirates,ARE,2030,8.8
232,United Arab Emirates,ARE,2031,8.8
233,United Arab Emirates,ARE,2032,8.8
234,United Arab Emirates,ARE,2033,8.8
235,United Arab Emirates,ARE,2034,8.8
236,United Arab Emirates,ARE,2035,8.8
237,United Arab Emirates,ARE,2036,8.8
238,United Arab Emirates,ARE,2037,8.8
239,United Arab Emirates,ARE,2038,8.8
240,United Arab Emirates,ARE,2039,8.8
241,United Arab Emirates,ARE,2040,8.8
242,United Arab Emirates,ARE,2041,8.8
243,United Arab Emirates,ARE,2042,8.8
244,United Arab Emirates,ARE,2043,8.8
245,United Arab Emirates,ARE,2044,8.8
246,United Arab Emirates,ARE,2045,8.8
247,United Arab Emirates,ARE,2046,8.8
248,United Arab Emirates,ARE,2047,8.8
249,United Arab Emirates,ARE,2048,8.8
250,United Arab Emirates,ARE,2049,8.8
251,United Arab Emirates,ARE,2050,8.8
252,Argentina,ARG,2023,8.8
253,Argentina,ARG,2024,8.8
254,Argentina,ARG,2025,8.8
255,Argentina,ARG,2026,8.8
256,Argentina,ARG,2027,8.8
257,Argentina,ARG,2028,8.8
258,Argentina,ARG,2029,8.8
259,Argentina,ARG,2030,8.8
260,Argentina,ARG,2031,8.8
261,Argentina,ARG,2032,8.8
262,Argentina,ARG,2033,8.8
263,Argentina,ARG,2034,8.8
264,Argentina,ARG,2035,8.8
265,Argentina,ARG,2036,8.8
266,Argentina,ARG,2037,8.8
267,Argentina,ARG,2038,8.8
268,Argentina,ARG,2039,8.8
269,Argentina,ARG,2040,8.8
270,Argentina,ARG,2041,8.8
271,Argentina,ARG,2042,8.8
272,Argentina,ARG,2043,8.8
273,Argentina,ARG,2044,8.8
274,Argentina,ARG,2045,8.8
275,Argentina,ARG,2046,8.8
276,Argentina,ARG,2047,8.8
277,Argentina,ARG,2048,8.8
278,Argentina,ARG,2049,8.8
279,Argentina,ARG,2050,8.8
280,Armenia,ARM,2023,8.8
281,Armenia,ARM,2024,8.8
282,Armenia,ARM,2025,8.8
283,Armenia,ARM,2026,8.8
284,Armenia,ARM,2027,8.8
285,Armenia,ARM,2028,8.8
286,Armenia,ARM,2029,8.8
287,Armenia,ARM,2030,8.8
288,Armenia,ARM,2031,8.8
289,Armenia,ARM,2032,8.8
290,Armenia,ARM,2033,8.8
291,Armenia,ARM,2034,8.8
292,Armenia,ARM,2035,8.8
293,Armenia,ARM,2036,8.8
294,Armenia,ARM,2037,8.8
295,Armenia,ARM,2038,8.8
296,Armenia,ARM,2039,8.8
297,Armenia,ARM,2040,8.8
298,Armenia,ARM,2041,8.8
299,Armenia,ARM,2042,8.8
300,Armenia,ARM,2043,8.8
301,Armenia,ARM,2044,8.8
302,Armenia,ARM,2045,8.8
303,Armenia,ARM,2046,8.8
304,Armenia,ARM,2047,8.8
305,Armenia,ARM,2048,8.8
306,Armenia,ARM,2049,8.8
307,Armenia,ARM,2050,8.8
308,American Samoa,ASM,2023,8.8
309,American Samoa,ASM,2024,8.8
310,American Samoa,ASM,2025,8.8
311,American Samoa,ASM,2026,8.8
312,American Samoa,ASM,2027,8.8
313,American Samoa,ASM,2028,8.8
314,American Samoa,ASM,2029,8.8
315,American Samoa,ASM,2030,8.8
316,American Samoa,ASM,2031,8.8
317,American Samoa,ASM,2032,8.8
318,American Samoa,ASM,2033,8.8
319,American Samoa,ASM,2034,8.8
320,American Samoa,ASM,2035,8.8
321,American Samoa,ASM,2036,8.8
322,American Samoa,ASM,2037,8.8
323,American Samoa,ASM,2038,8.8
324,American Samoa,ASM,2039,8.8
325,American Samoa,ASM,2040,8.8
326,American Samoa,ASM,2041,8.8
327,American Samoa,ASM,2042,8.8
328,American Samoa,ASM,2043,8.8
329,American Samoa,ASM,2044,8.8
330,American Samoa,ASM,2045,8.8
331,American Samoa,ASM,2046,8.8
332,American Samoa,ASM,2047,8.8
333,American Samoa,ASM,2048,8.8
334,American Samoa,ASM,2049,8.8
335,American Samoa,ASM,2050,8.8
336,Antigua and Barbuda,ATG,2023,8.8
337,Antigua and Barbuda,ATG,2024,8.8
338,Antigua and Barbuda,ATG,2025,8.8
339,Antigua and Barbuda,ATG,2026,8.8
340,Antigua and Barbuda,ATG,2027,8.8
341,Antigua and Barbuda,ATG,2028,8.8
342,Antigua and Barbuda,ATG,2029,8.8
343,Antigua and Barbuda,ATG,2030,8.8
344,Antigua and Barbuda,ATG,2031,8.8
345,Antigua and Barbuda,ATG,2032,8.8
346,Antigua and Barbuda,ATG,2033,8.8
347,Antigua and Barbuda,ATG,2034,8.8
348,Antigua and Barbuda,ATG,2035,8.8
349,Antigua and Barbuda,ATG,2036,8.8
350,Antigua and Barbuda,ATG,2037,8.8
351,Antigua and Barbuda,ATG,2038,8.8
352,Antigua and Barbuda,ATG,2039,8.8
353,Antigua and Barbuda,ATG,2040,8.8
354,Antigua and Barbuda,ATG,2041,8.8
355,Antigua and Barbuda,ATG,2042,8.8
356,Antigua and Barbuda,ATG,2043,8.8
357,Antigua and Barbuda,ATG,2044,8.8
358,Antigua and Barbuda,ATG,2045,8.8
359,Antigua and Barbuda,ATG,2046,8.8
360,Antigua and Barbuda,ATG,2047,8.8
361,Antigua and Barbuda,ATG,2048,8.8
362,Antigua and Barbuda,ATG,2049,8.8
363,Antigua and Barbuda,ATG,2050,8.8
364,Australia,AUS,2023,8.8
365,Australia,AUS,2024,8.8
366,Australia,AUS,2025,8.8
367,Australia,AUS,2026,8.8
368,Australia,AUS,2027,8.8
369,Australia,AUS,2028,8.8
370,Australia,AUS,2029,8.8
371,Australia,AUS,2030,8.8
372,Australia,AUS,2031,8.8
373,Australia,AUS,2032,8.8
374,Australia,AUS,2033,8.8
375,Australia,AUS,2034,8.8
376,Australia,AUS,2035,8.8
377,Australia,AUS,2036,8.8
378,Australia,AUS,2037,8.8
379,Australia,AUS,2038,8.8
380,Australia,AUS,2039,8.8
381,Australia,AUS,2040,8.8
382,Australia,AUS,2041,8.8
383,Australia,AUS,2042,8.8
384,Australia,AUS,2043,8.8
385,Australia,AUS,2044,8.8
386,Australia,AUS,2045,8.8
387,Australia,AUS,2046,8.8
388,Australia,AUS,2047,8.8
389,Australia,AUS,2048,8.8
390,Australia,AUS,2049,8.8
391,Australia,AUS,2050,8.8
392,Austria,AUT,2023,8.8
393,Austria,AUT,2024,8.8
394,Austria,AUT,2025,8.8
395,Austria,AUT,2026,8.8
396,Austria,AUT,2027,8.8
397,Austria,AUT,2028,8.8
398,Austria,AUT,2029,8.8
399,Austria,AUT,2030,8.8
400,Austria,AUT,2031,8.8
401,Austria,AUT,2032,8.8
402,Austria,AUT,2033,8.8
403,Austria,AUT,2034,8.8
404,Austria,AUT,2035,8.8
405,Austria,AUT,2036,8.8
406,Austria,AUT,2037,8.8
407,Austria,AUT,2038,8.8
408,Austria,AUT,2039,8.8
409,Austria,AUT,2040,8.8
410,Austria,AUT,2041,8.8
411,Austria,AUT,2042,8.8
412,Austria,AUT,2043,8.8
413,Austria,AUT,2044,8.8
414,Austria,AUT,2045,8.8
415,Austria,AUT,2046,8.8
416,Austria,AUT,2047,8.8
417,Austria,AUT,2048,8.8
418,Austria,AUT,2049,8.8
419,Austria,AUT,2050,8.8
420,Azerbaijan,AZE,2023,8.8
421,Azerbaijan,AZE,2024,8.8
422,Azerbaijan,AZE,2025,8.8
423,Azerbaijan,AZE,2026,8.8
424,Azerbaijan,AZE,2027,8.8
425,Azerbaijan,AZE,2028,8.8
426,Azerbaijan,AZE,2029,8.8
427,Azerbaijan,AZE,2030,8.8
428,Azerbaijan,AZE,2031,8.8
429,Azerbaijan,AZE,2032,8.8
430,Azerbaijan,AZE,2033,8.8
431,Azerbaijan,AZE,2034,8.8
432,Azerbaijan,AZE,2035,8.8
433,Azerbaijan,AZE,2036,8.8
434,Azerbaijan,AZE,2037,8.8
435,Azerbaijan,AZE,2038,8.8
436,Azerbaijan,AZE,2039,8.8
437,Azerbaijan,AZE,2040,8.8
438,Azerbaijan,AZE,2041,8.8
439,Azerbaijan,AZE,2042,8.8
440,Azerbaijan,AZE,2043,8.8
441,Azerbaijan,AZE,2044,8.8
442,Azerbaijan,AZE,2045,8.8
443,Azerbaijan,AZE,2046,8.8
444,Azerbaijan,AZE,2047,8.8
445,Azerbaijan,AZE,2048,8.8
446,Azerbaijan,AZE,2049,8.8
447,Azerbaijan,AZE,2050,8.8
448,Burundi,BDI,2023,8.8
449,Burundi,BDI,2024,8.8
450,Burundi,BDI,2025,8.8
451,Burundi,BDI,2026,8.8
452,Burundi,BDI,2027,8.8
453,Burundi,BDI,2028,8.8
454,Burundi,BDI,2029,8.8
455,Burundi,BDI,2030,8.8
456,Burundi,BDI,2031,8.8
457,Burundi,BDI,2032,8.8
458,Burundi,BDI,2033,8.8
459,Burundi,BDI,2034,8.8
460,Burundi,BDI,2035,8.8
461,Burundi,BDI,2036,8.8
462,Burundi,BDI,2037,8.8
463,Burundi,BDI,2038,8.8
464,Burundi,BDI,2039,8.8
465,Burundi,BDI,2040,8.8
466,Burundi,BDI,2041,8.8
467,Burundi,BDI,2042,8.8
468,Burundi,BDI,2043,8.8
469,Burundi,BDI,2044,8.8
470,Burundi,BDI,2045,8.8
471,Burundi,BDI,2046,8.8
472,Burundi,BDI,2047,8.8
473,Burundi,BDI,2048,8.8
474,Burundi,BDI,2049,8.8
475,Burundi,BDI,2050,8.8
476,Belgium,BEL,2023,8.8
477,Belgium,BEL,2024,8.8
478,Belgium,BEL,2025,8.8
479,Belgium,BEL,2026,8.8
480,Belgium,BEL,2027,8.8
481,Belgium,BEL,2028,8.8
482,Belgium,BEL,2029,8.8
483,Belgium,BEL,2030,8.8
484,Belgium,BEL,2031,8.8
485,Belgium,BEL,2032,8.8
486,Belgium,BEL,2033,8.8
487,Belgium,BEL,2034,8.8
488,Belgium,BEL,2035,8.8
489,Belgium,BEL,2036,8.8
490,Belgium,BEL,2037,8.8
491,Belgium,BEL,2038,8.8
492,Belgium,BEL,2039,8.8
493,Belgium,BEL,2040,8.8
494,Belgium,BEL,2041,8.8
495,Belgium,BEL,2042,8.8
496,Belgium,BEL,2043,8.8
497,Belgium,BEL,2044,8.8
498,Belgium,BEL,2045,8.8
499,Belgium,BEL,2046,8.8
500,Belgium,BEL,2047,8.8
501,Belgium,BEL,2048,8.8
502,Belgium,BEL,2049,8.8
503,Belgium,BEL,2050,8.8
504,Benin,BEN,2023,8.8
505,Benin,BEN,2024,8.8
506,Benin,BEN,2025,8.8
507,Benin,BEN,2026,8.8
508,Benin,BEN,2027,8.8
509,Benin,BEN,2028,8.8
510,Benin,BEN,2029,8.8
511,Benin,BEN,2030,8.8
512,Benin,BEN,2031,8.8
513,Benin,BEN,2032,8.8
514,Benin,BEN,2033,8.8
515,Benin,BEN,2034,8.8
516,Benin,BEN,2035,8.8
517,Benin,BEN,2036,8.8
518,Benin,BEN,2037,8.8
519,Benin,BEN,2038,8.8
520,Benin,BEN,2039,8.8
521,Benin,BEN,2040,8.8
522,Benin,BEN,2041,8.8
523,Benin,BEN,2042,8.8
524,Benin,BEN,2043,8.8
525,Benin,BEN,2044,8.8
526,Benin,BEN,2045,8.8
527,Benin,BEN,2046,8.8
528,Benin,BEN,2047,8.8
529,Benin,BEN,2048,8.8
530,Benin,BEN,2049,8.8
531,Benin,BEN,2050,8.8
532,Burkina Faso,BFA,2023,8.8
533,Burkina Faso,BFA,2024,8.8
534,Burkina Faso,BFA,2025,8.8
535,Burkina Faso,BFA,2026,8.8
536,Burkina Faso,BFA,2027,8.8
537,Burkina Faso,BFA,2028,8.8
538,Burkina Faso,BFA,2029,8.8
539,Burkina Faso,BFA,2030,8.8
540,Burkina Faso,BFA,2031,8.8
541,Burkina Faso,BFA,2032,8.8
542,Burkina Faso,BFA,2033,8.8
543,Burkina Faso,BFA,2034,8.8
544,Burkina Faso,BFA,2035,8.8
545,Burkina Faso,BFA,2036,8.8
546,Burkina Faso,BFA,2037,8.8
547,Burkina Faso,BFA,2038,8.8
548,Burkina Faso,BFA,2039,8.8
549,Burkina Faso,BFA,2040,8.8
550,Burkina Faso,BFA,2041,8.8
551,Burkina Faso,BFA,2042,8.8
552,Burkina Faso,BFA,2043,8.8
553,Burkina Faso,BFA,2044,8.8
554,Burkina Faso,BFA,2045,8.8
555,Burkina Faso,BFA,2046,8.8
556,Burkina Faso,BFA,2047,8.8
557,Burkina Faso,BFA,2048,8.8
558,Burkina Faso,BFA,2049,8.8
559,Burkina Faso,BFA,2050,8.8
560,Bangladesh,BGD,2023,8.8
561,Bangladesh,BGD,2024,8.8
562,Bangladesh,BGD,2025,8.8
563,Bangladesh,BGD,2026,8.8
564,Bangladesh,BGD,2027,8.8
565,Bangladesh,BGD,2028,8.8
566,Bangladesh,BGD,2029,8.8
567,Bangladesh,BGD,2030,8.8
568,Bangladesh,BGD,2031,8.8
569,Bangladesh,BGD,2032,8.8
570,Bangladesh,BGD,2033,8.8
571,Bangladesh,BGD,2034,8.8
572,Bangladesh,BGD,2035,8.8
573,Bangladesh,BGD,2036,8.8
574,Bangladesh,BGD,2037,8.8
575,Bangladesh,BGD,2038,8.8
576,Bangladesh,BGD,2039,8.8
577,Bangladesh,BGD,2040,8.8
578,Bangladesh,BGD,2041,8.8
579,Bangladesh,BGD,2042,8.8
580,Bangladesh,BGD,2043,8.8
581,Bangladesh,BGD,2044,8.8
582,Bangladesh,BGD,2045,8.8
583,Bangladesh,BGD,2046,8.8
584,Bangladesh,BGD,2047,8.8
585,Bangladesh,BGD,2048,8.8
586,Bangladesh,BGD,2049,8.8
587,Bangladesh,BGD,2050,8.8
588,Bulgaria,BGR,2023,8.8
589,Bulgaria,BGR,2024,8.8
590,Bulgaria,BGR,2025,8.8
591,Bulgaria,BGR,2026,8.8
592,Bulgaria,BGR,2027,8.8
593,Bulgaria,BGR,2028,8.8
594,Bulgaria,BGR,2029,8.8
595,Bulgaria,BGR,2030,8.8
596,Bulgaria,BGR,2031,8.8
597,Bulgaria,BGR,2032,8.8
598,Bulgaria,BGR,2033,8.8
599,Bulgaria,BGR,2034,8.8
600,Bulgaria,BGR,2035,8.8
601,Bulgaria,BGR,2036,8.8
602,Bulgaria,BGR,2037,8.8
603,Bulgaria,BGR,2038,8.8
604,Bulgaria,BGR,2039,8.8
605,Bulgaria,BGR,2040,8.8
606,Bulgaria,BGR,2041,8.8
607,Bulgaria,BGR,2042,8.8
608,Bulgaria,BGR,2043,8.8
609,Bulgaria,BGR,2044,8.8
610,Bulgaria,BGR,2045,8.8
611,Bulgaria,BGR,2046,8.8
612,Bulgaria,BGR,2047,8.8
613,Bulgaria,BGR,2048,8.8
614,Bulgaria,BGR,2049,8.8
615,Bulgaria,BGR,2050,8.8
616,Bahrain,BHR,2023,8.8
617,Bahrain,BHR,2024,8.8
618,Bahrain,BHR,2025,8.8
619,Bahrain,BHR,2026,8.8
620,Bahrain,BHR,2027,8.8
621,Bahrain,BHR,2028,8.8
622,Bahrain,BHR,2029,8.8
623,Bahrain,BHR,2030,8.8
624,Bahrain,BHR,2031,8.8
625,Bahrain,BHR,2032,8.8
626,Bahrain,BHR,2033,8.8
627,Bahrain,BHR,2034,8.8
628,Bahrain,BHR,2035,8.8
629,Bahrain,BHR,2036,8.8
630,Bahrain,BHR,2037,8.8
631,Bahrain,BHR,2038,8.8
632,Bahrain,BHR,2039,8.8
633,Bahrain,BHR,2040,8.8
634,Bahrain,BHR,2041,8.8
635,Bahrain,BHR,2042,8.8
636,Bahrain,BHR,2043,8.8
637,Bahrain,BHR,2044,8.8
638,Bahrain,BHR,2045,8.8
639,Bahrain,BHR,2046,8.8
640,Bahrain,BHR,2047,8.8
641,Bahrain,BHR,2048,8.8
642,Bahrain,BHR,2049,8.8
643,Bahrain,BHR,2050,8.8
644,"Bahamas, The",BHS,2023,8.8
645,"Bahamas, The",BHS,2024,8.8
646,"Bahamas, The",BHS,2025,8.8
647,"Bahamas, The",BHS,2026,8.8
648,"Bahamas, The",BHS,2027,8.8
649,"Bahamas, The",BHS,2028,8.8
650,"Bahamas, The",BHS,2029,8.8
651,"Bahamas, The",BHS,2030,8.8
652,"Bahamas, The",BHS,2031,8.8
653,"Bahamas, The",BHS,2032,8.8
654,"Bahamas, The",BHS,2033,8.8
655,"Bahamas, The",BHS,2034,8.8
656,"Bahamas, The",BHS,2035,8.8
657,"Bahamas, The",BHS,2036,8.8
658,"Bahamas, The",BHS,2037,8.8
659,"Bahamas, The",BHS,2038,8.8
660,"Bahamas, The",BHS,2039,8.8
661,"Bahamas, The",BHS,2040,8.8
662,"Bahamas, The",BHS,2041,8.8
663,"Bahamas, The",BHS,2042,8.8
664,"Bahamas, The",BHS,2043,8.8
665,"Bahamas, The",BHS,2044,8.8
666,"Bahamas, The",BHS,2045,8.8
667,"Bahamas, The",BHS,2046,8.8
668,"Bahamas, The",BHS,2047,8.8
669,"Bahamas, The",BHS,2048,8.8
670,"Bahamas, The",BHS,2049,8.8
671,"Bahamas, The",BHS,2050,8.8
672,Bosnia and Herzegovina,BIH,2023,8.8
673,Bosnia and Herzegovina,BIH,2024,8.8
674,Bosnia and Herzegovina,BIH,2025,8.8
675,Bosnia and Herzegovina,BIH,2026,8.8
676,Bosnia and Herzegovina,BIH,2027,8.8
677,Bosnia and Herzegovina,BIH,2028,8.8
678,Bosnia and Herzegovina,BIH,2029,8.8
679,Bosnia and Herzegovina,BIH,2030,8.8
680,Bosnia and Herzegovina,BIH,2031,8.8
681,Bosnia and Herzegovina,BIH,2032,8.8
682,Bosnia and Herzegovina,BIH,2033,8.8
683,Bosnia and Herzegovina,BIH,2034,8.8
684,Bosnia and Herzegovina,BIH,2035,8.8
685,Bosnia and Herzegovina,BIH,2036,8.8
686,Bosnia and Herzegovina,BIH,2037,8.8
687,Bosnia and Herzegovina,BIH,2038,8.8
688,Bosnia and Herzegovina,BIH,2039,8.8
689,Bosnia and Herzegovina,BIH,2040,8.8
690,Bosnia and Herzegovina,BIH,2041,8.8
691,Bosnia and Herzegovina,BIH,2042,8.8
692,Bosnia and Herzegovina,BIH,2043,8.8
693,Bosnia and Herzegovina,BIH,2044,8.8
694,Bosnia and Herzegovina,BIH,2045,8.8
695,Bosnia and Herzegovina,BIH,2046,8.8
696,Bosnia and Herzegovina,BIH,2047,8.8
697,Bosnia and Herzegovina,BIH,2048,8.8
698,Bosnia and Herzegovina,BIH,2049,8.8
699,Bosnia and Herzegovina,BIH,2050,8.8
700,Belarus,BLR,2023,8.8
701,Belarus,BLR,2024,8.8
702,Belarus,BLR,2025,8.8
703,Belarus,BLR,2026,8.8
704,Belarus,BLR,2027,8.8
705,Belarus,BLR,2028,8.8
706,Belarus,BLR,2029,8.8
707,Belarus,BLR,2030,8.8
708,Belarus,BLR,2031,8.8
