"Value","LOCATION","TIME","INDICATOR","SUBJECT","MEASURE","FREQUENCY"
690,"ARM",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
758.285714285714,"ARM",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
758.285714285714,"ARM",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
758.285714285714,"ARM",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
758.285714285714,"ARM",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
261420,"AUS",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
290570,"AUS",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
319000,"AUS",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
367700,"AUS",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
401600,"AUS",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
413490,"AUS",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
431307.31114667,"AUS",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
441273.24126364,"AUS",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
443004.62783715,"AUS",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
447434.67411552,"AUS",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
453091.00602501,"AUS",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
20345,"AUT",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
19499,"AUT",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
19564,"AUT",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
20746,"AUT",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
20814,"AUT",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
21361,"AUT",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
22256,"AUT",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
21996.241,"AUT",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
21736,"AUT",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
20498.028,"AUT",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
21780.869,"AUT",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
7845,"AZE",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
8212,"AZE",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
7958,"AZE",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
7371,"AZE",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
6210,"AZE",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
5192,"AZE",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
4633,"AZE",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
4492,"AZE",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
5152,"AZE",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
4861,"AZE",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
5316,"AZE",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BDI",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BDI",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BDI",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BDI",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BDI",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BDI",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BDI",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BDI",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BDI",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BDI",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BDI",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
6698,"BEL",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
80770.943696814,"BEL",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
81584.6007135478,"BEL",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
82371.6007076408,"BEL",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
83236.9493775844,"BEL",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
83762.2425891648,"BEL",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
84208.7005342763,"BEL",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
84699.1641328204,"BEL",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
85246.3133810898,"BEL",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
85752.6859190806,"BEL",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
84844.9198366247,"BEL",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BEN",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BEN",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BEN",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BEN",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BEN",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BEN",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BEN",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BEN",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BEN",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BEN",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BEN",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BFA",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BFA",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BFA",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BFA",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BFA",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BFA",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BFA",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BFA",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BFA",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BFA",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BFA",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
36410.0272745337,"BGD",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
47732.3826489778,"BGD",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
59212.9340939961,"BGD",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
70895.0741841806,"BGD",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
82728.7070782905,"BGD",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
95269.9691273642,"BGD",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
107911.333150219,"BGD",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
120648.845287501,"BGD",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
133487.341963756,"BGD",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
146428.704610929,"BGD",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
161629.469520656,"BGD",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
3291,"BGR",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
2908,"BGR",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
3246,"BGR",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
3439,"BGR",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
3650,"BGR",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
3434,"BGR",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
3931,"BGR",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
3792,"BGR",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
3901.6,"BGR",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
4503,"BGR",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
4658,"BGR",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BHR",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BHR",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BHR",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BHR",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BHR",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BHR",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BHR",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BHR",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BHR",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BHR",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BHR",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1018,"BIH",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1150,"BIH",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1243,"BIH",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1313,"BIH",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1286,"BIH",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1142,"BIH",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1130.1,"BIH",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1187.9,"BIH",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1275,"BIH",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1040,"BIH",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1178.5,"BIH",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
49406,"BLR",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
48351,"BLR",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
43818,"BLR",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
44997,"BLR",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
40785,"BLR",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
41107,"BLR",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
48538,"BLR",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
52574,"BLR",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
48205,"BLR",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
42420,"BLR",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
36605.54989956,"BLR",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BLZ",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BLZ",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BLZ",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BLZ",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BLZ",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BLZ",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BLZ",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BLZ",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BLZ",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BLZ",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BLZ",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1114.0098249857,"BOL",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
2923.12984189815,"BOL",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
4658.06015486964,"BOL",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
6336.14425534793,"BOL",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
7987.69781575543,"BOL",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
9412.85776021104,"BOL",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
10826.0273174786,"BOL",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
12234.4374405607,"BOL",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
13640.2591196308,"BOL",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
15044.2548679451,"BOL",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
15408.6148299039,"BOL",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
966576.966144562,"BRA",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
980529.471067522,"BRA",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
994315.375473706,"BRA",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1007999.63609426,"BRA",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1021552.98410825,"BRA",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1034067.64571108,"BRA",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1046474.41164571,"BRA",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1058664.7431993,"BRA",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1070572.32483995,"BRA",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1082101.75469693,"BRA",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
1084966.31947309,"BRA",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRB",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRB",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRB",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRB",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRB",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRB",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRB",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRB",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRB",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRB",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRB",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRN",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRN",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRN",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRN",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRN",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRN",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRN",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRN",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRN",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRN",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BRN",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BTN",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BTN",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BTN",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BTN",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BTN",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BTN",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BTN",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BTN",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BTN",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BTN",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BTN",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BWA",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BWA",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BWA",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BWA",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BWA",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BWA",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BWA",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BWA",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BWA",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BWA",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"BWA",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"CAF",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"CAF",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"CAF",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"CAF",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"CAF",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"CAF",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"CAF",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"CAF",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"CAF",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"CAF",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
0,"CAF",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
347824,"CAN",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
368297,"CAN",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
386266,"CAN",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
414069,"CAN",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
412985,"CAN",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
396806,"CAN",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
420143,"CAN",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
445546,"CAN",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
446081,"CAN",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
444032,"CAN",2020,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
430170,"CAN",2021,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
11526,"CHE",2011,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
11061,"CHE",2012,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
11812,"CHE",2013,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
12313,"CHE",2014,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
12431,"CHE",2015,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
12447,"CHE",2016,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
11653,"CHE",2017,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
11776,"CHE",2018,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
11666,"CHE",2019,"FREIGHTTRANSP","RAIL","MLN_TONNEKM","A"
