Year,Nation,iso_code3,pij_lndu_grasslands_to_other
2031,Andorra,AND,0.0042288493639922
2032,Andorra,AND,0.0045309100328488
2033,Andorra,AND,0.0048329707017054
2034,Andorra,AND,0.005135031370562
2035,Andorra,AND,0.0054370920394186
2036,Andorra,AND,0.0057391527082752
2037,Andorra,AND,0.0060412133771317
2038,Andorra,AND,0.0063432740459883
2039,Andorra,AND,0.0066453347148449
2040,Andorra,AND,0.0069473953837015
2041,Andorra,AND,0.0072494560525581
2042,Andorra,AND,0.0075515167214147
2043,Andorra,AND,0.0078535773902713
2044,Andorra,AND,0.0081556380591279
2045,Andorra,AND,0.0084576987279845
2046,Andorra,AND,0.008759759396841
2047,Andorra,AND,0.0090618200656976
2048,Andorra,AND,0.0093638807345542
2049,Andorra,AND,0.0096659414034108
2050,Andorra,AND,0.0099680020722674
2021,Angola,AGO,0.0
2022,Angola,AGO,0.0
2023,Angola,AGO,0.0
2024,Angola,AGO,0.0
2025,Angola,AGO,0.0
2026,Angola,AGO,0.0
2027,Angola,AGO,0.0
2028,Angola,AGO,0.0
2029,Angola,AGO,0.0
2030,Angola,AGO,0.0
2031,Angola,AGO,0.0
2032,Angola,AGO,0.0
2033,Angola,AGO,0.0
2034,Angola,AGO,0.0
2035,Angola,AGO,0.0
2036,Angola,AGO,0.0
2037,Angola,AGO,0.0
2038,Angola,AGO,0.0
2039,Angola,AGO,0.0
2040,Angola,AGO,0.0
2041,Angola,AGO,0.0
2042,Angola,AGO,0.0
2043,Angola,AGO,0.0
2044,Angola,AGO,0.0
2045,Angola,AGO,0.0
2046,Angola,AGO,0.0
2047,Angola,AGO,0.0
2048,Angola,AGO,0.0
2049,Angola,AGO,0.0
2050,Angola,AGO,0.0
2021,Argentina,ARG,0.0202668633197195
2022,Argentina,ARG,0.0198949559192688
2023,Argentina,ARG,0.0195230485188181
2024,Argentina,ARG,0.0191511411183673
2025,Argentina,ARG,0.0187792337179166
2026,Argentina,ARG,0.0184073263174659
2027,Argentina,ARG,0.0180354189170152
2028,Argentina,ARG,0.0176635115165645
2029,Argentina,ARG,0.0172916041161138
2030,Argentina,ARG,0.016919696715663003
2031,Argentina,ARG,0.0165477893152123
2032,Argentina,ARG,0.0161758819147616
2033,Argentina,ARG,0.0158039745143109
2034,Argentina,ARG,0.0154320671138602
2035,Argentina,ARG,0.0150601597134095
2036,Argentina,ARG,0.0146882523129587
2037,Argentina,ARG,0.014316344912508001
2038,Argentina,ARG,0.0139444375120573
2039,Argentina,ARG,0.0135725301116066
2040,Argentina,ARG,0.0132006227111559
2041,Argentina,ARG,0.0128287153107052
2042,Argentina,ARG,0.0124568079102544
2043,Argentina,ARG,0.0120849005098037
2044,Argentina,ARG,0.011712993109353
2045,Argentina,ARG,0.0113410857089023
2046,Argentina,ARG,0.0109691783084516
2047,Argentina,ARG,0.0105972709080009
2048,Argentina,ARG,0.0102253635075501
2049,Argentina,ARG,0.0098534561070994
2050,Argentina,ARG,0.0094815487066487
2021,Austria,AUT,0.0003803467263005
2022,Austria,AUT,0.0004754334078756
2023,Austria,AUT,0.0005705200894508
2024,Austria,AUT,0.0006656067710259
2025,Austria,AUT,0.000760693452601
2026,Austria,AUT,0.0008557801341762
2027,Austria,AUT,0.0009508668157513
2028,Austria,AUT,0.0010459534973264
2029,Austria,AUT,0.0011410401789016
2030,Austria,AUT,0.0012361268604767
2031,Austria,AUT,0.0013312135420519
2032,Austria,AUT,0.0014263002236270003
2033,Austria,AUT,0.0015213869052021
2034,Austria,AUT,0.0016164735867773
2035,Austria,AUT,0.0017115602683524
2036,Austria,AUT,0.0018066469499275
2037,Austria,AUT,0.0019017336315027
2038,Austria,AUT,0.0019968203130778
2039,Austria,AUT,0.0020919069946529
2040,Austria,AUT,0.0021869936762281
2041,Austria,AUT,0.0022820803578032
2042,Austria,AUT,0.0023771670393784
2043,Austria,AUT,0.0024722537209535
2044,Austria,AUT,0.0025673404025286
2045,Austria,AUT,0.0026624270841038
2046,Austria,AUT,0.0027575137656789
2047,Austria,AUT,0.0028526004472540006
2048,Austria,AUT,0.0029476871288292
2049,Austria,AUT,0.0030427738104043
2050,Austria,AUT,0.0031378604919794
2021,Bahamas,BHS,3.929776990780925e-06
2022,Bahamas,BHS,4.9122212384761565e-06
2023,Bahamas,BHS,5.894665486171388e-06
2024,Bahamas,BHS,6.877109733866618e-06
2025,Bahamas,BHS,7.85955398156185e-06
2026,Bahamas,BHS,8.841998229257083e-06
2027,Bahamas,BHS,9.824442476952313e-06
2028,Bahamas,BHS,1.0806886724647543e-05
2029,Bahamas,BHS,1.1789330972342776e-05
2030,Bahamas,BHS,1.2771775220038008e-05
2031,Bahamas,BHS,1.3754219467733237e-05
2032,Bahamas,BHS,1.4736663715428467e-05
2033,Bahamas,BHS,1.57191079631237e-05
2034,Bahamas,BHS,1.6701552210818933e-05
2035,Bahamas,BHS,1.7683996458514165e-05
2036,Bahamas,BHS,1.86664407062094e-05
2037,Bahamas,BHS,1.9648884953904626e-05
2038,Bahamas,BHS,2.0631329201599855e-05
2039,Bahamas,BHS,2.1613773449295087e-05
2040,Bahamas,BHS,2.259621769699032e-05
2041,Bahamas,BHS,2.357866194468555e-05
2042,Bahamas,BHS,2.4561106192380787e-05
2043,Bahamas,BHS,2.5543550440076016e-05
2044,Bahamas,BHS,2.6525994687771248e-05
2045,Bahamas,BHS,2.750843893546648e-05
2046,Bahamas,BHS,2.8490883183161712e-05
2047,Bahamas,BHS,2.9473327430856934e-05
2048,Bahamas,BHS,3.0455771678552173e-05
2049,Bahamas,BHS,3.14382159262474e-05
2050,Bahamas,BHS,3.2420660173942624e-05
2021,Bahrain,BHR,0.0022877728508658
2022,Bahrain,BHR,0.0022347160635822
2023,Bahrain,BHR,0.0021816592762987
2024,Bahrain,BHR,0.0021286024890152
2025,Bahrain,BHR,0.0020755457017317
2026,Bahrain,BHR,0.0020224889144482
2027,Bahrain,BHR,0.0019694321271646
2028,Bahrain,BHR,0.0019163753398811
2029,Bahrain,BHR,0.0018633185525976
2030,Bahrain,BHR,0.0018102617653141
2031,Bahrain,BHR,0.0017572049780306
2032,Bahrain,BHR,0.0017041481907470004
2033,Bahrain,BHR,0.0016510914034635
2034,Bahrain,BHR,0.00159803461618
2035,Bahrain,BHR,0.0015449778288965
2036,Bahrain,BHR,0.001491921041613
2037,Bahrain,BHR,0.0014388642543294
2038,Bahrain,BHR,0.0013858074670459
2039,Bahrain,BHR,0.0013327506797624
2040,Bahrain,BHR,0.0012796938924789
2041,Bahrain,BHR,0.0012266371051954
2042,Bahrain,BHR,0.0011735803179118
2043,Bahrain,BHR,0.0011205235306283
2044,Bahrain,BHR,0.0010674667433448
2045,Bahrain,BHR,0.0010144099560613
2046,Bahrain,BHR,0.0009613531687778
2047,Bahrain,BHR,0.0009082963814942
2048,Bahrain,BHR,0.0008552395942107
2049,Bahrain,BHR,0.0008021828069272
2050,Bahrain,BHR,0.0007491260196437
2021,Bangladesh,BGD,3.105649981456477e-19
2022,Bangladesh,BGD,3.8820624768205964e-19
2023,Bangladesh,BGD,4.658474972184715e-19
2024,Bangladesh,BGD,5.434887467548835e-19
2025,Bangladesh,BGD,6.211299962912954e-19
2026,Bangladesh,BGD,6.987712458277074e-19
2027,Bangladesh,BGD,7.764124953641193e-19
2028,Bangladesh,BGD,8.540537449005314e-19
2029,Bangladesh,BGD,9.31694994436943e-19
2030,Bangladesh,BGD,1.0093362439733549e-18
2031,Bangladesh,BGD,1.086977493509767e-18
2032,Bangladesh,BGD,1.164618743046179e-18
2033,Bangladesh,BGD,1.2422599925825907e-18
2034,Bangladesh,BGD,1.319901242119003e-18
2035,Bangladesh,BGD,1.3975424916554148e-18
2036,Bangladesh,BGD,1.4751837411918267e-18
2037,Bangladesh,BGD,1.5528249907282386e-18
2038,Bangladesh,BGD,1.6304662402646504e-18
2039,Bangladesh,BGD,1.7081074898010623e-18
2040,Bangladesh,BGD,1.7857487393374746e-18
2041,Bangladesh,BGD,1.863389988873886e-18
2042,Bangladesh,BGD,1.9410312384102983e-18
2043,Bangladesh,BGD,2.0186724879467094e-18
2044,Bangladesh,BGD,2.0963137374831217e-18
2045,Bangladesh,BGD,2.173954987019534e-18
2046,Bangladesh,BGD,2.2515962365559458e-18
2047,Bangladesh,BGD,2.329237486092358e-18
2048,Bangladesh,BGD,2.40687873562877e-18
2049,Bangladesh,BGD,2.4845199851651814e-18
2050,Bangladesh,BGD,2.5621612347015937e-18
2021,Barbados,BRB,1.7208140562448555e-19
2022,Barbados,BRB,2.1510175703060695e-19
2023,Barbados,BRB,2.5812210843672835e-19
2024,Barbados,BRB,3.0114245984284966e-19
2025,Barbados,BRB,3.441628112489711e-19
2026,Barbados,BRB,3.8718316265509255e-19
2027,Barbados,BRB,4.3020351406121395e-19
2028,Barbados,BRB,4.732238654673353e-19
2029,Barbados,BRB,5.162442168734567e-19
2030,Barbados,BRB,5.592645682795781e-19
2031,Barbados,BRB,6.022849196856995e-19
2032,Barbados,BRB,6.453052710918209e-19
2033,Barbados,BRB,6.883256224979422e-19
2034,Barbados,BRB,7.313459739040637e-19
2035,Barbados,BRB,7.743663253101851e-19
2036,Barbados,BRB,8.173866767163065e-19
2037,Barbados,BRB,8.604070281224279e-19
2038,Barbados,BRB,9.034273795285491e-19
2039,Barbados,BRB,9.464477309346706e-19
2040,Barbados,BRB,9.89468082340792e-19
2041,Barbados,BRB,1.0324884337469134e-18
2042,Barbados,BRB,1.0755087851530351e-18
2043,Barbados,BRB,1.1185291365591562e-18
2044,Barbados,BRB,1.1615494879652775e-18
2045,Barbados,BRB,1.204569839371399e-18
2046,Barbados,BRB,1.2475901907775203e-18
2047,Barbados,BRB,1.2906105421836418e-18
2048,Barbados,BRB,1.3336308935897631e-18
2049,Barbados,BRB,1.3766512449958844e-18
2050,Barbados,BRB,1.419671596402006e-18
2021,Belgium,BEL,0.000100624876344
2022,Belgium,BEL,0.00012578109543
2023,Belgium,BEL,0.0001509373145161
2024,Belgium,BEL,0.0001760935336021
2025,Belgium,BEL,0.0002012497526881
2026,Belgium,BEL,0.0002264059717741
2027,Belgium,BEL,0.0002515621908601
2028,Belgium,BEL,0.0002767184099462
2029,Belgium,BEL,0.0003018746290322
2030,Belgium,BEL,0.0003270308481182
2031,Belgium,BEL,0.0003521870672042
2032,Belgium,BEL,0.0003773432862902
2033,Belgium,BEL,0.0004024995053763
2034,Belgium,BEL,0.0004276557244623
2035,Belgium,BEL,0.0004528119435483
2036,Belgium,BEL,0.0004779681626343
2037,Belgium,BEL,0.0005031243817203
2038,Belgium,BEL,0.0005282806008064
2039,Belgium,BEL,0.0005534368198924
2040,Belgium,BEL,0.0005785930389784
2041,Belgium,BEL,0.0006037492580644
2042,Belgium,BEL,0.0006289054771504
2043,Belgium,BEL,0.0006540616962365
2044,Belgium,BEL,0.0006792179153225
2045,Belgium,BEL,0.0007043741344085
2046,Belgium,BEL,0.0007295303534945
2047,Belgium,BEL,0.0007546865725805
2048,Belgium,BEL,0.0007798427916665
2049,Belgium,BEL,0.0008049990107526
2050,Belgium,BEL,0.0008301552298386
2021,Belize,BLZ,0.0007419406072969
2022,Belize,BLZ,0.0007396339166922
2023,Belize,BLZ,0.0007373272260875
2024,Belize,BLZ,0.0007350205354827
2025,Belize,BLZ,0.0007327138448780001
2026,Belize,BLZ,0.0007304071542733
2027,Belize,BLZ,0.0007281004636686
2028,Belize,BLZ,0.0007257937730638
2029,Belize,BLZ,0.0007234870824591
2030,Belize,BLZ,0.0007211803918544
2031,Belize,BLZ,0.0007188737012496
2032,Belize,BLZ,0.0007165670106449
2033,Belize,BLZ,0.0007142603200402
2034,Belize,BLZ,0.0007119536294354
2035,Belize,BLZ,0.0007096469388307
2036,Belize,BLZ,0.0007073402482260001
2037,Belize,BLZ,0.0007050335576213
2038,Belize,BLZ,0.0007027268670165
2039,Belize,BLZ,0.0007004201764118
2040,Belize,BLZ,0.0006981134858071
2041,Belize,BLZ,0.0006958067952023
2042,Belize,BLZ,0.0006935001045976
2043,Belize,BLZ,0.0006911934139929
2044,Belize,BLZ,0.0006888867233881
2045,Belize,BLZ,0.0006865800327834
2046,Belize,BLZ,0.0006842733421787
2047,Belize,BLZ,0.0006819666515739999
2048,Belize,BLZ,0.0006796599609692
2049,Belize,BLZ,0.0006773532703645
2050,Belize,BLZ,0.0006750465797598
2021,Benin,BEN,0.0023187976972597
2022,Benin,BEN,0.0022734971215747
2023,Benin,BEN,0.0022281965458897
2024,Benin,BEN,0.0021828959702047
2025,Benin,BEN,0.0021375953945196
2026,Benin,BEN,0.0020922948188346
2027,Benin,BEN,0.0020469942431496
2028,Benin,BEN,0.0020016936674646
2029,Benin,BEN,0.0019563930917795
2030,Benin,BEN,0.0019110925160945
2031,Benin,BEN,0.0018657919404095
2032,Benin,BEN,0.0018204913647245
2033,Benin,BEN,0.0017751907890394
2034,Benin,BEN,0.0017298902133544
2035,Benin,BEN,0.0016845896376694
2036,Benin,BEN,0.0016392890619844
2037,Benin,BEN,0.0015939884862993
2038,Benin,BEN,0.0015486879106143
2039,Benin,BEN,0.0015033873349293
2040,Benin,BEN,0.0014580867592443
2041,Benin,BEN,0.0014127861835592
2042,Benin,BEN,0.0013674856078742
2043,Benin,BEN,0.0013221850321892
2044,Benin,BEN,0.0012768844565041
2045,Benin,BEN,0.0012315838808191
2046,Benin,BEN,0.0011862833051341
2047,Benin,BEN,0.0011409827294491
2048,Benin,BEN,0.001095682153764
2049,Benin,BEN,0.001050381578079
2050,Benin,BEN,0.001005081002394
2021,Bolivia (Plurinational State of),BOL,0.0004155456790207
2022,Bolivia (Plurinational State of),BOL,0.0005194320987758
2023,Bolivia (Plurinational State of),BOL,0.000623318518531
2024,Bolivia (Plurinational State of),BOL,0.0007272049382862
2025,Bolivia (Plurinational State of),BOL,0.0008310913580414
2026,Bolivia (Plurinational State of),BOL,0.0009349777777966
2027,Bolivia (Plurinational State of),BOL,0.0010388641975517
2028,Bolivia (Plurinational State of),BOL,0.0011427506173069
2029,Bolivia (Plurinational State of),BOL,0.0012466370370621
2030,Bolivia (Plurinational State of),BOL,0.0013505234568173
2031,Bolivia (Plurinational State of),BOL,0.0014544098765725
2032,Bolivia (Plurinational State of),BOL,0.0015582962963276
2033,Bolivia (Plurinational State of),BOL,0.0016621827160828
2034,Bolivia (Plurinational State of),BOL,0.001766069135838
2035,Bolivia (Plurinational State of),BOL,0.0018699555555932
2036,Bolivia (Plurinational State of),BOL,0.0019738419753484
2037,Bolivia (Plurinational State of),BOL,0.0020777283951035
2038,Bolivia (Plurinational State of),BOL,0.0021816148148587
2039,Bolivia (Plurinational State of),BOL,0.0022855012346139
2040,Bolivia (Plurinational State of),BOL,0.0023893876543691
2041,Bolivia (Plurinational State of),BOL,0.0024932740741243
2042,Bolivia (Plurinational State of),BOL,0.0025971604938794
2043,Bolivia (Plurinational State of),BOL,0.0027010469136346
2044,Bolivia (Plurinational State of),BOL,0.0028049333333898
2045,Bolivia (Plurinational State of),BOL,0.002908819753145
2046,Bolivia (Plurinational State of),BOL,0.0030127061729002
2047,Bolivia (Plurinational State of),BOL,0.0031165925926553
2048,Bolivia (Plurinational State of),BOL,0.0032204790124105
2049,Bolivia (Plurinational State of),BOL,0.0033243654321657
2050,Bolivia (Plurinational State of),BOL,0.0034282518519209
2021,Bosnia and Herzegovina,BIH,0.0023331800966336
2022,Bosnia and Herzegovina,BIH,0.0022914751207920004
2023,Bosnia and Herzegovina,BIH,0.0022497701449504
2024,Bosnia and Herzegovina,BIH,0.0022080651691088
2025,Bosnia and Herzegovina,BIH,0.0021663601932673
2026,Bosnia and Herzegovina,BIH,0.0021246552174257
2027,Bosnia and Herzegovina,BIH,0.0020829502415841
2028,Bosnia and Herzegovina,BIH,0.0020412452657426
2029,Bosnia and Herzegovina,BIH,0.001999540289901
2030,Bosnia and Herzegovina,BIH,0.0019578353140594
2031,Bosnia and Herzegovina,BIH,0.0019161303382178
2032,Bosnia and Herzegovina,BIH,0.0018744253623763
2033,Bosnia and Herzegovina,BIH,0.0018327203865347
2034,Bosnia and Herzegovina,BIH,0.0017910154106931
2035,Bosnia and Herzegovina,BIH,0.0017493104348516
2036,Bosnia and Herzegovina,BIH,0.00170760545901
2037,Bosnia and Herzegovina,BIH,0.0016659004831684
2038,Bosnia and Herzegovina,BIH,0.0016241955073268
2039,Bosnia and Herzegovina,BIH,0.0015824905314853
2040,Bosnia and Herzegovina,BIH,0.0015407855556437
2041,Bosnia and Herzegovina,BIH,0.0014990805798021
2042,Bosnia and Herzegovina,BIH,0.0014573756039606
2043,Bosnia and Herzegovina,BIH,0.001415670628119
2044,Bosnia and Herzegovina,BIH,0.0013739656522774
2045,Bosnia and Herzegovina,BIH,0.0013322606764358
2046,Bosnia and Herzegovina,BIH,0.0012905557005943
2047,Bosnia and Herzegovina,BIH,0.0012488507247527
2048,Bosnia and Herzegovina,BIH,0.0012071457489111
2049,Bosnia and Herzegovina,BIH,0.0011654407730696
2050,Bosnia and Herzegovina,BIH,0.0011237357972279998
2021,Botswana,BWA,0.0024625689916945
2022,Botswana,BWA,0.0024545339159035
2023,Botswana,BWA,0.0024464988401125
2024,Botswana,BWA,0.0024384637643215
2025,Botswana,BWA,0.0024304286885306
2026,Botswana,BWA,0.0024223936127396
2027,Botswana,BWA,0.0024143585369486
2028,Botswana,BWA,0.0024063234611576
2029,Botswana,BWA,0.0023982883853667
2030,Botswana,BWA,0.0023902533095757
2031,Botswana,BWA,0.0023822182337847
2032,Botswana,BWA,0.0023741831579937
2033,Botswana,BWA,0.0023661480822028
2034,Botswana,BWA,0.0023581130064118
2035,Botswana,BWA,0.0023500779306208
2036,Botswana,BWA,0.0023420428548298
2037,Botswana,BWA,0.0023340077790389
2038,Botswana,BWA,0.0023259727032479
2039,Botswana,BWA,0.0023179376274569
2040,Botswana,BWA,0.0023099025516659
2041,Botswana,BWA,0.002301867475875
2042,Botswana,BWA,0.002293832400084
2043,Botswana,BWA,0.0022857973242929996
2044,Botswana,BWA,0.0022777622485020002
2045,Botswana,BWA,0.0022697271727111
2046,Botswana,BWA,0.0022616920969201
2047,Botswana,BWA,0.0022536570211291
2048,Botswana,BWA,0.0022456219453381
2049,Botswana,BWA,0.0022375868695472
2050,Botswana,BWA,0.0022295517937562
2021,Brazil,BRA,0.0003012205810602
2022,Brazil,BRA,0.0003765257263252
2023,Brazil,BRA,0.0004518308715903
2024,Brazil,BRA,0.0005271360168553
2025,Brazil,BRA,0.0006024411621204
2026,Brazil,BRA,0.0006777463073854
2027,Brazil,BRA,0.0007530514526505
2028,Brazil,BRA,0.0008283565979155
2029,Brazil,BRA,0.0009036617431806
2030,Brazil,BRA,0.0009789668884457
2031,Brazil,BRA,0.0010542720337107
2032,Brazil,BRA,0.0011295771789758
2033,Brazil,BRA,0.0012048823242408
2034,Brazil,BRA,0.0012801874695059
2035,Brazil,BRA,0.0013554926147709
2036,Brazil,BRA,0.0014307977600360002
2037,Brazil,BRA,0.001506102905301
2038,Brazil,BRA,0.0015814080505661
2039,Brazil,BRA,0.0016567131958311
2040,Brazil,BRA,0.0017320183410962
2041,Brazil,BRA,0.0018073234863612
2042,Brazil,BRA,0.0018826286316263
2043,Brazil,BRA,0.0019579337768914
2044,Brazil,BRA,0.0020332389221564
2045,Brazil,BRA,0.0021085440674215
2046,Brazil,BRA,0.0021838492126865
2047,Brazil,BRA,0.0022591543579516
2048,Brazil,BRA,0.0023344595032166
2049,Brazil,BRA,0.0024097646484817
2050,Brazil,BRA,0.0024850697937467
2021,Brunei Darussalam,BRN,0.0
2022,Brunei Darussalam,BRN,0.0
2023,Brunei Darussalam,BRN,0.0
2024,Brunei Darussalam,BRN,0.0
2025,Brunei Darussalam,BRN,0.0
2026,Brunei Darussalam,BRN,0.0
2027,Brunei Darussalam,BRN,0.0
2028,Brunei Darussalam,BRN,0.0
2029,Brunei Darussalam,BRN,0.0
2030,Brunei Darussalam,BRN,0.0
2031,Brunei Darussalam,BRN,0.0
2032,Brunei Darussalam,BRN,0.0
2033,Brunei Darussalam,BRN,0.0
2034,Brunei Darussalam,BRN,0.0
2035,Brunei Darussalam,BRN,0.0
2036,Brunei Darussalam,BRN,0.0
2037,Brunei Darussalam,BRN,0.0
2038,Brunei Darussalam,BRN,0.0
2039,Brunei Darussalam,BRN,0.0
2040,Brunei Darussalam,BRN,0.0
2041,Brunei Darussalam,BRN,0.0
2042,Brunei Darussalam,BRN,0.0
2043,Brunei Darussalam,BRN,0.0
2044,Brunei Darussalam,BRN,0.0
2045,Brunei Darussalam,BRN,0.0
2046,Brunei Darussalam,BRN,0.0
2047,Brunei Darussalam,BRN,0.0
2048,Brunei Darussalam,BRN,0.0
2049,Brunei Darussalam,BRN,0.0
2050,Brunei Darussalam,BRN,0.0
2021,Bulgaria,BGR,9.572127204057304e-05
2022,Bulgaria,BGR,0.0001196515900507
2023,Bulgaria,BGR,0.0001435819080608
2024,Bulgaria,BGR,0.000167512226071
2025,Bulgaria,BGR,0.0001914425440811
2026,Bulgaria,BGR,0.0002153728620912
2027,Bulgaria,BGR,0.0002393031801014
2028,Bulgaria,BGR,0.0002632334981115
2029,Bulgaria,BGR,0.0002871638161217
2030,Bulgaria,BGR,0.0003110941341318
2031,Bulgaria,BGR,0.000335024452142
2032,Bulgaria,BGR,0.0003589547701521
2033,Bulgaria,BGR,0.0003828850881622
2034,Bulgaria,BGR,0.0004068154061724
2035,Bulgaria,BGR,0.0004307457241825
2036,Bulgaria,BGR,0.0004546760421927
2037,Bulgaria,BGR,0.0004786063602028
2038,Bulgaria,BGR,0.000502536678213
2039,Bulgaria,BGR,0.0005264669962231
2040,Bulgaria,BGR,0.0005503973142332
2041,Bulgaria,BGR,0.0005743276322434
2042,Bulgaria,BGR,0.0005982579502535
2043,Bulgaria,BGR,0.0006221882682637
2044,Bulgaria,BGR,0.0006461185862738
2045,Bulgaria,BGR,0.000670048904284
2046,Bulgaria,BGR,0.0006939792222941
2047,Bulgaria,BGR,0.0007179095403042
2048,Bulgaria,BGR,0.0007418398583144
2049,Bulgaria,BGR,0.0007657701763245
2050,Bulgaria,BGR,0.0007897004943347
2021,Burkina Faso,BFA,0.0038690058231697
2022,Burkina Faso,BFA,0.0037723566684214
2023,Burkina Faso,BFA,0.0036757075136731
2024,Burkina Faso,BFA,0.0035790583589248
2025,Burkina Faso,BFA,0.0034824092041765
2026,Burkina Faso,BFA,0.0033857600494282
2027,Burkina Faso,BFA,0.0032891108946799
2028,Burkina Faso,BFA,0.0031924617399316
2029,Burkina Faso,BFA,0.0030958125851833
2030,Burkina Faso,BFA,0.0029991634304349997
2031,Burkina Faso,BFA,0.0029025142756867
2032,Burkina Faso,BFA,0.0028058651209384
2033,Burkina Faso,BFA,0.0027092159661901
2034,Burkina Faso,BFA,0.0026125668114418
2035,Burkina Faso,BFA,0.0025159176566935
2036,Burkina Faso,BFA,0.0024192685019452
2037,Burkina Faso,BFA,0.0023226193471968
2038,Burkina Faso,BFA,0.0022259701924485
2039,Burkina Faso,BFA,0.0021293210377002
2040,Burkina Faso,BFA,0.0020326718829519
2041,Burkina Faso,BFA,0.0019360227282036
2042,Burkina Faso,BFA,0.0018393735734553
2043,Burkina Faso,BFA,0.0017427244187070002
2044,Burkina Faso,BFA,0.0016460752639587
2045,Burkina Faso,BFA,0.0015494261092104
2046,Burkina Faso,BFA,0.0014527769544621
2047,Burkina Faso,BFA,0.0013561277997138
2048,Burkina Faso,BFA,0.0012594786449655
2049,Burkina Faso,BFA,0.0011628294902172
2050,Burkina Faso,BFA,0.0010661803354689
2021,Burundi,BDI,0.0005293004577696
2022,Burundi,BDI,0.0006616255722121
2023,Burundi,BDI,0.0007939506866545
2024,Burundi,BDI,0.0009262758010969
2025,Burundi,BDI,0.0010586009155393
2026,Burundi,BDI,0.0011909260299818
2027,Burundi,BDI,0.0013232511444242
2028,Burundi,BDI,0.0014555762588666
2029,Burundi,BDI,0.001587901373309
2030,Burundi,BDI,0.0017202264877514
2031,Burundi,BDI,0.0018525516021939
2032,Burundi,BDI,0.0019848767166363
2033,Burundi,BDI,0.0021172018310787
2034,Burundi,BDI,0.0022495269455211
2035,Burundi,BDI,0.0023818520599636
2036,Burundi,BDI,0.0025141771744060003
2037,Burundi,BDI,0.0026465022888484
2038,Burundi,BDI,0.0027788274032908
2039,Burundi,BDI,0.0029111525177333
2040,Burundi,BDI,0.0030434776321757
2041,Burundi,BDI,0.0031758027466181
2042,Burundi,BDI,0.0033081278610605
2043,Burundi,BDI,0.0034404529755029
2044,Burundi,BDI,0.0035727780899454
2045,Burundi,BDI,0.0037051032043878
2046,Burundi,BDI,0.0038374283188302
2047,Burundi,BDI,0.0039697534332726
2048,Burundi,BDI,0.0041020785477151
2049,Burundi,BDI,0.0042344036621575
2050,Burundi,BDI,0.0043667287765999
2021,Cabo Verde,CPV,0.0012958758396163
2022,Cabo Verde,CPV,0.0012878928240848
2023,Cabo Verde,CPV,0.0012799098085532
